ablation_mode,complex_id,ligand_id,denticity,n_donors,all_correct_top1
full_context,tmqm_139,L2,dent=2,2,0
full_context,tmqm_140,L1,dent=2,2,0
full_context,tmqm_141,L4,dent=2,2,0
full_context,tmqm_142,L1,dent=1,1,1
full_context,tmqm_142,L3,dent=1,1,1
full_context,tmqm_143,L3,dent=1,1,0
full_context,tmqm_143,L1,dent=1,1,0
full_context,tmqm_144,L4,dent=1,1,1
full_context,tmqm_144,L2,dent=1,1,1
full_context,tmqm_145,L1,dent=2,2,1
full_context,tmqm_146,L1,dent=2,2,1
full_context,tmqm_147,L4,dent=2,2,1
full_context,tmqm_148,L1,dent=2,2,1
full_context,tmqm_149,L1,dent=2,2,1
full_context,tmqm_150,L1,dent=1,1,1
full_context,tmqm_150,L4,dent=1,1,1
full_context,tmqm_151,L4,dent=1,1,1
full_context,tmqm_151,L1,dent=1,1,1
full_context,tmqm_152,L1,dent=2,2,1
full_context,tmqm_153,L3,dent=1,1,1
full_context,tmqm_153,L4,dent=1,1,1
full_context,tmqm_154,L1,dent=2,2,1
full_context,tmqm_155,L1,dent=1,1,0
full_context,tmqm_155,L2,dent=1,1,1
full_context,tmqm_156,L3,dent=2,2,1
full_context,tmqm_157,L1,dent=1,1,1
full_context,tmqm_157,L2,dent=1,1,1
full_context,tmqm_158,L1,dent=2,2,1
full_context,tmqm_159,L1,dent=1,1,1
full_context,tmqm_159,L2,dent=1,1,1
full_context,tmqm_160,L1,dent=2,2,1
full_context,tmqm_161,L1,dent=1,1,1
full_context,tmqm_161,L5,dent=1,1,1
full_context,tmqm_162,L3,dent=1,1,1
full_context,tmqm_162,L1,dent=1,1,1
full_context,tmqm_163,L3,dent=1,1,0
full_context,tmqm_163,L1,dent=1,1,1
full_context,tmqm_164,L2,dent=1,1,0
full_context,tmqm_164,L1,dent=1,1,1
full_context,tmqm_165,L1,dent=2,2,0
full_context,tmqm_166,L1,dent=2,2,1
full_context,tmqm_167,L2,dent=2,2,1
full_context,tmqm_168,L3,dent=1,1,1
full_context,tmqm_168,L1,dent=1,1,1
full_context,tmqm_169,L1,dent=2,2,0
full_context,tmqm_170,L1,dent=2,2,0
full_context,tmqm_171,L2,dent=2,2,1
full_context,tmqm_172,L3,dent=1,1,1
full_context,tmqm_172,L1,dent=1,1,1
full_context,tmqm_173,L2,dent=1,1,0
full_context,tmqm_173,L3,dent=1,1,0
full_context,tmqm_174,L2,dent=1,1,1
full_context,tmqm_174,L1,dent=1,1,1
full_context,tmqm_175,L1,dent=2,2,1
full_context,tmqm_176,L1,dent=2,2,1
full_context,tmqm_177,L2,dent=2,2,1
full_context,tmqm_178,L2,dent=1,1,1
full_context,tmqm_178,L3,dent=1,1,0
full_context,tmqm_179,L3,dent=1,1,1
full_context,tmqm_179,L1,dent=1,1,1
full_context,tmqm_180,L1,dent=2,2,0
full_context,tmqm_181,L1,dent=2,2,1
full_context,tmqm_182,L4,dent=1,1,1
full_context,tmqm_182,L3,dent=1,1,0
full_context,tmqm_183,L2,dent=1,1,1
full_context,tmqm_183,L3,dent=1,1,1
full_context,tmqm_184,L1,dent=2,2,1
full_context,tmqm_185,L1,dent=2,2,1
full_context,tmqm_186,L3,dent=1,1,1
full_context,tmqm_186,L2,dent=1,1,1
full_context,tmqm_187,L1,dent=1,1,0
full_context,tmqm_187,L2,dent=1,1,0
full_context,tmqm_188,L1,dent=1,1,1
full_context,tmqm_188,L4,dent=1,1,1
full_context,tmqm_189,L2,dent=1,1,0
full_context,tmqm_189,L3,dent=1,1,1
full_context,tmqm_190,L2,dent=1,1,0
full_context,tmqm_190,L4,dent=1,1,1
full_context,tmqm_191,L1,dent=1,1,1
full_context,tmqm_191,L3,dent=1,1,1
full_context,tmqm_192,L2,dent=2,2,0
full_context,tmqm_193,L1,dent=2,2,1
full_context,tmqm_194,L1,dent=1,1,1
full_context,tmqm_194,L2,dent=1,1,1
full_context,tmqm_195,L2,dent=2,2,1
