refcode,n_metals,is_polymeric,has_disorder,reason
YOHJAG,20,False,False,metals>12
AGEXIX,22,False,True,metals>12
FUYREX,15,False,True,metals>12
DAMMAI,24,False,False,metals>12
DUPKEI,13,False,True,metals>12
BUDGEO,18,True,True,metals>12
IYUWIJ,28,False,True,metals>12
NIYBOQ,18,False,True,metals>12
KIBSUN,13,True,True,metals>12
AWAKEP,18,False,True,metals>12
MIWZOL,14,False,True,metals>12
FEPQIE,24,False,True,metals>12
OXOCIQ,22,False,False,metals>12
ZALGUS,24,True,True,metals>12
NIWQIV,13,False,False,metals>12
NUVTEG,31,True,True,metals>12
EHEPOX,24,False,False,metals>12
KICCOS,13,True,True,metals>12
CIWZAL,13,False,False,metals>12
ENEZIH,13,True,True,metals>12
WAQBOJ,16,True,True,metals>12
WOGYEZ01,13,True,False,metals>12
TETYUP,18,False,True,metals>12
HOXHOS,16,True,True,metals>12
MATFIY,26,True,False,metals>12
UCOXOZ,14,True,False,metals>12
XAVYOM,28,False,True,metals>12
POLYUL,14,True,False,metals>12
ECOKAM,20,False,True,metals>12
MANCUD,27,True,True,metals>12
LIRFAX,18,False,True,metals>12
KUFCOG,23,False,True,metals>12
QOJMUB,23,True,True,metals>12
QOKBEZ,19,True,True,metals>12
YOGMOX,34,True,True,metals>12
DEGBAW,13,False,True,metals>12
NIYSUM,25,True,True,metals>12
RIPJOR,14,False,True,metals>12
YAWDEJ,13,True,True,metals>12
KOMLUW,13,True,True,metals>12
ATOMOO,22,True,True,metals>12
PIQSUH,30,True,True,metals>12
INOFAV,37,True,True,metals>12
REMNOO,15,False,False,metals>12
IYOSOH,20,False,True,metals>12
ZIVFOD,26,True,True,metals>12
FODBEH,13,False,True,metals>12
LIWTET,17,True,False,metals>12
KILDOA,20,False,True,metals>12
OWILIR,13,True,True,metals>12
NUGVIW,63,False,True,metals>12
CICQIS,15,True,True,metals>12
VUDPIV,16,True,False,metals>12
UWITAY,28,True,True,metals>12
SIVVAX01,14,True,True,metals>12
ZUSZIA,34,False,True,metals>12
MEJZEK,16,False,True,metals>12
NIJYOY,23,True,True,metals>12
VAXYOM,18,False,True,metals>12
MUFPEK,36,False,True,metals>12
CIDSOZ,93,False,True,metals>12
JEDKEJ,13,True,False,metals>12
ECEYEU,13,True,True,metals>12
DICVAP,14,True,True,metals>12
