refcode,n_metals,is_polymeric,has_disorder,old_record_generated,scope_class
RAHWOO,2,False,True,True,molecular_multinuclear_supported
BUVGEH,5,False,True,True,molecular_multinuclear_supported
TEBDEJ,3,True,False,True,molecular_multinuclear_supported
ZOCWEV,2,False,False,True,molecular_multinuclear_supported
DUPKEI,13,False,True,False,polymeric_or_extended_future_scope
ROJRAK,3,True,False,True,molecular_multinuclear_supported
CETREY,2,False,False,True,molecular_multinuclear_supported
JIDQOG,2,False,True,True,molecular_multinuclear_supported
BUDGEO,18,True,True,False,polymeric_or_extended_future_scope
RUXBUK,8,False,False,True,molecular_multinuclear_supported
DOCHOU,2,False,True,True,molecular_multinuclear_supported
MADXUL,3,False,True,True,molecular_multinuclear_supported
YEPGIN,2,False,False,True,molecular_multinuclear_supported
CAYMIY,2,False,True,False,molecular_multinuclear_supported
UJUBAD,7,False,False,False,molecular_multinuclear_supported
WEGKOK,7,True,False,True,molecular_multinuclear_supported
QEYNUE,3,True,False,True,molecular_multinuclear_supported
IYUWIJ,28,False,True,False,polymeric_or_extended_future_scope
KAHZIG,4,False,True,True,molecular_multinuclear_supported
TIPVEW01,2,False,True,True,molecular_multinuclear_supported
ADOTOE,2,False,False,True,molecular_multinuclear_supported
ABUMET,2,False,True,True,molecular_multinuclear_supported
MORXUM,3,False,True,False,molecular_multinuclear_supported
LEMJET,6,True,False,True,molecular_multinuclear_supported
NIYBOQ,18,False,True,False,polymeric_or_extended_future_scope
KUQJEO,2,False,False,True,molecular_multinuclear_supported
LECTUK,2,False,False,True,molecular_multinuclear_supported
LUKRUE,4,True,False,True,molecular_multinuclear_supported
BOVFIE,4,False,False,True,molecular_multinuclear_supported
PUZZIV,2,False,False,True,molecular_multinuclear_supported
HESBEM,2,True,True,True,molecular_multinuclear_supported
UFOTOB,6,False,True,False,molecular_multinuclear_supported
UQEFIG,7,True,True,False,molecular_multinuclear_supported
FACNOM,2,False,False,True,molecular_multinuclear_supported
KIBSUN,13,True,True,False,polymeric_or_extended_future_scope
AWAKEP,18,False,True,False,polymeric_or_extended_future_scope
ORUVED,12,False,True,True,molecular_multinuclear_supported
PACTAS,2,False,False,True,molecular_multinuclear_supported
QACCEC,7,False,False,True,molecular_multinuclear_supported
SOTHIS,2,True,False,True,molecular_multinuclear_supported
YAJFEV,2,False,False,True,molecular_multinuclear_supported
SIGDUI01,8,False,True,True,molecular_multinuclear_supported
DENHIQ,6,False,True,False,molecular_multinuclear_supported
FESTAA,2,False,False,False,ambiguous_bonding_uncertain
VEWFOV,2,False,True,True,molecular_multinuclear_supported
KABCEV,2,False,False,True,molecular_multinuclear_supported
ZIVMOI,10,False,True,True,molecular_multinuclear_supported
CPCOBI10,2,False,False,True,molecular_multinuclear_supported
DOBWUO,6,False,False,True,molecular_multinuclear_supported
WOYHEA,4,False,False,False,molecular_multinuclear_supported
CEDCIX,2,False,False,True,molecular_multinuclear_supported
BUDXEG,3,True,False,True,molecular_multinuclear_supported
FIMLUJ,2,False,True,True,molecular_multinuclear_supported
WIJROX,2,False,False,True,molecular_multinuclear_supported
TASKEE,2,False,False,True,molecular_multinuclear_supported
UJIGEZ,10,True,False,True,molecular_multinuclear_supported
POLCUO,3,False,False,False,molecular_multinuclear_supported
NAHPUI01,2,False,False,True,molecular_multinuclear_supported
YISRID13,2,False,False,True,molecular_multinuclear_supported
MIWZOL,14,False,True,False,polymeric_or_extended_future_scope
UJUWUT,6,False,True,True,molecular_multinuclear_supported
QORBEE01,4,True,False,True,molecular_multinuclear_supported
EWERUT,5,True,False,True,molecular_multinuclear_supported
DEWSON,2,False,True,True,molecular_multinuclear_supported
AQEQOC,2,False,False,True,molecular_multinuclear_supported
CIJJEM,4,False,False,True,molecular_multinuclear_supported
SUBVAQ,4,False,True,False,molecular_multinuclear_supported
DOXLUB,2,False,True,True,molecular_multinuclear_supported
HALHAG,8,False,True,True,molecular_multinuclear_supported
XOXSAI,2,False,False,True,molecular_multinuclear_supported
ULALUP,2,False,False,True,molecular_multinuclear_supported
IHOQAX,3,False,False,True,molecular_multinuclear_supported
CIPJAO,8,False,True,True,molecular_multinuclear_supported
VUPKAV,2,False,False,True,molecular_multinuclear_supported
MOQJEH,2,False,True,True,molecular_multinuclear_supported
BURTIR,4,False,False,True,molecular_multinuclear_supported
UNOTEX,4,True,False,True,molecular_multinuclear_supported
COKSOO,2,False,False,True,molecular_multinuclear_supported
PIXKEO,2,False,False,True,molecular_multinuclear_supported
MUVNAU,2,False,True,True,molecular_multinuclear_supported
GOJHEV,7,True,True,True,molecular_multinuclear_supported
DEQWOL,2,False,True,True,molecular_multinuclear_supported
CEPYOP,12,True,True,False,molecular_multinuclear_supported
GAHWER,3,False,True,False,molecular_multinuclear_supported
PECTEZ,2,False,True,True,molecular_multinuclear_supported
PUSZUC,12,False,True,False,molecular_multinuclear_supported
BIDCUN,3,False,False,True,molecular_multinuclear_supported
ALPTCL10,8,False,False,True,molecular_multinuclear_supported
AJULID01,5,True,False,True,molecular_multinuclear_supported
GACVEL,2,False,True,True,molecular_multinuclear_supported
LAYZIU,2,False,True,True,molecular_multinuclear_supported
MISSEO,2,False,True,True,molecular_multinuclear_supported
WUYXUM,4,False,True,True,molecular_multinuclear_supported
