refcode,metal_count,metals,n_sites,bridge_count,parse_valid,roundtrip_valid,metal_order_invariant,atom_order_invariant,ligand_order_invariant,bridge_consistency_valid,local_sphere_consistency_valid,identity_keys_present,record_generated,failure_stage,failure_reason
YOPCIS,9,Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn,20,8,True,True,True,True,True,True,True,True,True,,
CPCNCB,2,Co+Ni,6,2,True,True,True,True,True,True,True,True,True,,
EMANEN03,2,Ag+Ag,4,0,True,True,True,True,True,True,True,True,True,,
IVURUM,3,Co+Ru+Ru,12,0,True,True,True,True,True,True,True,True,True,,
CBUPRH,2,Rh+Rh,10,2,True,True,True,True,True,True,True,True,True,,
UBOREI,2,Au+Au,4,0,True,True,True,True,True,True,True,True,True,,
ETOREN,2,Cu+Cu,6,2,True,True,True,True,True,True,True,True,True,,
IBAGID,2,Ag+Pd,9,0,True,True,True,True,True,True,True,True,True,,
DEJYOG,2,Cu+Cu,6,2,True,True,True,True,True,True,True,True,True,,
TIMMUY,2,Ag+Ag,7,0,True,True,True,True,True,True,True,True,True,,
GIXWUG,2,Zn+Zn,4,1,True,True,True,True,True,True,True,True,True,,
JANZOQ,3,Hg+Hg+Hg,4,2,True,True,True,True,True,True,True,True,True,,
SUKQIY,3,Zr+Zr+Zr,6,0,True,True,True,True,True,True,True,True,True,,
WUDMER,8,Cu+Cu+Cu+Cu+Mo+Mo+Mo+Mo,23,13,True,True,True,True,True,True,True,True,True,,
GEKJIQ,4,Fe+Fe+Pd+Pd,8,0,True,True,True,True,True,True,True,True,True,,
GATJIU10,3,Zr+Zr+Zr,8,5,True,True,True,True,True,True,True,True,True,,
DEFGIG,2,Zn+Zn,8,2,True,True,True,True,True,True,True,True,True,,
ETIXUC,7,Zn+Zn+Zn+Zn+Zn+Zn+Zn,14,4,True,True,True,True,True,True,True,True,True,,
YANXAO,4,Mn+Mn+Mn+Mn,12,2,True,True,True,True,True,True,True,True,True,,
DULHOK,7,Zn+Zn+Zn+Zn+Zn+Zn+Zn,10,4,True,True,True,True,True,True,True,True,True,,
XEBZIO,2,Ag+Ag,4,0,True,True,True,True,True,True,True,True,True,,
VUTKEB,3,Fe+Fe+W,6,0,True,True,True,True,True,True,True,True,True,,
XIZPII01,3,Cd+Cd+Cd,4,2,True,True,True,True,True,True,True,True,True,,
YOFKAF,2,Cu+Fe,9,1,True,True,True,True,True,True,True,True,True,,
BEGWOZ,2,Fe+Fe,9,2,True,True,True,True,True,True,True,True,True,,
XEHQUY,2,Ru+Ru,4,2,True,True,True,True,True,True,True,True,True,,
EBIROY,6,Zn+Zn+Zn+Zn+Zn+Zn,10,4,True,True,True,True,True,True,True,True,True,,
VUKYIL,6,Cd+Cd+Cd+Cd+Cd+Cd,10,4,True,True,True,True,True,True,True,True,True,,
GUFLAW,2,Pt+Pt,12,0,True,True,True,True,True,True,True,True,True,,
VEJYUF,5,Zn+Zn+Zn+Zn+Zn,11,0,True,True,True,True,True,True,True,True,True,,
ABEZOW,2,Y+Y,12,0,True,True,True,True,True,True,True,True,True,,
KURPIX,2,Cd+Cd,12,0,True,True,True,True,True,True,True,True,True,,
BCPDMN,2,Mn+Mn,4,0,True,True,True,True,True,True,True,True,True,,
GUQVAS,2,Sc+Sc,12,0,True,True,True,True,True,True,True,True,True,,
CEZWOV,2,Ag+Ag,4,2,True,True,True,True,True,True,True,True,True,,
DUJMIH,2,Ni+Ni,10,2,True,True,True,True,True,True,True,True,True,,
YOXZUH,12,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,56,8,True,True,True,True,True,True,True,True,True,,
YEXJUH,4,Cu+Cu+Cu+Cu,18,2,True,True,True,True,True,True,True,True,True,,
YAXYUV01,2,Ni+W,12,0,True,True,True,True,True,True,True,True,True,,
HXPAUP,4,Au+Au+Au+Au,12,4,True,True,True,True,True,True,True,True,True,,
WODKUZ,3,Cu+Cu+Cu,9,0,True,True,True,True,True,True,True,True,True,,
HUQCOO,4,Au+Fe+Fe+Fe,3,0,True,True,True,True,True,True,True,True,True,,
ZAYLUJ,6,Ti+Ti+Ti+Ti+Ti+Ti,30,6,True,True,True,True,True,True,True,True,True,,
RUFWIA,2,Co+Fe,2,2,True,True,True,True,True,True,True,True,True,,
HAJRAO,4,Cu+Cu+Cu+Cu,10,0,True,True,True,True,True,True,True,True,True,,
MAVLOO,2,Fe+Fe,8,2,True,True,True,True,True,True,True,True,True,,
KIZPAN,4,Hf+Hf+Hf+Hf,14,4,True,True,True,True,True,True,True,True,True,,
RIRDAA,2,Cu+Cu,8,2,True,True,True,True,True,True,True,True,True,,
YOSPUV,3,Cu+Cu+Cu,2,2,True,True,True,True,True,True,True,True,True,,
QUVPIH,2,Mn+Mn,8,2,True,True,True,True,True,True,True,True,True,,
IHOKOI,2,Ag+Ag,8,0,True,True,True,True,True,True,True,True,True,,
PIMFAU,5,Fe+Fe+Sc+Sc+Sc,32,0,True,True,True,True,True,True,True,True,True,,
WUQYIU,2,Au+Au,4,0,True,True,True,True,True,True,True,True,True,,
REQZIY,2,Rh+Rh,10,0,True,True,True,True,True,True,True,True,True,,
QAWWUK,4,Cu+Cu+Cu+Cu,4,3,True,True,True,True,True,True,True,True,True,,
XECTIK,3,Ni+Ni+Ni,16,2,True,True,True,True,True,True,True,True,True,,
