refcode,n_metals,is_polymeric,has_disorder,old_failure_stage,old_failure_reason,diagnosis_category,fix_applied,fix_result
HEBVIW,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
SEMXER,32,False,True,metal_count,too_many_metals_32,polymeric_or_extended_future_scope,,out_of_scope
HIMTEE,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
GUCXAF,30,False,True,metal_count,too_many_metals_30,polymeric_or_extended_future_scope,,out_of_scope
INEWOO,10,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
TIZGOA01,22,False,False,metal_count,too_many_metals_22,polymeric_or_extended_future_scope,,out_of_scope
QEBBUY,16,False,True,metal_count,too_many_metals_16,polymeric_or_extended_future_scope,,out_of_scope
KABMEI,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
QOXNOG,4,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
GUJGUN,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
TISHUY,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ZUTMIN,19,True,True,metal_count,too_many_metals_19,polymeric_or_extended_future_scope,,out_of_scope
KOCQOL,24,False,True,metal_count,too_many_metals_24,polymeric_or_extended_future_scope,,out_of_scope
QOYKOG,22,False,True,metal_count,too_many_metals_22,polymeric_or_extended_future_scope,,out_of_scope
ONIBET,3,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ZAZFIS,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
KORFEG,6,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
TEXSEV,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ITERUV,6,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
NOPXUO,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ISAKUK,18,True,True,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
LUXDOX,6,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
HEWWEO,17,True,True,metal_count,too_many_metals_17,polymeric_or_extended_future_scope,,out_of_scope
JUFZER,11,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
PYDAMN03,5,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ILELOD,12,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
XOQBOW,14,False,False,metal_count,too_many_metals_14,polymeric_or_extended_future_scope,,out_of_scope
KUSLIV,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
LIMLID,17,False,False,metal_count,too_many_metals_17,polymeric_or_extended_future_scope,,out_of_scope
GUXSAV,2,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
BELTET,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
XESTIB,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
CILMIU26,28,True,False,metal_count,too_many_metals_28,polymeric_or_extended_future_scope,,out_of_scope
HEPPUR,14,False,True,metal_count,too_many_metals_14,polymeric_or_extended_future_scope,,out_of_scope
DOSWOZ,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
EZUPUK,10,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DOHPIB,13,False,False,metal_count,too_many_metals_13,polymeric_or_extended_future_scope,,out_of_scope
GEFXEX,5,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ZIJNEP,32,False,True,metal_count,too_many_metals_32,polymeric_or_extended_future_scope,,out_of_scope
AWENUN,22,False,True,metal_count,too_many_metals_22,polymeric_or_extended_future_scope,,out_of_scope
GILVOP,48,False,True,metal_count,too_many_metals_48,polymeric_or_extended_future_scope,,out_of_scope
QOCKOJ,20,True,True,metal_count,too_many_metals_20,polymeric_or_extended_future_scope,,out_of_scope
IYOCEH,8,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
BEMYIB10,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
KIDLER,15,False,False,metal_count,too_many_metals_15,polymeric_or_extended_future_scope,,out_of_scope
WODNEI,3,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
JOVWAU06,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
BIZJOK,4,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
NEKZUY,5,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
YECZEN,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
MEBFAA,24,True,True,metal_count,too_many_metals_24,polymeric_or_extended_future_scope,,out_of_scope
UQAVAK,12,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DOQFEU,6,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
HOBZOP,2,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
NUDNUW07,17,True,True,metal_count,too_many_metals_17,polymeric_or_extended_future_scope,,out_of_scope
CUHVEG01,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
KOGNEZ,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
JOQPOU,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
GECQEO,37,False,False,metal_count,too_many_metals_37,polymeric_or_extended_future_scope,,out_of_scope
FORWUF,15,True,False,metal_count,too_many_metals_15,polymeric_or_extended_future_scope,,out_of_scope
CEVQOK,14,False,False,metal_count,too_many_metals_14,polymeric_or_extended_future_scope,,out_of_scope
MULVEU,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
IVOPAM,10,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
CUIPDT01,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
BIKNUG01,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
NIQDEW,3,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ADAZAH,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
FIPZIR,6,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DACDUH,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
HISGEZ,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
IXIQEO,15,True,False,metal_count,too_many_metals_15,polymeric_or_extended_future_scope,,out_of_scope
SEDJUH,16,True,True,metal_count,too_many_metals_16,polymeric_or_extended_future_scope,,out_of_scope
ZOHHOW,30,True,True,metal_count,too_many_metals_30,polymeric_or_extended_future_scope,,out_of_scope
SIWJUG,8,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
PUWBOC,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
OZOHIX,31,True,False,metal_count,too_many_metals_31,polymeric_or_extended_future_scope,,out_of_scope
VEDPAY,32,False,True,metal_count,too_many_metals_32,polymeric_or_extended_future_scope,,out_of_scope
DAGXER,7,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
WOKPUJ,186,False,True,metal_count,too_many_metals_186,polymeric_or_extended_future_scope,,out_of_scope
HEJRIB,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ETPHGC10,3,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
IWUHAJ,2,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
WECGIU02,6,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DECMUT,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ROVGIV,48,False,True,metal_count,too_many_metals_48,polymeric_or_extended_future_scope,,out_of_scope
LOGFUJ,42,False,False,metal_count,too_many_metals_42,polymeric_or_extended_future_scope,,out_of_scope
TICDEQ,12,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
FOZVUN,3,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
HAWPAX,7,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DANZEZ,17,True,True,metal_count,too_many_metals_17,polymeric_or_extended_future_scope,,out_of_scope
VAQPIM,12,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
YIZJAU,8,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
GECRIS,43,True,True,metal_count,too_many_metals_43,polymeric_or_extended_future_scope,,out_of_scope
KAKDAC01,23,True,False,metal_count,too_many_metals_23,polymeric_or_extended_future_scope,,out_of_scope
FOQFUO,6,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
MALFIP01,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
HAJFII,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
PAMTOP,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
LAKHIQ,7,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
EBOXEA,9,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DADWIT,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DUDHAO,12,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
NIRQOW,38,False,False,metal_count,too_many_metals_38,polymeric_or_extended_future_scope,,out_of_scope
MENBOX02,14,True,False,metal_count,too_many_metals_14,polymeric_or_extended_future_scope,,out_of_scope
POSLIS10,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DIJSIY,4,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
IPEGIU,18,False,True,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
UMEKEE,5,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
GEVREI,6,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
XIRYOO,8,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
QEPCIX,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
BUZNEQ,4,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
QUJMAM,6,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
CIFCOL,18,True,True,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
ASISON,15,False,True,metal_count,too_many_metals_15,polymeric_or_extended_future_scope,,out_of_scope
GUPKOV,16,True,True,metal_count,too_many_metals_16,polymeric_or_extended_future_scope,,out_of_scope
KOVFOU,4,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
QUBLEE,5,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
WODGAY,28,False,False,metal_count,too_many_metals_28,polymeric_or_extended_future_scope,,out_of_scope
TIMKUY,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
BAFQIM,13,False,True,metal_count,too_many_metals_13,polymeric_or_extended_future_scope,,out_of_scope
OQIQUB,16,True,False,metal_count,too_many_metals_16,polymeric_or_extended_future_scope,,out_of_scope
BISZUA,18,False,True,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
NECQUI,6,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
XIYJAQ,4,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
SIDJOF,6,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
RUVWAK,24,False,True,metal_count,too_many_metals_24,polymeric_or_extended_future_scope,,out_of_scope
ORIHED,6,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
PEJGET,172,True,True,metal_count,too_many_metals_172,polymeric_or_extended_future_scope,,out_of_scope
MIXBEE,24,False,True,metal_count,too_many_metals_24,polymeric_or_extended_future_scope,,out_of_scope
XUXCAX,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
IHEVEA,2,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
CALDEC,4,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
WUYRAN,6,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DUYKIV,15,False,True,metal_count,too_many_metals_15,polymeric_or_extended_future_scope,,out_of_scope
PEHSAX,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
CUBPUN,13,True,True,metal_count,too_many_metals_13,polymeric_or_extended_future_scope,,out_of_scope
VOPRIB,12,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
PITBUQ,28,True,False,metal_count,too_many_metals_28,polymeric_or_extended_future_scope,,out_of_scope
NEMDEP,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DALDEZ,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
XALTOV,14,True,False,metal_count,too_many_metals_14,polymeric_or_extended_future_scope,,out_of_scope
VAYCUT,3,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
SAZYEA,12,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
MENDIW,88,False,True,metal_count,too_many_metals_88,polymeric_or_extended_future_scope,,out_of_scope
YIVSAY,22,True,False,metal_count,too_many_metals_22,polymeric_or_extended_future_scope,,out_of_scope
NOTVEB,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
BOMZUZ,21,False,True,metal_count,too_many_metals_21,polymeric_or_extended_future_scope,,out_of_scope
FOHYAE,50,False,False,metal_count,too_many_metals_50,polymeric_or_extended_future_scope,,out_of_scope
FEJXIB,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
XIWQOJ,20,False,False,metal_count,too_many_metals_20,polymeric_or_extended_future_scope,,out_of_scope
KICWOM,26,False,True,metal_count,too_many_metals_26,polymeric_or_extended_future_scope,,out_of_scope
JIRVUB,2,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
GABNIG,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
CUVHUA,13,True,True,metal_count,too_many_metals_13,polymeric_or_extended_future_scope,,out_of_scope
ROMGOT,18,False,True,metal_count,too_many_metals_18,polymeric_or_extended_future_scope,,out_of_scope
YOKHAH01,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
LORNEL,5,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
REPFIF,28,False,True,metal_count,too_many_metals_28,polymeric_or_extended_future_scope,,out_of_scope
NINVOZ,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
ELEYOM,7,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
IDUTIM,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
FUGRAE,11,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
OJEKIZ01,4,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
AKAQOU,46,False,True,metal_count,too_many_metals_46,polymeric_or_extended_future_scope,,out_of_scope
HIKSIF,30,True,True,metal_count,too_many_metals_30,polymeric_or_extended_future_scope,,out_of_scope
JOPQIR,3,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
VIDGIB,6,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
WEPYOF,2,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
WUTFOJ,36,False,True,metal_count,too_many_metals_36,polymeric_or_extended_future_scope,,out_of_scope
ZISGAN,5,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DIYSEJ,3,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
ROJRIR,30,False,True,metal_count,too_many_metals_30,polymeric_or_extended_future_scope,,out_of_scope
EPIQAX,15,False,True,metal_count,too_many_metals_15,polymeric_or_extended_future_scope,,out_of_scope
NUSDIQ,10,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
LOKXEO,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
TIQPUH,34,False,True,metal_count,too_many_metals_34,polymeric_or_extended_future_scope,,out_of_scope
XEXNEV,7,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
XEZCAJ,2,False,False,site_detection,no_sites_found,ambiguous_bonding_uncertain,,out_of_scope
CUVCEB,4,False,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
BAGBOE,7,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
IGEJIQ,12,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DOTJOO01,8,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DINBIP,4,True,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
DUXKEN,55,False,True,metal_count,too_many_metals_55,polymeric_or_extended_future_scope,,out_of_scope
DAHGAU,2,False,True,site_detection,no_sites_found,disorder_or_partial_occupancy,,out_of_scope
JEDROC,22,False,True,metal_count,too_many_metals_22,polymeric_or_extended_future_scope,,out_of_scope
BOVGAY,4,False,True,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,parser_roundtrip_bug,bfs_label_fix,now_passes
