region,feature,value,count_in_region,n_region,fraction_in_region,fraction_overall,odds_ratio
SP-like,metal,Cr,44,3406,0.0129,0.0065,2.174
intermediate/boundary,donor_set,P,37,2597,0.0142,0.0071,2.148
Td-like,metal_row,5,12444,41184,0.3022,0.2853,2.115
intermediate/boundary,metal,Ir,55,2597,0.0212,0.011,2.067
intermediate/boundary,metal,Ag,84,2597,0.0323,0.0176,1.967
intermediate/boundary,metal,Fe,152,2597,0.0585,0.0333,1.893
intermediate/boundary,donor_set,"C,S",44,2597,0.0169,0.0095,1.88
SP-like,has_stereo,True,2570,3406,0.7546,0.6316,1.868
Td-like,d_count,d8,22173,41184,0.5384,0.519,1.857
SP-like,d_count,d9,775,3406,0.2275,0.1515,1.729
SP-like,metal,Cu,775,3406,0.2275,0.1515,1.729
SP-like,denticity_pattern,1-1,390,3406,0.1145,0.0734,1.713
intermediate/boundary,donor_set,C,65,2597,0.025,0.0155,1.691
Td-like,donor_set,"Cl,N",2441,41184,0.0593,0.0567,1.56
SP-like,donor_set,"C,N",206,3406,0.0605,0.0414,1.55
intermediate/boundary,metal,Ni,490,2597,0.1887,0.1363,1.513
intermediate/boundary,donor_set,"N,O",219,2597,0.0843,0.0611,1.448
Td-like,d_count,d7,2066,41184,0.0502,0.0483,1.436
intermediate/boundary,denticity_pattern,1-1,256,2597,0.0986,0.0734,1.411
intermediate/boundary,denticity_pattern,4,167,2597,0.0643,0.0481,1.39
intermediate/boundary,d_count,d10,321,2597,0.1236,0.0956,1.36
intermediate/boundary,metal,Zn,321,2597,0.1236,0.0956,1.36
intermediate/boundary,metal,Co,171,2597,0.0658,0.0516,1.318
SP-like,donor_set,C,67,3406,0.0197,0.0155,1.301
Td-like,has_stereo,True,26253,41184,0.6375,0.6316,1.217
Td-like,oxidation_state,+2,34330,41184,0.8336,0.8305,1.177
intermediate/boundary,d_count,d7,143,2597,0.0551,0.0483,1.158
Td-like,donor_set,N,2219,41184,0.0539,0.053,1.155
SP-like,donor_set,N,187,3406,0.0549,0.053,1.041
intermediate/boundary,denticity_pattern,3-1,154,2597,0.0593,0.0584,1.018
Td-like,metal,Fe,1372,41184,0.0333,0.0333,1.01
Td-like,metal,Ag,723,41184,0.0176,0.0176,0.994
SP-like,oxidation_state,+2,2821,3406,0.8282,0.8305,0.983
SP-like,donor_set,"Cl,N",183,3406,0.0537,0.0567,0.941
SP-like,metal,Co,165,3406,0.0484,0.0516,0.931
SP-like,d_count,d10,301,3406,0.0884,0.0956,0.911
SP-like,metal,Zn,301,3406,0.0884,0.0956,0.911
Td-like,metal,Co,2098,41184,0.0509,0.0516,0.905
Td-like,d_count,d10,3890,41184,0.0945,0.0956,0.902
Td-like,metal,Zn,3890,41184,0.0945,0.0956,0.902
Td-like,donor_set,"C,N",1678,41184,0.0407,0.0414,0.888
intermediate/boundary,donor_set,"P,S",22,2597,0.0085,0.01,0.834
SP-like,d_count,d8,1624,3406,0.4768,0.519,0.834
Td-like,has_stereo,False,14931,41184,0.3625,0.3684,0.822
intermediate/boundary,donor_set,"N,S",36,2597,0.0139,0.0171,0.801
intermediate/boundary,oxidation_state,+2,2040,2597,0.7855,0.8305,0.733
SP-like,metal,Pd,547,3406,0.1606,0.2165,0.675
SP-like,denticity_pattern,2-1-1,406,3406,0.1192,0.1642,0.672
intermediate/boundary,donor_set,N,95,2597,0.0366,0.053,0.666
intermediate/boundary,donor_set,"C,N",68,2597,0.0262,0.0414,0.609
Td-like,denticity_pattern,1-1,2817,41184,0.0684,0.0734,0.609
intermediate/boundary,donor_set,"C,N,O",31,2597,0.0119,0.0192,0.605
SP-like,metal_row,5,641,3406,0.1882,0.2853,0.56
Td-like,denticity_pattern,3-1,2199,41184,0.0534,0.0584,0.553
SP-like,denticity_pattern,2-2,254,3406,0.0746,0.1268,0.535
SP-like,has_stereo,False,836,3406,0.2454,0.3684,0.535
intermediate/boundary,oxidation_state,+1,30,2597,0.0116,0.0227,0.488
Td-like,d_count,d9,5657,41184,0.1374,0.1515,0.482
Td-like,metal,Cu,5657,41184,0.1374,0.1515,0.482
intermediate/boundary,metal_row,6,289,2597,0.1113,0.2183,0.432
Td-like,denticity_pattern,4,1716,41184,0.0417,0.0481,0.429
intermediate/boundary,metal_row,5,379,2597,0.1459,0.2853,0.411
SP-like,d_count,d7,70,3406,0.0206,0.0483,0.395
Td-like,donor_set,"C,N,O",664,41184,0.0161,0.0192,0.393
SP-like,metal,Fe,46,3406,0.0135,0.0333,0.38
Td-like,donor_set,"N,O",2117,41184,0.0514,0.0611,0.369
Td-like,metal,Ni,4831,41184,0.1173,0.1363,0.366
SP-like,metal,Au,38,3406,0.0112,0.0298,0.35
Td-like,d_count,d6,1681,41184,0.0408,0.05,0.333
intermediate/boundary,has_stereo,True,978,2597,0.3766,0.6316,0.33
intermediate/boundary,d_count,d8,692,2597,0.2665,0.519,0.317
intermediate/boundary,donor_set,"Cl,N",50,2597,0.0193,0.0567,0.314
SP-like,metal,Pt,184,3406,0.054,0.1502,0.305
Td-like,metal_row,4,18982,41184,0.4609,0.4963,0.301
Td-like,denticity_pattern,2,189,41184,0.0046,0.0061,0.281
SP-like,metal_row,6,255,3406,0.0749,0.2183,0.272
intermediate/boundary,denticity_pattern,2-2,101,2597,0.0389,0.1268,0.266
intermediate/boundary,denticity_pattern,2-1-1,120,2597,0.0462,0.1642,0.235
intermediate/boundary,metal,Pd,158,2597,0.0608,0.2165,0.222
intermediate/boundary,metal,Pt,69,2597,0.0266,0.1502,0.146
SP-like,denticity_pattern,1-1-1-1,67,3406,0.0197,0.1387,0.116
intermediate/boundary,denticity_pattern,1-1-1-1,34,2597,0.0131,0.1387,0.078
Td-like,oxidation_state,+3,47,41184,0.0011,0.0044,0.042
Td-like,oxidation_state,+4,48,41184,0.0012,0.0068,0.025
Td-like,denticity_pattern,3-3,28,41184,0.0007,0.0127,0.006
