refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_TBPY,S_SPY,log_S_TBPY,log_S_SPY,boundary_delta,path_coordinate,boundary_coordinate,L0_hash,L1_hash,L3_hash
PIXWOL,Zn,+2,d10,,,3.4700,4.5700,0.5403,0.6599,1.1000,0.4316,0.1368,352864632314,133401661041,776131214603
PIXZUR,Pt,+2,d8,"C,N",2-1-1,5.6300,7.4900,0.7505,0.8745,1.8600,0.4291,0.1418,101358743476,380560605260,208846231795
PIXZUR10,Pt,+2,d8,"C,N",2-1-1,5.6300,7.4900,0.7505,0.8745,1.8600,0.4291,0.1418,101358743476,380560605260,208846231795
PIYDAD,Zn,+2,d10,,,4.7400,6.0600,0.6758,0.7825,1.3200,0.4389,0.1222,251057627973,506801184440,619530009802
PIYFEK,La,,,,,0.5700,6.4100,-0.2441,0.8069,5.8400,0.0817,0.8367,884844973470,589232241460,645654849541
PIYGEN,Pd,+2,d8,N,4,0.8300,1.2700,-0.0809,0.1038,0.4400,0.3952,0.2095,19092533402,923841039564,993873921209
PIYGOX,Pd,+2,d8,N,4,4.8200,6.8100,0.6830,0.8331,1.9900,0.4144,0.1711,586163413503,191686249581,745829250517
PIYHUA,Mo,,,N,1-1,0.0600,5.5800,-1.2218,0.7466,5.5200,0.0106,0.9787,935627935267,322070392015,124349945945
PIYJIS,Ru,+2,d6,"C,Cl",1-1,0.3600,1.0700,-0.4437,0.0294,0.7100,0.2517,0.4965,348238444119,543274329559,546173079109
PIYNAO,Ru,+2,d6,"C,O",1-1,5.5800,5.9600,0.7466,0.7752,0.3800,0.4835,0.0329,272128860086,415323252645,363595913719
PIYQOH,Ni,+2,d8,,,5.6100,10.5700,0.7490,1.0241,4.9600,0.3467,0.3066,463514477272,909525823563,732042787956
PIYYON,Fe,+2,d6,N,1-1,0.1800,3.8600,-0.7447,0.5866,3.6800,0.0446,0.9109,105724987095,619178042835,765778041396
PIZJER,Cr,,,,,1.0900,1.4000,0.0374,0.1461,0.3100,0.4378,0.1245,902102335313,260292432458,10859901547
PIZKAO,V,,,,,5.0100,5.2300,0.6998,0.7185,0.2200,0.4893,0.0215,329117485112,137229869796,116469074036
PIZKES,Cr,,,,,0.4900,6.1200,-0.3098,0.7868,5.6300,0.0741,0.8517,634379960471,514637143731,270309044410
PIZKIW,Cr,,,,,0.5300,6.1600,-0.2757,0.7896,5.6300,0.0792,0.8416,696654410894,775202387761,934501582951
PIZQAR,V,,,,,1.0800,1.4300,0.0334,0.1553,0.3500,0.4303,0.1394,391651554279,801654950618,993926689056
PIZQIZ,V,,,,,1.0400,1.7900,0.0170,0.2529,0.7500,0.3675,0.2650,84148147423,539955824920,135051212370
PIZTEB,Cu,+2,d9,N,1-1,0.1200,5.5900,-0.9208,0.7474,5.4700,0.0210,0.9580,607024444006,972725259494,722183838885
PIZTEZ,Cu,+2,d9,"N,O",1-1,8.7400,10.6800,0.9415,1.0286,1.9400,0.4501,0.0999,628035720878,507251204347,530226328913
PIZTIF,Cu,+2,d9,N,1-1,6.9900,9.6600,0.8445,0.9850,2.6700,0.4198,0.1604,409143431099,720292817741,606643364713
PIZTUR,Cu,+2,d9,N,1-1,0.1800,4.3400,-0.7447,0.6375,4.1600,0.0398,0.9204,413561787469,764595998055,236117103124
PMCMNB,Mn,,,,,4.0400,4.6100,0.6064,0.6637,0.5700,0.4671,0.0659,114427907318,850113146824,559374946530
PMHQZC10,Cu,+2,d9,"Cl,N",1-1,0.6700,6.0400,-0.1739,0.7810,5.3700,0.0999,0.8003,580603964140,877636989521,926093519484
PMPDCU,Cu,+2,d9,N,1-1,10.1500,10.0200,1.0065,1.0009,0.1300,0.5032,0.0064,296635235478,462753542180,561211691079
PNTRCU11,Cu,+2,d9,"N,O",1-1,4.9900,6.3900,0.6981,0.8055,1.4000,0.4385,0.1230,739961508122,753106355765,725085657974
PNTRCU12,Cu,+2,d9,"N,O",1-1,0.7600,1.5000,-0.1192,0.1761,0.7400,0.3363,0.3274,325445874755,631158375974,725085657974
PNTRCU15,Cu,+2,d9,"N,O",1-1,0.7700,1.5000,-0.1135,0.1761,0.7300,0.3392,0.3216,451780036934,631158375974,725085657974
POBBIU,Fe,+2,d6,,,0.1400,0.6900,-0.8539,-0.1612,0.5500,0.1687,0.6627,362312795977,678900062102,442850841400
POBDIU,Y,,,O,1-1,0.2500,5.6200,-0.6021,0.7497,5.3700,0.0426,0.9148,8844266541,825505999575,163673358284
POBGOC,Re,,,,,0.1600,0.9600,-0.7959,-0.0177,0.8000,0.1429,0.7143,923010267611,505154904433,246059572571
POBMAU,Cu,+2,d9,"N,O",1-1,9.5600,13.2000,0.9805,1.1206,3.6400,0.4200,0.1599,979350260348,908087797371,192719504874
POBPAX,Re,,,,,0.0000,1.1000,-3.0000,0.0414,1.1000,0.0000,1.0000,549727122978,684638237431,330603796273
POBYEO,Fe,+2,d6,"N,O",1-1,0.6400,6.1200,-0.1938,0.7868,5.4800,0.0947,0.8107,998649992411,407521823097,342428403581
POCDIW,Co,+2,d7,"Cl,N",1-1,0.8000,1.3700,-0.0969,0.1367,0.5700,0.3687,0.2627,945367917305,387370179688,162531329958
POCGEV,Cu,+2,d9,N,1-1,0.3300,0.4400,-0.4815,-0.3565,0.1100,0.4286,0.1429,46614978202,796308707494,83862423914
POCVAG,Zn,+2,d10,,,5.5000,5.8800,0.7404,0.7694,0.3800,0.4833,0.0334,884398539456,983567838186,304362927621
POCXOW,Zn,+2,d10,,,10.8100,14.7900,1.0338,1.1700,3.9800,0.4223,0.1555,978024469042,283881263742,219605823580
PODSUY,Hf,,,"N,P",1-1,0.3400,1.2200,-0.4685,0.0864,0.8800,0.2179,0.5641,649450061831,72067925675,647747662340
PODTEJ,Ti,,,"Cl,P",1-1,0.8700,1.4800,-0.0605,0.1703,0.6100,0.3702,0.2596,341665801582,542813640235,954302636399
PODTIN,Zr,,,"Cl,P",1-1,0.9900,1.6800,-0.0044,0.2253,0.6900,0.3708,0.2584,373927972082,166010236320,626014110341
PODTOT,Hf,,,"Cl,P",1-1,0.8800,1.5900,-0.0555,0.2014,0.7100,0.3563,0.2874,967431830310,533123209150,156820804216
PODVAH,Ti,,,"Cl,P",1-1,0.7400,5.2700,-0.1308,0.7218,4.5300,0.1231,0.7537,402317553275,355973458313,925163155955
PODVUA,Zn,+2,d10,,,0.8700,3.5100,-0.0605,0.5453,2.6400,0.1986,0.6027,132689274809,74535809898,411919250643
PODZEO,Ru,+2,d6,N,2,0.0300,0.8400,-1.5229,-0.0757,0.8100,0.0345,0.9310,277343289245,636271610068,745864756154
POFCUJ,Zn,+2,d10,N,1-1,0.3700,6.5500,-0.4318,0.8162,6.1800,0.0535,0.8931,941265859940,620228970590,260334621023
POFGIC,Zr,,,"N,P",1-1,0.3600,5.8900,-0.4437,0.7701,5.5300,0.0576,0.8848,242963814067,812965936694,792444637516
POFHUP,Rh,+3,d6,"I,P,S",2-1-1,0.2800,1.6400,-0.5528,0.2148,1.3600,0.1458,0.7083,172443905744,597948716437,259663518485
POFJAV,Fe,+2,d6,,,7.9200,7.4500,0.8987,0.8722,0.4700,0.5153,0.0306,345336124151,626661877895,625498268329
POFLED,Zn,+2,d10,,,3.5400,6.5800,0.5490,0.8182,3.0400,0.3498,0.3004,412424690928,589390302302,202718576117
POFTAF,Ti,,,,,6.2100,8.7700,0.7931,0.9430,2.5600,0.4146,0.1709,225599106361,307254017640,159833679148
POFZOA,Zr,,,,,3.6100,6.6600,0.5575,0.8235,3.0500,0.3515,0.2970,75065326980,642620676392,971640078233
POFZUG,Hf,,,,,6.5600,12.6200,0.8169,1.1011,6.0600,0.3420,0.3160,69463637908,126310640396,958326253074
POGNEF,V,,,,,9.8200,8.5100,0.9921,0.9299,1.3100,0.5357,0.0715,970219510716,308473829107,704940663085
POGNII,Ru,+2,d6,P,1-1,3.8500,4.6700,0.5855,0.6693,0.8200,0.4519,0.0962,427449571426,377209590314,687041805698
POGNIJ,V,,,,,5.0100,5.7200,0.6998,0.7574,0.7100,0.4669,0.0662,786542479372,226283128537,840677713764
POGNOP,V,,,,,4.9200,5.9300,0.6920,0.7731,1.0100,0.4535,0.0931,2768795956,733804756931,132642669256
POGYOA,Cu,+2,d9,N,1-1,0.2000,5.6300,-0.6990,0.7505,5.4300,0.0343,0.9314,733177344226,653888724930,181192944666
POGZUG,V,,,,,4.5600,5.8100,0.6590,0.7642,1.2500,0.4397,0.1205,636068418062,667509138347,761577493183
POHXUI,Cu,+2,d9,,,1.4800,5.2100,0.1703,0.7168,3.7300,0.2212,0.5575,977886142929,177120123609,330936751570
POHZAO,Ru,+2,d6,"C,N,P",1-1-1-1,9.1200,16.3300,0.9600,1.2130,7.2100,0.3583,0.2833,143455785780,603608708124,226182491402
POJDEY,Ni,+2,d8,,,4.9500,5.2100,0.6946,0.7168,0.2600,0.4872,0.0256,738576426362,367306497438,878577351891
POJFOK,Ru,+2,d6,"C,O",1-1,5.7500,6.1600,0.7597,0.7896,0.4100,0.4828,0.0344,836831301985,372968474083,54084217083
POJHON,Ni,+2,d8,,,0.7900,0.9200,-0.1024,-0.0362,0.1300,0.4620,0.0760,75531874099,319910539189,792630130405
POJKUW,Cu,+2,d9,"N,O",1-1,5.7000,6.1900,0.7559,0.7917,0.4900,0.4794,0.0412,166901040212,568333846552,926517287505
POKPEN,V,,,,,4.5600,6.0400,0.6590,0.7810,1.4800,0.4302,0.1396,742541902504,226158058031,558554959730
POKZOE,Cu,+2,d9,"N,O",2-2,0.4700,0.6600,-0.3279,-0.1805,0.1900,0.4159,0.1681,941302799774,934128151508,576328087563
POKZOI,Ti,,,P,1-1,1.0100,5.1100,0.0043,0.7084,4.1000,0.1650,0.6699,330208580885,779529053804,497137240594
POLBEB,Ti,,,P,1-1,0.8900,5.1200,-0.0506,0.7093,4.2300,0.1481,0.7038,686362200518,359482945188,385005113597
POLFEB,Ir,,,"N,P,S",1-1-1-1,11.8100,17.8100,1.0722,1.2507,6.0000,0.3987,0.2026,312557703678,547961701451,348793839681
POLVEU,Ru,+2,d6,C,1-1,0.4200,1.6600,-0.3768,0.2201,1.2400,0.2019,0.5962,914521867725,863771090164,394111881467
POLXEW,Mn,,,N,4,0.6000,0.7100,-0.2218,-0.1487,0.1100,0.4580,0.0840,771150889696,272766127569,887858098539
POMGEH,Ru,+2,d6,,,2.7500,9.4200,0.4393,0.9741,6.6700,0.2260,0.5481,795231186807,614735193891,520399448800
POMGIL,Ru,+2,d6,,,2.7600,7.7300,0.4409,0.8882,4.9700,0.2631,0.4738,749585539279,868460077220,755873795169
POMGOR,Ru,+2,d6,,,5.5300,11.3300,0.7427,1.0542,5.8000,0.3280,0.3440,625745555837,309068753552,207277668096
POMJEJ,Zn,+2,d10,,,0.9600,1.2600,-0.0177,0.1004,0.3000,0.4324,0.1351,487101325311,409077230382,507837533361
POMJOR,Cu,+2,d9,,,7.0700,9.8100,0.8494,0.9917,2.7400,0.4188,0.1623,109783540570,517694270745,199488514847
POMJUZ,Fe,+2,d6,,,1.4500,5.3400,0.1614,0.7275,3.8900,0.2135,0.5729,44767304030,255991374357,423475583621
POMKAG,Fe,+2,d6,,,5.1100,7.0500,0.7084,0.8482,1.9400,0.4202,0.1595,796776654516,252847027323,423456551273
POMKEI,Ni,+2,d8,"N,O",2-2,4.9500,6.7100,0.6946,0.8267,1.7600,0.4245,0.1509,692247020846,913897233100,173586584987
POMKIN,Cu,+2,d9,"N,O",1-1,4.8300,5.6200,0.6839,0.7497,0.7900,0.4622,0.0756,125902607835,874780626866,433862222853
POMKIN01,Cu,+2,d9,"N,O",1-1,0.3900,5.6000,-0.4089,0.7482,5.2100,0.0651,0.8698,249669419244,137049010695,433862222853
POMMUB,Cu,+2,d9,N,1-1,0.3400,4.0700,-0.4685,0.6096,3.7300,0.0771,0.8458,845316700984,780854190622,498102141694
POMMUB01,Cu,+2,d9,N,1-1,0.3400,1.9800,-0.4685,0.2967,1.6400,0.1466,0.7069,226718097541,435526425124,498102141694
POMNAI,Zn,+2,d10,N,1-1,0.3700,6.9800,-0.4318,0.8439,6.6100,0.0503,0.8993,685961592233,617732010862,813553324433
POMNAI01,Zn,+2,d10,N,1-1,0.3700,6.9800,-0.4318,0.8439,6.6100,0.0503,0.8993,685961592233,617732010862,813553324433
POMPEN,Cu,+2,d9,"N,O",1-1,11.3700,7.1200,1.0558,0.8525,4.2500,0.6149,0.2299,404419477356,926284732964,650724569585
POMPEN01,Cu,+2,d9,"N,O",1-1,6.3400,14.4400,0.8021,1.1596,8.1000,0.3051,0.3898,455272829732,560999678541,650724569585
POMWET,Fe,+2,d6,,,6.7900,8.8600,0.8319,0.9474,2.0700,0.4339,0.1323,822404305944,10593068102,798271274621
PONBOO,Mn,,,N,2,0.2100,3.8000,-0.6778,0.5798,3.5900,0.0524,0.8953,43496352989,573264479725,373138745788
PONZUQ,Ni,+2,d8,"N,O",2,0.3200,0.6900,-0.4949,-0.1612,0.3700,0.3168,0.3663,616224408989,745166462700,584792431253
POPFEC01,Fe,+2,d6,P,1-1,0.4600,6.0700,-0.3372,0.7832,5.6100,0.0704,0.8591,284531233844,590008649766,510840676578
POPFEC10,Fe,+2,d6,P,1-1,0.4200,5.4200,-0.3768,0.7340,5.0000,0.0719,0.8562,566848104703,590008649766,510840676578
POPTUL,Os,,,,,4.7000,5.9200,0.6721,0.7723,1.2200,0.4426,0.1149,647186051282,369389904982,140635586649
POPVAT,Os,,,,,4.8100,5.9900,0.6821,0.7774,1.1800,0.4454,0.1093,631915305669,553073952339,192286563245
POPZAY,Cu,+2,d9,"N,O",3-1,0.7300,1.1400,-0.1367,0.0569,0.4100,0.3904,0.2193,152199339899,826001733481,726602001707
POPZIG,Cu,+2,d9,N,1-1,0.5700,0.5800,-0.2441,-0.2366,0.0100,0.4957,0.0087,299291914317,534299650990,305327790559
POQSET,Re,,,,,0.3400,0.8600,-0.4685,-0.0655,0.5200,0.2833,0.4333,895544730756,24244584388,693594810132
POQSIX,Zn,+2,d10,"Cl,N",1-1,0.5700,1.0400,-0.2441,0.0170,0.4700,0.3540,0.2919,153337627468,423752291222,4665889900
POQSOD,Zn,+2,d10,"N,O",1-1,0.1600,5.7200,-0.7959,0.7574,5.5600,0.0272,0.9456,194219189768,872320948595,87863064227
POQTOE,Ta,,,,,0.7100,1.4100,-0.1487,0.1492,0.7000,0.3349,0.3302,979962851896,17516415992,701868532416
PORHOU,V,,,,,0.7500,1.6700,-0.1249,0.2227,0.9200,0.3099,0.3802,723629162129,955086243155,835706156561
PORHUA,Mn,,,O,2,4.4200,5.9100,0.6454,0.7716,1.4900,0.4279,0.1442,346233772000,256017384835,77565697465
PORNUI,Zn,+2,d10,,,8.5100,8.5400,0.9299,0.9315,0.0300,0.4991,0.0018,132735674169,535813211347,933955144263
PORPAQ,Cu,+2,d9,"N,O",3-1,7.5400,10.0300,0.8774,1.0013,2.4900,0.4291,0.1417,582570873659,521578081368,820559725305
PORPEU,Cu,+2,d9,,,5.9300,7.6600,0.7731,0.8842,1.7300,0.4364,0.1273,482862311265,69418893026,22229135751
PORPIY,Cu,+2,d9,,,13.4700,14.3200,1.1294,1.1559,0.8500,0.4847,0.0306,820427831318,645649385980,967410975179
POSGIQ,Cu,+2,d9,,,0.6100,6.0300,-0.2147,0.7803,5.4200,0.0919,0.8163,492801701487,633655755899,750188595834
POSMAN,V,,,,,4.1900,5.4900,0.6222,0.7396,1.3000,0.4329,0.1343,804418376518,819599172031,401304806671
POSMAN01,V,,,,,4.4900,5.9200,0.6522,0.7723,1.4300,0.4313,0.1374,257953841516,819599172031,401304806671
POSSEZ,Y,,,"N,O",1-1,0.1300,5.5100,-0.8861,0.7412,5.3800,0.0230,0.9539,377489262430,653008373422,882861457789
POTSAU,Cu,+2,d9,O,1-1,0.3600,0.5600,-0.4437,-0.2518,0.2000,0.3913,0.2174,516061221517,781677621299,386197925174
POTVOL,Zn,+2,d10,O,2,8.4400,7.1500,0.9263,0.8543,1.2900,0.5414,0.0827,160905119448,851207747157,641586487308
POTWAY,Zn,+2,d10,O,2,8.0800,15.5300,0.9074,1.1912,7.4500,0.3422,0.3155,160580420964,364888326679,368234847145
POVJUH,W,,,C,1-1-1-1,0.1200,1.1600,-0.9208,0.0645,1.0400,0.0938,0.8125,901708169579,265855151745,155802333842
POVPEW,Ti,,,N,1-1,0.3200,6.2600,-0.4949,0.7966,5.9400,0.0486,0.9027,583994063859,620940293987,990454477150
POVWIK,W,,,,,5.0200,5.8300,0.7007,0.7657,0.8100,0.4627,0.0747,76129446331,854058491698,785402251492
POVZAF,W,,,,,4.0500,4.1000,0.6075,0.6128,0.0500,0.4969,0.0061,383898136836,500780898684,216366140284
POVZEJ,W,,,,,0.1700,0.8800,-0.7696,-0.0555,0.7100,0.1619,0.6762,652925345469,741657920296,112332825393
POWDOV,Zn,+2,d10,O,2,0.0800,5.4600,-1.0969,0.7372,5.3800,0.0144,0.9711,978143320994,715938031834,146127586041
POWGUF,W,,,C,1-1-1-1,5.5000,5.7700,0.7404,0.7612,0.2700,0.4880,0.0240,967788265646,965480703670,155802333842
POWHAM,W,,,C,1-1-1-1,5.4800,5.7700,0.7388,0.7612,0.2900,0.4871,0.0258,200200541843,965480703670,155802333842
POWZAG,Mn,,,"N,O",4,0.7200,4.6700,-0.1427,0.6693,3.9500,0.1336,0.7328,981130984659,510860437196,374986839723
POWZEK,Mn,,,"N,O",2,0.5300,6.1600,-0.2757,0.7896,5.6300,0.0792,0.8416,67849998507,230501013620,654861342273
POXFEP,Hg,,,,,0.3900,0.6900,-0.4089,-0.1612,0.3000,0.3611,0.2778,731053040148,373570148944,361488445612
POXFUG,Fe,+2,d6,,,4.9000,5.7100,0.6902,0.7566,0.8100,0.4618,0.0763,163003767993,2697567407,733994557247
POXLET,Cu,+2,d9,N,1-1,0.5700,7.4200,-0.2441,0.8704,6.8500,0.0713,0.8573,93483121301,803940863403,365554203458
POXLET01,Cu,+2,d9,N,1-1,0.5700,5.3900,-0.2441,0.7316,4.8200,0.0956,0.8087,161852531424,466801620525,365554203458
POXLET02,Cu,+2,d9,N,1-1,0.5600,5.7000,-0.2518,0.7559,5.1400,0.0895,0.8211,800121420826,803940863403,365554203458
POXLIX,Cu,+2,d9,N,1-1,0.5400,3.8400,-0.2676,0.5843,3.3000,0.1233,0.7534,679935275724,466801620525,365554203458
POXLIX01,Cu,+2,d9,N,1-1,0.5500,4.2300,-0.2596,0.6263,3.6800,0.1151,0.7699,218628066415,466801620525,365554203458
POXLOD,Cu,+2,d9,N,1-1,3.3500,5.5000,0.5250,0.7404,2.1500,0.3785,0.2429,222144012764,884183638026,365554203458
POXLUJ,Cu,+2,d9,N,1-1,0.6300,6.2800,-0.2007,0.7980,5.6500,0.0912,0.8177,39067640546,803940863403,365554203458
POXMAQ,Cu,+2,d9,N,1-1,4.6100,6.6900,0.6637,0.8254,2.0800,0.4080,0.1841,513936504237,712968229611,365554203458
POXQAV,Ir,,,"C,N",2-1-1,5.0900,5.8700,0.7067,0.7686,0.7800,0.4644,0.0712,829316179926,783717701409,466233041173
POXQEB,Ru,+2,d6,"C,O",1-1,0.3700,1.1500,-0.4318,0.0607,0.7800,0.2434,0.5132,411473083318,187497561961,350984675625
POYJUJ,Ru,+2,d6,"C,Cl",1-1,4.8000,5.1900,0.6812,0.7152,0.3900,0.4805,0.0390,618193387087,370014909061,163838120319
POYKAQ,Ru,+2,d6,,,5.4400,5.5800,0.7356,0.7466,0.1400,0.4936,0.0127,204842516215,840350240311,340819167103
POYNOJ,Zn,+2,d10,,,0.7100,6.3900,-0.1487,0.8055,5.6800,0.1000,0.8000,697980113810,54359279864,385095522583
POYPAX,Zn,+2,d10,,,0.6800,1.9800,-0.1675,0.2967,1.3000,0.2556,0.4887,73942266440,646246342593,670243970445
POYPEB,Zn,+2,d10,,,0.6400,1.5700,-0.1938,0.1959,0.9300,0.2896,0.4208,464359952317,101263513440,681982152660
POYPIC,Mn,,,"N,O",2,0.6000,1.0100,-0.2218,0.0043,0.4100,0.3727,0.2547,666564556256,182699193335,492988811650
POYTUV,Ir,,,P,1-1,6.8400,7.0800,0.8351,0.8500,0.2400,0.4914,0.0172,724707249919,18397323522,200121693864
POYVEH,Ir,,,"C,Cl,P",1-1-1-1,0.4400,2.0100,-0.3565,0.3032,1.5700,0.1796,0.6408,86892500511,934042035237,619307870932
POZFAL,Rh,+3,d6,"C,Cl,N",1-1-1-1,0.1900,1.3100,-0.7212,0.1173,1.1200,0.1267,0.7467,890151349049,177913639122,437720257698
POZHIW,Ru,+2,d6,"C,N",1-1,4.9400,5.8700,0.6937,0.7686,0.9300,0.4570,0.0860,169249283916,275870474567,363160994977
POZPEA,Ru,+2,d6,"C,O",1-1,0.3400,1.9500,-0.4685,0.2900,1.6100,0.1485,0.7031,415560633686,283554427728,89874868910
POZPIE,Ru,+2,d6,"C,O",1-1,6.2600,6.3300,0.7966,0.8014,0.0700,0.4972,0.0056,528016878297,500135282533,648863074045
POZPIE01,Ru,+2,d6,"C,O",1-1,0.3100,1.9600,-0.5086,0.2923,1.6500,0.1366,0.7269,758881162297,453516302270,648863074045
POZPIE02,Ru,+2,d6,"C,O",1-1,0.3100,1.9600,-0.5086,0.2923,1.6500,0.1366,0.7269,758881162297,453516302270,648863074045
POZPOK,Ru,+2,d6,"C,O",1-1,6.3100,6.3800,0.8000,0.8048,0.0700,0.4972,0.0055,159622982950,688971172755,191307427709
POZPOK01,Ru,+2,d6,"C,O",1-1,0.3300,1.9100,-0.4815,0.2810,1.5800,0.1473,0.7054,102065459852,567692165565,191307427709
POZPOK02,Ru,+2,d6,"C,O",1-1,0.3200,1.9100,-0.4949,0.2810,1.5900,0.1435,0.7130,575558640658,567692165565,191307427709
POZSIK,Cr,,,C,1-1-1-1,5.6500,6.0900,0.7520,0.7846,0.4400,0.4813,0.0375,16720522573,639835874750,402606621283
PPAZRV,V,,,,,4.5200,5.8500,0.6551,0.7672,1.3300,0.4359,0.1283,370611419617,818179483916,865921418478
PPECOT21,Co,+2,d7,P,2-2,5.9200,6.8800,0.7723,0.8376,0.9600,0.4625,0.0750,238346485561,313980620319,90630791567
PPTCFE,Fe,+2,d6,"C,P",1-1,0.3200,5.5500,-0.4949,0.7443,5.2300,0.0545,0.8910,944140313388,284225585509,232880802901
PPTOCU,Cu,+2,d9,"N,S",2,4.8200,5.7800,0.6830,0.7619,0.9600,0.4547,0.0906,664172494022,566320311173,368344623434
PRCBFE,Fe,+2,d6,,,0.3100,1.1800,-0.5086,0.0719,0.8700,0.2081,0.5839,939591420982,228863624604,225283379459
PRPHZN,Zn,+2,d10,,,4.6900,5.8100,0.6712,0.7642,1.1200,0.4467,0.1067,463588100805,981710945410,259588104939
PTBCUM02,Cu,+2,d9,"N,O",1-1-1-1,5.1700,6.1500,0.7135,0.7889,0.9800,0.4567,0.0866,520676833876,704717492073,874393325508
PTPIRH,Ir,,,"C,P",1-1,1.7500,6.1400,0.2430,0.7882,4.3900,0.2218,0.5564,444200180509,510636698989,888719428840
PUBJUS,Ta,,,,,2.2300,5.4800,0.3483,0.7388,3.2500,0.2892,0.4215,323901924987,344206221869,544214220874
PUBQEL,Ru,+2,d6,"C,N,P",1-1-1-1,6.3900,6.4100,0.8055,0.8069,0.0200,0.4992,0.0016,438122046834,74284262169,751216962431
PUBVER,Cu,+2,d9,"N,O",1-1,0.4500,5.9600,-0.3468,0.7752,5.5100,0.0702,0.8596,369107294574,29281706006,633956823502
PUBWOC,Ti,,,Cl,1-1,1.0700,6.0200,0.0294,0.7796,4.9500,0.1509,0.6982,277580687129,201761807453,682263459697
PUCCIZ01,Cu,+2,d9,N,1-1,4.1500,4.5900,0.6180,0.6618,0.4400,0.4748,0.0503,130472333692,603175624354,737232101528
PUCDAS,Cu,+2,d9,"N,O",2-2,4.7800,6.0700,0.6794,0.7832,1.2900,0.4406,0.1189,558568853658,82720434764,364194344339
PUCHIH,Re,,,,,4.7000,6.1000,0.6721,0.7853,1.4000,0.4352,0.1296,426857962108,173634618149,804953829671
PUCKAB,Ni,+2,d8,,,3.1600,4.1700,0.4997,0.6201,1.0100,0.4311,0.1378,188232747547,673108897125,656126488236
PUCRAK,Cu,+2,d9,,,5.0800,5.5300,0.7059,0.7427,0.4500,0.4788,0.0424,8695938348,226101940189,218107760699
PUCYAP,Ru,+2,d6,"C,N",1-1,5.2900,6.8300,0.7235,0.8344,1.5400,0.4365,0.1271,318491084884,995822331115,172432821302
PUCYIV,Cu,+2,d9,N,1-1,0.2900,1.4100,-0.5376,0.1492,1.1200,0.1706,0.6588,812130910803,379373716391,914998142267
PUCYOB,Cu,+2,d9,N,1-1,0.5500,4.7500,-0.2596,0.6767,4.2000,0.1038,0.7925,529385101754,562625351417,701106664717
PUCYOD,Ru,+2,d6,"C,N",1-1,0.9400,1.0600,-0.0269,0.0253,0.1200,0.4700,0.0600,283398399648,409749141924,898729240726
PUCZAQ,Ru,+2,d6,"C,N",1-1,0.9100,1.0600,-0.0410,0.0253,0.1500,0.4619,0.0761,223389087635,459773957414,787048168698
PUDBAT,Zn,+2,d10,N,1-1,0.1500,0.8700,-0.8239,-0.0605,0.7200,0.1471,0.7059,824763724027,533949604368,301045884951
PUDBIB,Zn,+2,d10,N,1-1,0.1500,0.8700,-0.8239,-0.0605,0.7200,0.1471,0.7059,824763724027,533949604368,301045884951
PUDCEY,Zn,+2,d10,N,1-1,0.1500,5.9900,-0.8239,0.7774,5.8400,0.0244,0.9511,845133379264,271223065297,301045884951
PUDNAE,Ti,,,,,0.1100,1.4800,-0.9586,0.1703,1.3700,0.0692,0.8616,76983012088,554905397743,71600679957
PUDPOU,Ru,+2,d6,P,2-2,4.9500,5.2400,0.6946,0.7193,0.2900,0.4858,0.0285,355071888644,311757166681,429028512252
PUDRIT,La,,,P,1-1,2.5900,3.1200,0.4133,0.4942,0.5300,0.4536,0.0928,277845916200,71840931626,225226230736
PUFMEM,W,,,,,0.8600,1.5800,-0.0655,0.1987,0.7200,0.3525,0.2951,508162409645,152370932487,111069442907
PUFNAJ,W,,,,,6.1100,6.5800,0.7860,0.8182,0.4700,0.4815,0.0370,404661830427,469983484118,558096088157
PUFQEO,Ru,+2,d6,"C,S",1-1,6.3200,6.3700,0.8007,0.8041,0.0500,0.4980,0.0039,676044447698,584169904411,815532817373
PUFXOE,Cu,+2,d9,"N,O",2-2,4.2300,6.6000,0.6263,0.8195,2.3700,0.3906,0.2188,811614680064,789235599467,407340405828
PUFYAR,Zn,+2,d10,O,1-1,0.1000,0.5700,-1.0000,-0.2441,0.4700,0.1493,0.7015,352173309644,511370266525,683831064119
PUGMOV,Cu,+2,d9,"N,O",2-2,4.4000,6.0000,0.6435,0.7782,1.6000,0.4231,0.1538,504712344076,491079715641,544295360130
PUGTOC,Zn,+2,d10,N,1-1,0.1200,1.2600,-0.9208,0.1004,1.1400,0.0870,0.8261,858519351255,233242434404,301045884951
PUGWIX,Fe,+2,d6,,,1.5200,5.2700,0.1818,0.7218,3.7500,0.2239,0.5523,133535947332,265889142355,750959850193
PUGXOE,Zn,+2,d10,N,4,5.0700,6.1700,0.7050,0.7903,1.1000,0.4511,0.0979,572767888634,965025576193,178498921713
PUHTIZ,Ru,+2,d6,"C,N",1-1,5.1300,6.0600,0.7101,0.7825,0.9300,0.4584,0.0831,137954586583,56607357507,194265857213
PUHTOF,Ru,+2,d6,"C,N",1-1,5.5600,5.9600,0.7451,0.7752,0.4000,0.4826,0.0347,737779337567,709402501889,685962558688
PUJLIT,Fe,+2,d6,,,0.8200,1.7700,-0.0862,0.2480,0.9500,0.3166,0.3668,998234849942,970810688720,873919245272
