subset,model,fold,seed,target,n_graph_groups,n_pairs,n_member_records,true_abs_delta_mean,pair_delta_mae,pair_concordance_ties_half,pair_tie_fraction
S1,visnet_3d,2,11,dipole_moment,52,76,121,4.390015789473685,0.6084926328709251,0.9868421052631579,0.0
S1,visnet_3d,2,11,hl_gap_ev,46,72,107,0.25224577114112495,0.17814663271035946,0.6111111111111112,0.0
S1,visnet_3d,2,22,dipole_moment,52,76,121,4.390015789473685,0.577733216009642,0.9736842105263158,0.0
S1,visnet_3d,2,22,hl_gap_ev,46,72,107,0.25224577114112495,0.2322765625156632,0.5694444444444444,0.0
S1,visnet_3d,2,33,dipole_moment,52,76,121,4.390015789473685,0.5850183056931746,0.9868421052631579,0.0
S1,visnet_3d,2,33,hl_gap_ev,46,72,107,0.25224577114112495,0.27321334501633454,0.5,0.0
S1,visnet_3d,3,11,dipole_moment,45,57,102,4.7027947368421055,0.8518197436282507,1.0,0.0
S1,visnet_3d,3,11,hl_gap_ev,43,56,98,0.4714907176488929,0.4173754926106417,0.5714285714285714,0.0
S1,visnet_3d,3,22,dipole_moment,45,57,102,4.7027947368421055,0.9159738536767791,1.0,0.0
S1,visnet_3d,3,22,hl_gap_ev,43,56,98,0.4714907176488929,0.4574103698258463,0.5357142857142857,0.0
S1,visnet_3d,3,33,dipole_moment,45,57,102,4.7027947368421055,1.0278169272774142,0.9824561403508771,0.0
S1,visnet_3d,3,33,hl_gap_ev,43,56,98,0.4714907176488929,0.4028561787365891,0.7142857142857143,0.0
S1,visnet_3d,4,11,dipole_moment,44,55,93,6.100592727272728,0.6441588885567405,0.9818181818181818,0.0
S1,visnet_3d,4,11,hl_gap_ev,50,63,111,0.2286058793398889,0.20305343469851822,0.6031746031746031,0.0
S1,visnet_3d,4,22,dipole_moment,44,55,93,6.100592727272728,0.7659330314081363,0.9636363636363636,0.0
S1,visnet_3d,4,22,hl_gap_ev,50,63,111,0.2286058793398889,0.2392296960879178,0.6190476190476191,0.0
S1,visnet_3d,4,33,dipole_moment,44,55,93,6.100592727272728,0.7793682739188453,0.9818181818181818,0.0
S1,visnet_3d,4,33,hl_gap_ev,50,63,111,0.2286058793398889,0.2260016447738167,0.5396825396825397,0.0
S2,visnet_3d,0,11,dipole_moment,23,32,55,3.20031875,0.6335261762261393,1.0,0.0
S2,visnet_3d,0,11,hl_gap_ev,24,42,57,0.19942706667564286,0.21206954554834448,0.40476190476190477,0.0
S2,visnet_3d,0,22,dipole_moment,23,32,55,3.20031875,0.4713776936292647,0.96875,0.0
S2,visnet_3d,0,22,hl_gap_ev,24,42,57,0.19942706667564286,0.228471501697527,0.7380952380952381,0.0
S2,visnet_3d,0,33,dipole_moment,23,32,55,3.20031875,0.46218852164745333,0.96875,0.0
S2,visnet_3d,0,33,hl_gap_ev,24,42,57,0.19942706667564286,0.19514507555084912,0.5476190476190477,0.0
S2,visnet_3d,1,11,dipole_moment,30,48,75,2.780972916666667,0.6718012062629063,1.0,0.0
S2,visnet_3d,1,11,hl_gap_ev,30,47,76,0.24859048749872342,0.27132707260206723,0.44680851063829785,0.0
