complex_id,ligand_id,denticity,all_correct,issue
tmqm_2929,L1,2,0,bidentate_all_wrong
tmqm_2933,L1,2,0,bidentate_all_wrong
tmqm_2934,L2,2,0,bidentate_all_wrong
tmqm_2941,L4,2,0,bidentate_all_wrong
tmqm_2942,L1,2,0,bidentate_all_wrong
tmqm_2954,L2,2,0,bidentate_all_wrong
tmqm_2958,L1,2,0,bidentate_all_wrong
tmqm_2959,L1,2,0,bidentate_all_wrong
tmqm_2962,L1,2,0,bidentate_all_wrong
tmqm_2972,L6,2,0,bidentate_all_wrong
tmqm_2989,L1,2,0,bidentate_all_wrong
tmqm_2991,L6,2,0,bidentate_all_wrong
tmqm_2997,L1,2,0,bidentate_all_wrong
tmqm_3014,L2,2,0,bidentate_all_wrong
tmqm_3028,L3,2,0,bidentate_all_wrong
tmqm_3032,L1,2,0,bidentate_all_wrong
tmqm_3036,L1,2,0,bidentate_all_wrong
tmqm_3047,L1,2,0,bidentate_all_wrong
tmqm_3057,L1,2,0,bidentate_all_wrong
tmqm_3061,L1,2,0,bidentate_all_wrong
tmqm_3094,L1,2,0,bidentate_all_wrong
tmqm_3095,L1,2,0,bidentate_all_wrong
tmqm_3115,L1,2,0,bidentate_all_wrong
tmqm_3116,L1,2,0,bidentate_all_wrong
tmqm_3123,L1,2,0,bidentate_all_wrong
tmqm_3129,L1,2,0,bidentate_all_wrong
tmqm_3132,L2,2,0,bidentate_all_wrong
tmqm_3143,L1,2,0,bidentate_all_wrong
tmqm_3146,L1,2,0,bidentate_all_wrong
tmqm_3151,L1,2,0,bidentate_all_wrong
tmqm_3160,L1,2,0,bidentate_all_wrong
tmqm_3161,L1,2,0,bidentate_all_wrong
tmqm_3163,L2,2,0,bidentate_all_wrong
tmqm_3164,L2,2,0,bidentate_all_wrong
tmqm_3172,L2,2,0,bidentate_all_wrong
tmqm_3180,L1,2,0,bidentate_all_wrong
tmqm_3191,L1,2,0,bidentate_all_wrong
tmqm_3208,L1,2,0,bidentate_all_wrong
tmqm_3214,L1,2,0,bidentate_all_wrong
tmqm_3226,L1,2,0,bidentate_all_wrong
tmqm_3230,L3,2,0,bidentate_all_wrong
tmqm_3231,L1,2,0,bidentate_all_wrong
tmqm_3244,L1,2,0,bidentate_all_wrong
tmqm_3252,L3,2,0,bidentate_all_wrong
tmqm_3256,L1,2,0,bidentate_all_wrong
tmqm_3263,L1,2,0,bidentate_all_wrong
tmqm_3273,L1,2,0,bidentate_all_wrong
tmqm_3282,L1,2,0,bidentate_all_wrong
tmqm_3290,L1,2,0,bidentate_all_wrong
tmqm_3295,L1,2,0,bidentate_all_wrong
tmqm_3311,L3,2,0,bidentate_all_wrong
tmqm_3312,L1,2,0,bidentate_all_wrong
tmqm_3316,L2,2,0,bidentate_all_wrong
tmqm_3317,L1,2,0,bidentate_all_wrong
tmqm_3321,L1,2,0,bidentate_all_wrong
tmqm_3322,L4,2,0,bidentate_all_wrong
tmqm_3342,L4,2,0,bidentate_all_wrong
tmqm_3355,L1,2,0,bidentate_all_wrong
tmqm_3359,L1,2,0,bidentate_all_wrong
tmqm_3369,L1,2,0,bidentate_all_wrong
tmqm_3375,L2,2,0,bidentate_all_wrong
tmqm_3379,L1,2,0,bidentate_all_wrong
tmqm_3380,L5,2,0,bidentate_all_wrong
tmqm_3382,L1,2,0,bidentate_all_wrong
tmqm_3383,L2,2,0,bidentate_all_wrong
tmqm_3387,L1,2,0,bidentate_all_wrong
tmqm_3396,L1,2,0,bidentate_all_wrong
tmqm_3401,L1,2,0,bidentate_all_wrong
tmqm_3405,L1,2,0,bidentate_all_wrong
tmqm_3406,L1,2,0,bidentate_all_wrong
tmqm_3413,L2,2,0,bidentate_all_wrong
tmqm_3418,L1,2,0,bidentate_all_wrong
tmqm_3429,L5,2,0,bidentate_all_wrong
tmqm_3447,L1,2,0,bidentate_all_wrong
tmqm_3452,L1,2,0,bidentate_all_wrong
tmqm_3456,L1,2,0,bidentate_all_wrong
tmqm_3458,L1,2,0,bidentate_all_wrong
tmqm_3460,L1,2,0,bidentate_all_wrong
tmqm_3470,L3,2,0,bidentate_all_wrong
tmqm_3471,L1,2,0,bidentate_all_wrong
tmqm_3473,L1,2,0,bidentate_all_wrong
tmqm_3494,L1,2,0,bidentate_all_wrong
tmqm_3499,L2,2,0,bidentate_all_wrong
tmqm_3509,L1,2,0,bidentate_all_wrong
tmqm_3512,L1,2,0,bidentate_all_wrong
tmqm_3513,L3,2,0,bidentate_all_wrong
tmqm_3539,L1,2,0,bidentate_all_wrong
tmqm_3544,L1,2,0,bidentate_all_wrong
tmqm_3556,L1,2,0,bidentate_all_wrong
tmqm_3559,L1,2,0,bidentate_all_wrong
tmqm_3562,L2,2,0,bidentate_all_wrong
tmqm_3576,L1,2,0,bidentate_all_wrong
tmqm_3582,L5,2,0,bidentate_all_wrong
tmqm_3586,L4,2,0,bidentate_all_wrong
tmqm_3603,L5,2,0,bidentate_all_wrong
tmqm_3604,L1,2,0,bidentate_all_wrong
tmqm_3624,L2,2,0,bidentate_all_wrong
tmqm_3637,L1,2,0,bidentate_all_wrong
tmqm_3642,L1,2,0,bidentate_all_wrong
tmqm_3650,L1,2,0,bidentate_all_wrong
tmqm_3664,L1,2,0,bidentate_all_wrong
tmqm_3671,L1,2,0,bidentate_all_wrong
tmqm_3675,L1,2,0,bidentate_all_wrong
tmqm_3678,L1,2,0,bidentate_all_wrong
tmqm_3679,L1,2,0,bidentate_all_wrong
tmqm_3694,L1,2,0,bidentate_all_wrong
tmqm_3700,L3,2,0,bidentate_all_wrong
tmqm_3709,L1,2,0,bidentate_all_wrong
tmqm_3719,L1,2,0,bidentate_all_wrong
tmqm_3722,L1,2,0,bidentate_all_wrong
tmqm_3725,L4,2,0,bidentate_all_wrong
tmqm_3748,L1,2,0,bidentate_all_wrong
tmqm_3772,L1,2,0,bidentate_all_wrong
tmqm_3778,L1,2,0,bidentate_all_wrong
tmqm_3788,L1,2,0,bidentate_all_wrong
tmqm_3789,L3,2,0,bidentate_all_wrong
tmqm_3842,L1,2,0,bidentate_all_wrong
