node_id,source_database,source_id,metal_count,metals_str,cn_list,shape_best_list,donor_set,bridge_types,haptic_modes,periodic_truncated,parse_valid,roundtrip_valid,L0,L1,L2,L3
MOF_ABINIM,CSD_MOF,ABINIM,6,Zn+Zn+Zn+Zn+Zn+Zn,"5,5,1,1,1,1","TBPY,TBPY,CN1,CN1,CN1,CN1","O,O,O,O,O,O,O,O,O,O,O,O,O,O",,,True,True,True,Zn+Zn+Zn+Zn+Zn+Zn|CN:5+5+1+1+1+1,Zn+Zn+Zn+Zn+Zn+Zn|CN:5+5+1+1+1+1|Shape:TBPY+TBPY+CN1+CN1+CN1+CN1,Zn+Zn+Zn+Zn+Zn+Zn|CN:5+5+1+1+1+1|Shape:TBPY+TBPY+CN1+CN1+CN1+CN1|Donors:O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:0,a271513b3784
MOF_ABINOQ,CSD_MOF,ABINOQ,3,Zn+Zn+Zn,"4,4,1","SP,SP,CN1","N,N,N,S,S,S,S,S",mu2-S,,True,True,True,Zn+Zn+Zn|CN:4+4+1,Zn+Zn+Zn|CN:4+4+1|Shape:SP+SP+CN1,Zn+Zn+Zn|CN:4+4+1|Shape:SP+SP+CN1|Donors:N+N+N+S+S+S+S+S|Bridges:1,910b1eb6aee2
MOF_ABIQAE,CSD_MOF,ABIQAE,2,Cd+Cd,"6,1","OC,CN1","N,N,N,N,N,S,S",,,True,True,True,Cd+Cd|CN:6+1,Cd+Cd|CN:6+1|Shape:OC+CN1,Cd+Cd|CN:6+1|Shape:OC+CN1|Donors:N+N+N+N+N+S+S|Bridges:0,a70744fe7cb5
MOF_ABIRAF,CSD_MOF,ABIRAF,2,Ag+Ag,"3,1","TP,CN1","N,N,N,N",,,True,True,True,Ag+Ag|CN:3+1,Ag+Ag|CN:3+1|Shape:TP+CN1,Ag+Ag|CN:3+1|Shape:TP+CN1|Donors:N+N+N+N|Bridges:0,f3378b7c1aa8
MOF_ABIREJ,CSD_MOF,ABIREJ,2,Ag+Ag,"3,1","TP,CN1","N,N,N,N",,,True,True,True,Ag+Ag|CN:3+1,Ag+Ag|CN:3+1|Shape:TP+CN1,Ag+Ag|CN:3+1|Shape:TP+CN1|Donors:N+N+N+N|Bridges:0,f3378b7c1aa8
MOF_ABIRIN,CSD_MOF,ABIRIN,2,Ag+Ag,"3,1","TP,CN1","N,N,N,N",,,True,True,True,Ag+Ag|CN:3+1,Ag+Ag|CN:3+1|Shape:TP+CN1,Ag+Ag|CN:3+1|Shape:TP+CN1|Donors:N+N+N+N|Bridges:0,f3378b7c1aa8
MOF_ABITEL,CSD_MOF,ABITEL,4,Ag+Ag+Au+Au,"2,3,1,0","L,TP,CN1,CN0","C,C,N,N,N,N",,,True,True,True,Ag+Ag+Au+Au|CN:2+3+1+0,Ag+Ag+Au+Au|CN:2+3+1+0|Shape:L+TP+CN1+CN0,Ag+Ag+Au+Au|CN:2+3+1+0|Shape:L+TP+CN1+CN0|Donors:C+C+N+N+N+N|Bridges:0,13078bd55544
MOF_ABITIP,CSD_MOF,ABITIP,4,Ag+Ag+Au+Au,"2,3,1,0","L,TP,CN1,CN0","C,C,N,N,N,N",,,True,True,True,Ag+Ag+Au+Au|CN:2+3+1+0,Ag+Ag+Au+Au|CN:2+3+1+0|Shape:L+TP+CN1+CN0,Ag+Ag+Au+Au|CN:2+3+1+0|Shape:L+TP+CN1+CN0|Donors:C+C+N+N+N+N|Bridges:0,13078bd55544
MOF_ABIVEO,CSD_MOF,ABIVEO,2,Co+Co,"5,1","TBPY,CN1","Cl,N,O,O,O,O",,,True,True,True,Co+Co|CN:5+1,Co+Co|CN:5+1|Shape:TBPY+CN1,Co+Co|CN:5+1|Shape:TBPY+CN1|Donors:Cl+N+O+O+O+O|Bridges:0,75b87b2af294
MOF_ABIVUC,CSD_MOF,ABIVUC,4,Fe+Fe+Fe+Fe,"6,6,1,1","OC,OC,CN1,CN1","N,N,N,N,O,O,O,O,O,O,O,O,O,O",,,True,True,True,Fe+Fe+Fe+Fe|CN:6+6+1+1,Fe+Fe+Fe+Fe|CN:6+6+1+1|Shape:OC+OC+CN1+CN1,Fe+Fe+Fe+Fe|CN:6+6+1+1|Shape:OC+OC+CN1+CN1|Donors:N+N+N+N+O+O+O+O+O+O+O+O+O+O|Bridges:0,3442d431d188
