node_id,source_database,source_id,record_type,metal_count,metals_str,cn_list,shape_best_list,donor_set,bridge_types,haptic_modes,L0,L1,L2,L3,ligand_signature
MULTI_ACIKUV,CSD_multi,ACIKUV,multinuclear,2,Fe+Ni,"3,4","TP,SP","C,P,P,S,S",mu2-S,,Fe+Ni|CN:3+4,Fe+Ni|CN:3+4|Shape:TP+SP,Fe+Ni|CN:3+4|Shape:TP+SP|Donors:C+P+P+S+S|Bridges:2,4913896e8d0d,C+P+P+S+S
MULTI_ACILIJ,CSD_multi,ACILIJ,multinuclear,2,Cu+Cu,"5,5","TBPY,TBPY","Br,Br,N,N,N,N,S,S",mu2-S,,Cu+Cu|CN:5+5,Cu+Cu|CN:5+5|Shape:TBPY+TBPY,Cu+Cu|CN:5+5|Shape:TBPY+TBPY|Donors:Br+Br+N+N+N+N+S+S|Bridges:2,2f8d695d8fcb,Br+Br+N+N+N+N+S+S
MULTI_ACILIK,CSD_multi,ACILIK,multinuclear,2,Fe+Ni,"3,4","TP,SP","C,P,P,S,S",mu2-S,,Fe+Ni|CN:3+4,Fe+Ni|CN:3+4|Shape:TP+SP,Fe+Ni|CN:3+4|Shape:TP+SP|Donors:C+P+P+S+S|Bridges:2,4913896e8d0d,C+P+P+S+S
MULTI_ACILOP,CSD_multi,ACILOP,multinuclear,2,Cu+Cu,"5,5","TBPY,TBPY","N,N,N,N,N,N,S,S",mu2-S,,Cu+Cu|CN:5+5,Cu+Cu|CN:5+5|Shape:TBPY+TBPY,Cu+Cu|CN:5+5|Shape:TBPY+TBPY|Donors:N+N+N+N+N+N+S+S|Bridges:2,4249c5e021b5,N+N+N+N+N+N+S+S
MULTI_ACILUV,CSD_multi,ACILUV,multinuclear,2,Cu+Cu,"5,5","TBPY,TBPY","Cl,Cl,N,N,N,N,S,S",mu2-S,,Cu+Cu|CN:5+5,Cu+Cu|CN:5+5|Shape:TBPY+TBPY,Cu+Cu|CN:5+5|Shape:TBPY+TBPY|Donors:Cl+Cl+N+N+N+N+S+S|Bridges:2,7daed512ca74,Cl+Cl+N+N+N+N+S+S
MULTI_ACIMAB,CSD_multi,ACIMAB,multinuclear,2,Ag+Ag,"4,4","SP,SP","N,N,N,N,N,N,N,N",,,Ag+Ag|CN:4+4,Ag+Ag|CN:4+4|Shape:SP+SP,Ag+Ag|CN:4+4|Shape:SP+SP|Donors:N+N+N+N+N+N+N+N|Bridges:0,133b9fe80470,N+N+N+N+N+N+N+N
MULTI_ACIMEG,CSD_multi,ACIMEG,multinuclear,7,Co+V+V+V+V+V+V,"5,6,6,6,6,6,6","TBPY,OC,OC,OC,OC,OC,OC","N,N,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O","mu2-O,mu6-O",,Co+V+V+V+V+V+V|CN:5+6+6+6+6+6+6,Co+V+V+V+V+V+V|CN:5+6+6+6+6+6+6|Shape:TBPY+OC+OC+OC+OC+OC+OC,Co+V+V+V+V+V+V|CN:5+6+6+6+6+6+6|Shape:TBPY+OC+OC+OC+OC+OC+OC|Donors:N+N+N+N+N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O|Bridges:13,1e9b34ed26e0,N+N+N+N+N+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O+O
MULTI_ACIMIJ,CSD_multi,ACIMIJ,multinuclear,2,Pd+Pd,"4,4","SP,SP","N,N,N,N,N,N,O,O",,,Pd+Pd|CN:4+4,Pd+Pd|CN:4+4|Shape:SP+SP,Pd+Pd|CN:4+4|Shape:SP+SP|Donors:N+N+N+N+N+N+O+O|Bridges:0,aaa9e0a6292b,N+N+N+N+N+N+O+O
MULTI_ACIMIK,CSD_multi,ACIMIK,multinuclear,3,Co+Co+Co,"4,5,5","SP,TBPY,TBPY","N,N,N,N,N,N,N,N,N,N,N,N,N,N",,,Co+Co+Co|CN:4+5+5,Co+Co+Co|CN:4+5+5|Shape:SP+TBPY+TBPY,Co+Co+Co|CN:4+5+5|Shape:SP+TBPY+TBPY|Donors:N+N+N+N+N+N+N+N+N+N+N+N+N+N|Bridges:0,2a952f3ed838,N+N+N+N+N+N+N+N+N+N+N+N+N+N
MULTI_ACININ,CSD_multi,ACININ,multinuclear,2,Ir+Ta,"2,3","L,TP","C,C,C,H,H",,,Ir+Ta|CN:2+3,Ir+Ta|CN:2+3|Shape:L+TP,Ir+Ta|CN:2+3|Shape:L+TP|Donors:C+C+C+H+H|Bridges:0,255712558b37,C+C+C+H+H
