molecular_record_id,molecular_refcode,mof_node_id,mof_source_id,match_rank,homology_score,metal_score,donor_set_score,CN_score,shape_similarity,bridge_or_haptic_score,topology_score,stereo_or_relation_score,match_level
MULTI_ADIFUO,ADIFUO,MOF_ABUFUA,ABUFUA,1,0.7667,1.0,0.7,0.5833,0.0,1.0,1.0,0.5,bridge_topology_match
MULTI_ADIFUO,ADIFUO,MOF_ABAXUZ,ABAXUZ,2,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,weak_match
MULTI_ADIFUO,ADIFUO,MOF_ABAYAG,ABAYAG,3,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,weak_match
MULTI_ADIFUO,ADIFUO,MOF_ACOLAG,ACOLAG,4,0.7333,1.0,0.5,0.6667,0.0,1.0,1.0,0.5,weak_match
MULTI_ADIFUO,ADIFUO,MOF_ACIYER,ACIYER,5,0.7,0.0,1.0,1.0,1.0,1.0,0.5,1.0,weak_match
MONO_ADINIO,ADINIO,MOF_ABIFAT,ABIFAT,1,0.775,1.0,0.2,1.0,1.0,1.0,1.0,0.5,weak_match
MONO_ADINIO,ADINIO,MOF_ABIFAT01,ABIFAT01,2,0.775,1.0,0.2,1.0,1.0,1.0,1.0,0.5,weak_match
MONO_ADINIO,ADINIO,MOF_ACESMN,ACESMN,3,0.775,1.0,0.2,1.0,1.0,1.0,1.0,0.5,weak_match
MONO_ADINIO,ADINIO,MOF_ACIQEJ,ACIQEJ,4,0.775,1.0,0.2,1.0,1.0,1.0,1.0,0.5,weak_match
MONO_ADINIO,ADINIO,MOF_ABUSOG,ABUSOG,5,0.7477,1.0,0.0909,1.0,1.0,1.0,1.0,0.5,weak_match
MULTI_ABIDEV,ABIDEV,MOF_ACIQIN,ACIQIN,1,0.85,1.0,0.5,1.0,1.0,1.0,1.0,0.5,weak_match
MULTI_ABIDEV,ABIDEV,MOF_ACUQUO,ACUQUO,2,0.85,1.0,0.5,1.0,1.0,1.0,1.0,0.5,weak_match
MULTI_ABIDEV,ABIDEV,MOF_ABIFEX,ABIFEX,3,0.7625,1.0,0.5833,0.5833,0.5,1.0,1.0,0.5,weak_match
MULTI_ABIDEV,ABIDEV,MOF_ACIJAX,ACIJAX,4,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,weak_match
MULTI_ABIDEV,ABIDEV,MOF_ADAFAN,ADAFAN,5,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,weak_match
MULTI_ACACMN29,ACACMN29,MOF_ACIQIN,ACIQIN,1,0.85,1.0,0.5,1.0,1.0,1.0,1.0,0.5,weak_match
MULTI_ACACMN29,ACACMN29,MOF_ACAHIW,ACAHIW,2,0.825,0.3,1.0,1.0,1.0,1.0,1.0,1.0,weak_match
MULTI_ACACMN29,ACACMN29,MOF_ACUQUO,ACUQUO,3,0.775,1.0,0.2,1.0,1.0,1.0,1.0,0.5,weak_match
MULTI_ACACMN29,ACACMN29,MOF_ABUFOU,ABUFOU,4,0.7625,1.0,0.5833,0.5833,0.5,1.0,1.0,0.5,weak_match
MULTI_ACACMN29,ACACMN29,MOF_ACEDUJ,ACEDUJ,5,0.75,0.0,1.0,1.0,1.0,1.0,1.0,1.0,weak_match
MULTI_ABIDIZ,ABIDIZ,MOF_ABUHAJ,ABUHAJ,1,0.9242,1.0,0.88,0.9583,0.75,1.0,1.0,0.5,bridge_topology_match
MULTI_ABIDIZ,ABIDIZ,MOF_ABUGUC,ABUGUC,2,0.7812,1.0,0.625,1.0,1.0,0.0,1.0,0.5,relaxed_donor_geometry_match
MULTI_ABIDIZ,ABIDIZ,MOF_ACURIC,ACURIC,3,0.6865,0.0,0.8462,1.0,1.0,1.0,1.0,0.5,weak_match
MULTI_ABIDIZ,ABIDIZ,MOF_ACADOA,ACADOA,4,0.6492,0.8,0.6667,0.75,0.75,0.0,0.7,0.5,relaxed_donor_geometry_match
MULTI_ABIDIZ,ABIDIZ,MOF_ACEGEW,ACEGEW,5,0.6283,0.8,0.5833,0.75,0.75,0.0,0.7,0.5,weak_match
MULTI_ABOHUU,ABOHUU,MOF_ACIQIN,ACIQIN,1,0.775,1.0,0.2,1.0,1.0,1.0,1.0,0.5,weak_match
MULTI_ABOHUU,ABOHUU,MOF_ACUQUO,ACUQUO,2,0.775,1.0,0.2,1.0,1.0,1.0,1.0,0.5,weak_match
MULTI_ABOHUU,ABOHUU,MOF_ADEHID01,ADEHID01,3,0.6964,1.0,0.2857,1.0,1.0,0.0,1.0,0.5,weak_match
MULTI_ABOHUU,ABOHUU,MOF_ABIFEX,ABIFEX,4,0.6635,1.0,0.1875,0.5833,0.5,1.0,1.0,0.5,weak_match
MULTI_ABOHUU,ABOHUU,MOF_ACUWIH,ACUWIH,5,0.6528,1.0,0.1111,1.0,1.0,0.0,1.0,0.5,weak_match
MONO_AFOLIQ,AFOLIQ,MOF_ABIFAT,ABIFAT,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
