mof_node_id,mof_source_id,molecular_record_id,molecular_refcode,match_rank,homology_score,metal_score,donor_set_score,CN_score,shape_similarity,bridge_or_haptic_score,topology_score,stereo_or_relation_score,match_level
MOF_ABUZON,ABUZON,MULTI_ABOJUW,ABOJUW,2,0.6855,0.8,0.6,0.619,0.3333,1.0,0.7,0.5,relaxed_donor_geometry_match
MOF_ABUZON,ABUZON,MULTI_ABOLUA,ABOLUA,3,0.6855,0.8,0.6,0.619,0.3333,1.0,0.7,0.5,relaxed_donor_geometry_match
MOF_ABUZON,ABUZON,MULTI_ABARUT,ABARUT,4,0.6491,0.8,0.4545,0.619,0.3333,1.0,0.7,0.5,weak_match
MOF_ABUZON,ABUZON,MULTI_ACADCO,ACADCO,5,0.6476,0.0,0.9,0.9048,0.3333,1.0,1.0,0.5,weak_match
MOF_ABUZOP,ABUZOP,MONO_ABAMUO,ABAMUO,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUZOP,ABUZOP,MONO_ABUZEF,ABUZEF,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUZOP,ABUZOP,MONO_ABUZUV,ABUZUV,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUZOP,ABUZOP,MONO_ADAHIX,ADAHIX,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,L3_collision
MOF_ABUZOP,ABUZOP,MONO_ACIFIC,ACIFIC,5,0.8917,1.0,0.6667,1.0,1.0,1.0,1.0,0.5,relaxed_donor_geometry_match
MOF_ABZCUH,ABZCUH,MULTI_ABOLUA,ABOLUA,1,0.756,1.0,0.6667,0.5714,0.0,1.0,1.0,0.5,relaxed_donor_geometry_match
MOF_ABZCUH,ABZCUH,MULTI_AFEGEZ,AFEGEZ,2,0.731,1.0,0.4667,0.5714,0.5,1.0,1.0,0.5,weak_match
MOF_ABZCUH,ABZCUH,MULTI_ABOJUW,ABOJUW,3,0.7239,1.0,0.5385,0.5714,0.0,1.0,1.0,0.5,weak_match
MOF_ABZCUH,ABZCUH,MULTI_AFAVUA,AFAVUA,4,0.7232,1.0,0.75,0.9286,0.5,0.0,0.5,0.5,relaxed_donor_geometry_match
MOF_ABZCUH,ABZCUH,MULTI_ABARUT,ABARUT,5,0.6726,1.0,0.3333,0.5714,0.0,1.0,1.0,0.5,weak_match
MOF_ABZCUH01,ABZCUH01,MULTI_ABOLUA,ABOLUA,1,0.756,1.0,0.6667,0.5714,0.0,1.0,1.0,0.5,relaxed_donor_geometry_match
MOF_ABZCUH01,ABZCUH01,MULTI_AFEGEZ,AFEGEZ,2,0.731,1.0,0.4667,0.5714,0.5,1.0,1.0,0.5,weak_match
MOF_ABZCUH01,ABZCUH01,MULTI_ABOJUW,ABOJUW,3,0.7239,1.0,0.5385,0.5714,0.0,1.0,1.0,0.5,weak_match
MOF_ABZCUH01,ABZCUH01,MULTI_AFAVUA,AFAVUA,4,0.7232,1.0,0.75,0.9286,0.5,0.0,0.5,0.5,relaxed_donor_geometry_match
MOF_ABZCUH01,ABZCUH01,MULTI_ABARUT,ABARUT,5,0.6726,1.0,0.3333,0.5714,0.0,1.0,1.0,0.5,weak_match
MOF_ABZCUH02,ABZCUH02,MULTI_ABOLUA,ABOLUA,1,0.756,1.0,0.6667,0.5714,0.0,1.0,1.0,0.5,relaxed_donor_geometry_match
MOF_ABZCUH02,ABZCUH02,MULTI_AFEGEZ,AFEGEZ,2,0.731,1.0,0.4667,0.5714,0.5,1.0,1.0,0.5,weak_match
MOF_ABZCUH02,ABZCUH02,MULTI_ABOJUW,ABOJUW,3,0.7239,1.0,0.5385,0.5714,0.0,1.0,1.0,0.5,weak_match
MOF_ABZCUH02,ABZCUH02,MULTI_AFAVUA,AFAVUA,4,0.7232,1.0,0.75,0.9286,0.5,0.0,0.5,0.5,relaxed_donor_geometry_match
MOF_ABZCUH02,ABZCUH02,MULTI_ABARUT,ABARUT,5,0.6726,1.0,0.3333,0.5714,0.0,1.0,1.0,0.5,weak_match
MOF_ABZCUH03,ABZCUH03,MULTI_ABOLUA,ABOLUA,1,0.756,1.0,0.6667,0.5714,0.0,1.0,1.0,0.5,relaxed_donor_geometry_match
MOF_ABZCUH03,ABZCUH03,MULTI_AFEGEZ,AFEGEZ,2,0.731,1.0,0.4667,0.5714,0.5,1.0,1.0,0.5,weak_match
MOF_ABZCUH03,ABZCUH03,MULTI_ABOJUW,ABOJUW,3,0.7239,1.0,0.5385,0.5714,0.0,1.0,1.0,0.5,weak_match
MOF_ABZCUH03,ABZCUH03,MULTI_AFAVUA,AFAVUA,4,0.7232,1.0,0.75,0.9286,0.5,0.0,0.5,0.5,relaxed_donor_geometry_match
MOF_ABZCUH03,ABZCUH03,MULTI_ABARUT,ABARUT,5,0.6726,1.0,0.3333,0.5714,0.0,1.0,1.0,0.5,weak_match
MOF_ABZCUH04,ABZCUH04,MONO_ACAQOK,ACAQOK,1,0.9036,1.0,0.7143,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ABZCUH04,ABZCUH04,MONO_ACENEF,ACENEF,2,0.9036,1.0,0.7143,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ABZCUH04,ABZCUH04,MONO_AGIQEQ,AGIQEQ,3,0.9036,1.0,0.7143,1.0,1.0,1.0,1.0,0.5,bridge_topology_match
MOF_ABZCUH04,ABZCUH04,MONO_ACUHUD,ACUHUD,4,0.8548,1.0,0.8333,0.8571,0.0,1.0,1.0,0.5,bridge_topology_match
