selection_order,mol_id,fold,metal,cn,graph_sha256,candidate_count,k,signature_matches,exact_matches,signature_fully_collapsed,exact_fully_collapsed,signature_roundtrip_passes,exact_roundtrip_passes,signature_roundtrip_all,exact_roundtrip_all,candidate_count_matches,candidate_count_stable,variant_errors,signature_reference_sha256,exact_reference_sha256,encode_median_seconds,signature_median_seconds,exact_median_seconds,error_examples_json,fatal_error
857,YOSKEX,3,Pd,4,36adbf4792ecba397711a71f5617ed9cf37ea276249a46dd7ec0ad03f2874c81,4,100,50,100,False,True,100,100,True,True,100,True,0,9f61fe7622c353e5c3dd93dbb003ae8b1671bf61444df464c2da0fd8ac85f9a9,caa72d9b01b6a2d728715d530de5c6bc11915c4b3667fcd7cecfc3ab4941288d,0.005685900003300048,0.00017740001203492284,0.0007685000018682331,[],
858,HOKZOX,3,Pd,4,b9053e4e9412408544be324947ab8e5ed60a1f780dcc5d66e94544c9e09e5550,4,100,46,100,False,True,100,100,True,True,100,True,0,6a2beb71a3bf29d4d7f9820d18ea7fd4143bf0b61a66b2efcc88923c545426da,f4aeabdb39be9ecb293471b675624c8de4dc0a391118354a4641fd7c74476737,0.007632699984242208,0.0001626000157557428,0.0006679999933112413,[],
859,IYUGOY,4,Pt,4,b8b9cf94bcbceac59441c7c1716c85760690a4c17ae59edcbb918be82c1c9074,4,100,100,100,True,True,100,100,True,True,100,True,0,49a273630e5c9444465a40164bbb1b71135e381581328a08b35120fc6cf72e7a,49a273630e5c9444465a40164bbb1b71135e381581328a08b35120fc6cf72e7a,0.00545675000466872,0.00017019998631440103,0.0007577999786008149,[],
860,NEXLEJ,0,Fe,6,feef2ac20ed944035e7980a0eeca689b49e89018eab8cdc866bab0278f25e5e1,8,100,100,100,True,True,100,100,True,True,100,True,0,446886bfa656538b42e181252f2fbdc238ca18a262c62d54ee84e5cc016aa66a,446886bfa656538b42e181252f2fbdc238ca18a262c62d54ee84e5cc016aa66a,0.008627200004411861,0.0002565000031609088,0.002767800004221499,[],
861,KAKYUQ,0,Zn,4,7c8675c1f1859e8c2ccea3a243197b9c93e8b1ab316645a4695b9cb85d7787fb,2,100,55,100,False,True,100,100,True,True,100,True,0,3fa5f6f049e34f2aac4ef7ae38fa22727f0e62f7c08495b430985494d48ef4c0,3fa5f6f049e34f2aac4ef7ae38fa22727f0e62f7c08495b430985494d48ef4c0,0.003338350012199953,0.00013880000915378332,0.00033660000190138817,[],
862,KIGCIQ,4,Pt,6,e4a007d57abebb0ac7bd1c053507dbc4fe7e2c9b32aa205add5fe006db3ca09f,6,100,24,100,False,True,100,100,True,True,100,True,0,cbe79c93611e2cc1dfde9a7a8d7a13f3c673e740b1a1f0e8089298bf92c5f84e,237804b5fa2ead10b1b9e70c6c17f1826b649814ed55ab62bcefca99d7bb282a,0.005202100001042709,0.0002083999861497432,0.001596999994944781,[],
863,NIFZOU,0,Pd,4,fa22ea0beb9e2cae2d05fae3db9297a55ccac18d20d5e5ba4392ecb1cc9c024b,2,100,53,100,False,True,100,100,True,True,100,True,0,cb9b63d3e7bb8c82fecb4ca21ddbc20fdfa89f6a8605f1a719772911be603007,cb9b63d3e7bb8c82fecb4ca21ddbc20fdfa89f6a8605f1a719772911be603007,0.006920900006662123,0.00017510002362541854,0.0004731999943032861,[],
864,FOYPUG,0,Pd,5,fdd520ec544df2915ba455875c20b25dba4974f25f7c08b688de875abf53ca4a,2,100,52,100,False,True,100,100,True,True,100,True,0,09e9def8c744ea532f3362794358a39d4236b92490917ae43db942dc38fa6349,cd7109ec403c10a0d90e954783e6c0eb4151e2ea76173733d56d2dec04d1b10e,0.006293550002737902,0.00017040001694113016,0.0005088000034447759,[],
865,SIBSEB,1,Pt,4,75db39f511707b09610bc64a3649a75634a1a50573295bb253201d46a45eafa2,4,100,43,100,False,True,100,100,True,True,100,True,0,3273d4c4b30b525f85491cf971d3760107bf63134947f4bf12eda777ca278b1b,71f055d349f2489d71bdf26816176a013a13f8137ddfeed598a4cbe02b0120a0,0.0025638499937485904,0.00024300001678057015,0.0012669000134337693,[],
866,COJQIC,2,Pd,4,cc2db71ef92c6ae94dd1b89481a4125c4ca883c294466669a5a77e1d9644743c,2,100,54,100,False,True,100,100,True,True,100,True,0,f4fe0d6f3e0fda5c2235e370ffce57192228b76deca137dd187223a8548075e7,71571cc62b78141a2b0c17680c8ec4c3b942564b4a6e7a6f119addd966752c98,0.002520199996070005,0.00016029999824240804,0.0005645999917760491,[],
867,ERAPUI,3,Pt,6,d4f072770338537e0977f18c6cf323cd0adc8700387d3c489d1b94cc32bb2246,48,100,7,100,False,True,100,100,True,True,100,True,0,3fe21a6abfdef9cdf8c9146619edd340443aaef955bcb60745dfb5fb21b8ab76,6ae7e29b9db2dfd8b5ad6109c01532800010a836e620f8bae6542d8c89962a23,0.004140250006457791,0.0002401999954599887,0.014369099983014166,[],
868,UMIPEM,0,Pt,4,be4ce37240305e315cad1a74a3e1597839bca6b7ffe2c31adab5f27582858574,4,100,50,100,False,True,100,100,True,True,100,True,0,0109efa7230169b37855101212bed7ed08b86031176f15e86acab758badb3f59,0109efa7230169b37855101212bed7ed08b86031176f15e86acab758badb3f59,0.009178149994113483,0.0002066000015474856,0.0008430000161752105,[],
869,ZOYROW,0,Ni,4,0af73323f8bf2febf3c06881bec9937c56318a66e511184ba76a385e33f09e33,2,100,100,100,True,True,100,100,True,True,100,True,0,8f74f9243d8cfd46f0764144a11e3a264fcba7f4f1bfdc558b015094687c909b,8f74f9243d8cfd46f0764144a11e3a264fcba7f4f1bfdc558b015094687c909b,0.006228850019397214,0.00017740001203492284,0.0005286000086925924,[],
870,FASREX,4,Ni,4,2caec007d2873ea200815944d232a1eb5fb075118786c97ef59eb54035bdfe1e,2,100,100,100,True,True,100,100,True,True,100,True,0,95503ff2a3bc4923512a6ae7b105c827c39f97f421674750e2bf3ac7fddeaf30,95503ff2a3bc4923512a6ae7b105c827c39f97f421674750e2bf3ac7fddeaf30,0.005865749990334734,0.00017499999376013875,0.00046239999937824905,[],
871,XUPWAG,2,Fe,5,2e3c43eef7c2f5f7b6f03ccb7e5a52cd205765ad9c890635b0406aecdce8395c,6,100,30,100,False,True,100,100,True,True,100,True,0,40768fd8965708ea708e5abc8ea7d675b01563bfc7f423fc52dca52d358da06b,b61789d7e916714451363a31cdce14a4a9cbc85b10d66850e3c19a23dbb943d4,0.0023154000227805227,0.00017869999282993376,0.0011983999866060913,[],
872,PEHREB,0,Pt,4,1888cb99831b2b71dbe2de2fb516e5f5b60e9a2b87a5af73f2ea6180a79e799d,2,100,100,100,True,True,100,100,True,True,100,True,0,e7dbc0c336f1031b615be17560fdb9fbbed7be016b7bcf3ed1d4f541a011a307,e7dbc0c336f1031b615be17560fdb9fbbed7be016b7bcf3ed1d4f541a011a307,0.0030145499913487583,0.00014429999282583594,0.00040419999277219176,[],
873,VOGPAK,4,Pd,4,73c6f7a1f4beb73564d8550c5f07c1432ea30e807e5683e143726b2198e8f236,2,100,100,100,True,True,100,100,True,True,100,True,0,896b355f4403c452a50887347eb9848225db3853bd06bc2befab1c0c49f0eaff,896b355f4403c452a50887347eb9848225db3853bd06bc2befab1c0c49f0eaff,0.005009899992728606,0.00018709999858401716,0.0004743000026792288,[],
874,DICQUE,1,Ir,6,2ba01f35e77f119812620423aaf69f0d98874f8f3f25b7bb6d970ff4e02efe87,2,100,46,100,False,True,100,100,True,True,100,True,0,50b39046ad1936f18ef642d9d8bc0401d890fb066fe6234bb90bbb541ffbc387,50b39046ad1936f18ef642d9d8bc0401d890fb066fe6234bb90bbb541ffbc387,0.01019924999854993,0.00023609999334439635,0.0011454999912530184,[],
