refcode,metal,S_TBPY,S_SPY,delta,in_ridge
AHOTIE,Cu,1.34,5.13,3.79,False
AHOVOK,Cu,14.93,10.89,4.04,False
AHUGER,Co,0.87,1.18,0.31,True
AHUGUG,V,0.16,4.36,4.2,False
AHUQAV,Ni,1.07,4.82,3.75,False
AHUQEZ,Ni,0.95,4.99,4.04,False
AHUTED,Zn,9.09,14.35,5.26,False
AHUTON,Cu,5.33,6.64,1.31,False
AHUVIM,Fe,0.95,6.76,5.81,False
AHUVOS,Fe,0.85,3.66,2.81,False
AHUYOT,Nb,0.87,5.51,4.64,False
AJAHEB,Ni,0.9,5.1,4.2,False
AJAQOT,Cu,5.56,7.51,1.95,False
AJARAG,Cu,0.58,5.16,4.58,False
AJENAE,Zr,1.15,7.72,6.57,False
AJENEI,Hf,1.13,2.14,1.01,False
AJEZUK,Ir,4.71,7.23,2.52,False
AJIBIE,Ir,5.1,5.39,0.29,True
AJICEC,Cu,4.69,6.3,1.61,False
AJICON,Zn,0.94,6.35,5.41,False
AJICUT,Mn,1.81,4.53,2.72,False
AJIDIG,Zn,3.52,3.54,0.02,True
AJIJEJ,Cu,0.63,5.67,5.04,False
AJIMEM,Zn,6.37,10.88,4.51,False
AJIMIR,Fe,0.52,1.37,0.85,True
AJIQAM,Ni,5.14,5.68,0.54,True
AJISAP,Cu,0.8,4.13,3.33,False
AJOBAE,Ru,0.73,1.09,0.36,True
AJOBEI,Ru,4.91,6.1,1.19,False
AJOBIM,Ru,0.65,1.16,0.51,True
AJUFOC,Cu,7.72,15.19,7.47,False
AJUJOE,Fe,0.62,1.1,0.48,True
AJURII,Fe,5.87,6.07,0.2,True
AJURUU,Fe,4.87,5.9,1.03,False
AJUSAB,Fe,0.4,6.1,5.7,False
AJUSIJ,Fe,0.38,1.17,0.79,True
AKADOG,Co,0.67,1.31,0.64,True
AKAGID,Ti,5.2,5.54,0.34,True
AKAJUV,Cu,1.33,5.23,3.9,False
AKALII,Ti,4.33,5.0,0.67,True
AKECEC,Cu,4.87,7.07,2.2,False
AKECIG,Cu,6.4,15.05,8.65,False
AKEJIM,Fe,0.15,5.47,5.32,False
AKEYAQ,Cu,4.81,8.08,3.27,False
AKINAJ,Ta,0.37,0.67,0.3,True
AKIPOC,Y,0.97,4.18,3.21,False
AKISEV,Cu,8.78,12.95,4.17,False
AKISOF,Cu,7.06,7.74,0.68,True
AKITAQ,Nb,5.02,5.57,0.55,True
AKITIY,Nb,4.86,6.16,1.3,False
AKITOE,Nb,5.25,5.68,0.43,True
AKITUK,Nb,5.29,5.46,0.17,True
AKIVOF,Ir,0.74,1.93,1.19,False
AKODUA,Cu,13.58,15.65,2.07,False
AKOHUG,Co,4.84,6.05,1.21,False
AKOSEZ,Cr,5.68,6.02,0.34,True
AKOSID,W,0.07,1.21,1.14,False
AKOWOM,V,0.49,5.55,5.06,False
AKOZAE,Zn,4.63,5.95,1.32,False
AKOZEI,Zn,4.67,5.97,1.3,False
AKOZIM,Zn,4.84,5.92,1.08,False
AKOZOS,Zn,0.42,0.58,0.16,True
AKUMAV,Ru,5.5,5.86,0.36,True
ALALAA,Fe,0.1,0.68,0.58,True
ALAPEI,Cu,0.41,0.43,0.02,True
ALAPEI01,Cu,0.28,5.99,5.71,False
ALAPEI02,Cu,4.68,5.66,0.98,True
ALAZES,Ta,4.88,13.41,8.53,False
ALELAF,Cu,0.52,3.48,2.96,False
ALELEJ,Cu,0.49,6.36,5.87,False
ALELIN,Cu,0.48,1.5,1.02,False
ALERUE,Cu,0.58,0.64,0.06,True
ALESUH,Cu,3.56,6.66,3.1,False
ALEVIZ,Co,5.41,6.51,1.1,False
ALIFAD,Cu,4.58,5.55,0.97,True
ALIMUE,Co,4.78,6.14,1.36,False
ALISAQ,Cu,1.05,4.44,3.39,False
ALISEU,Cu,5.06,6.45,1.39,False
ALISOE,Cu,9.82,15.82,6.0,False
ALIVUO,Cu,0.52,4.52,4.0,False
ALIWAV,Cu,0.5,0.65,0.15,True
ALOBIM,W,5.65,6.0,0.35,True
ALODIQ,Cd,1.08,6.88,5.8,False
ALOGEP,Cu,9.04,14.19,5.15,False
ALOJAM,V,7.88,6.27,1.61,False
ALOKES,Zn,0.26,0.88,0.62,True
ALOPAS,Zn,0.38,6.17,5.79,False
ALOPAS02,Zn,0.38,4.87,4.49,False
ALOPEY,Co,5.43,5.98,0.55,True
ALOYUX,Zn,4.8,5.06,0.26,True
ALULIF,Cd,5.47,7.66,2.19,False
ALUNUR,Ag,0.98,6.12,5.14,False
ALUNUR01,Ag,0.9,2.06,1.16,False
AMABIA,Rh,6.03,6.16,0.13,True
AMACOG,Ir,5.75,6.0,0.25,True
AMADAT,Ir,5.14,5.76,0.62,True
AMADCS,Cu,6.41,5.67,0.74,True
AMAHAA,Ni,11.4,12.68,1.28,False
AMAHOO,Ni,0.41,6.05,5.64,False
AMALEG,Cu,0.39,0.39,0.0,True
AMAMIL,Cu,6.28,8.41,2.13,False
AMAVUF,Sc,0.19,5.24,5.05,False
AMEHUW,Cu,5.01,6.53,1.52,False
