refcode,metal,S_TBPY,S_SPY,delta,in_ridge
PAGMIT,Re,0.4,5.98,5.58,False
PAGNAP,Cu,7.5,9.37,1.87,False
PAGNUL,Co,0.56,1.12,0.56,True
PAGPAT,Co,0.3,6.21,5.91,False
PAGPOH,Co,0.32,5.55,5.23,False
PAGQAU,Co,6.0,6.26,0.26,True
PAGQEY,Co,0.5,5.5,5.0,False
PAGYAX,Fe,4.7,6.2,1.5,False
PAHMUJ,Ni,5.58,7.22,1.64,False
PAHQAS,Hf,0.54,5.83,5.29,False
PAHQOG,Hf,9.59,6.46,3.13,False
PAHTAX,Ru,4.91,6.13,1.22,False
PAHWEB,Cu,4.35,7.14,2.79,False
PAHWIF,Cu,9.05,10.32,1.27,False
PAJDEO,Cu,0.04,0.97,0.93,True
PAJDOY,Cu,0.06,5.47,5.41,False
PAJKAO,Zr,0.47,5.53,5.06,False
PAJNUL,Ni,5.35,5.66,0.31,True
PAJPAT,Ni,0.79,0.99,0.2,True
PAJQID,Cu,0.56,3.43,2.87,False
PAJRAX,Co,0.98,6.5,5.52,False
PAJSEB,Co,0.37,1.24,0.87,True
PAJTAY,Co,1.17,1.94,0.77,True
PAJVOL,V,5.12,5.83,0.71,True
PAKCIQ,Cu,5.17,5.22,0.05,True
PAKDIS,Cu,0.76,0.83,0.07,True
PAKJIY,Fe,2.81,3.2,0.39,True
PAKJOE,Fe,7.92,11.14,3.22,False
PAKJUI,Cu,1.1,4.95,3.85,False
PAKXOQ,Mn,1.03,6.73,5.7,False
PALLEV,Mn,0.4,1.92,1.52,False
PALLIZ,Re,6.21,6.43,0.22,True
PALPOH,W,0.03,0.9,0.87,True
PALRUQ,Ti,0.08,3.79,3.71,False
PALTAY,Ti,6.82,16.34,9.52,False
PALVAA,Ti,0.13,5.44,5.31,False
PALVAZ,Ir,5.74,5.98,0.24,True
PAMJEV,Cu,6.08,12.19,6.11,False
PAMKIA,Cu,5.13,5.38,0.25,True
PAMSIF,Cu,4.64,8.95,4.31,False
PANCEO,Ni,5.03,5.58,0.55,True
PANKAT,Ru,0.24,1.07,0.83,True
PANKIB,Ru,0.32,1.18,0.86,True
PANPEB,Zn,4.43,5.05,0.62,True
PANPIF,Ni,4.95,5.54,0.59,True
PANZAH,V,0.26,0.71,0.45,True
PANZEL,V,0.26,0.65,0.39,True
PAPFER,Cu,3.24,3.92,0.68,True
PAPNAW,Cu,6.19,10.25,4.06,False
PAPSAD,Cu,0.25,0.66,0.41,True
PAPSAD01,Cu,0.25,0.67,0.42,True
PAPXOU,Hf,2.26,6.56,4.3,False
PAPZOW,Ru,6.3,6.59,0.29,True
PAQGEW,Co,1.4,1.49,0.09,True
PAQJUP,Co,0.74,6.5,5.76,False
PAQKOK,Ru,4.52,5.06,0.54,True
PAQKUQ,Ru,5.23,5.79,0.56,True
PAQWAF,Tc,1.55,5.42,3.87,False
PARFIX,Re,5.69,5.9,0.21,True
PARTEH,Rh,6.15,6.25,0.1,True
PARVEN,Cr,5.63,6.46,0.83,True
PARVIR,Fe,0.33,5.06,4.73,False
PASCAN,V,9.85,12.59,2.74,False
PASCIW,Cu,6.65,13.97,7.32,False
PASFIZ,Cu,4.45,5.55,1.1,False
PASNCO10,Os,0.0,1.15,1.15,False
PASNOS,Os,5.89,5.92,0.03,True
PASNRE,Re,0.01,1.22,1.21,False
PATBET,Rh,0.4,1.01,0.61,True
PAVCUN,Cu,2.62,4.15,1.53,False
PAVDEY,Cu,0.99,1.33,0.34,True
PAVFEX,Ta,0.43,5.74,5.31,False
PAVHUQ,V,0.68,3.67,2.99,False
PAVZES,Zn,0.4,1.06,0.66,True
PAWHAA,Ir,6.09,6.19,0.1,True
PAWKAZ,Mo,0.27,5.82,5.55,False
PAWQOT,Re,0.1,0.94,0.84,True
PAXRUF,Co,0.79,6.23,5.44,False
PAXSEQ,Cu,0.84,5.15,4.31,False
PAXSIU,Cu,0.49,5.87,5.38,False
PAYCAX,Zn,4.32,5.46,1.14,False
PAYHEC,Rh,4.06,5.5,1.44,False
PAYHIG,Fe,4.75,5.9,1.15,False
PAYHUS,Fe,1.21,5.11,3.9,False
PAYKAE,V,0.07,0.75,0.68,True
PAYQOV,Ru,5.69,6.1,0.41,True
PAYSIT,Cu,4.85,13.13,8.28,False
PAYSOY,Co,1.18,4.87,3.69,False
PAYTOZ,Fe,1.59,4.96,3.37,False
PAYTUF,Co,5.23,6.7,1.47,False
PAYXOE,Zn,0.34,5.38,5.04,False
PAZDAX,Cu,2.99,4.65,1.66,False
PAZRAN,Zn,5.15,5.91,0.76,True
PAZTET,Cu,6.0,14.99,8.99,False
PCYCCU,Cu,0.55,5.01,4.46,False
PEBJOY,Ni,3.29,4.74,1.45,False
PEBMUE,Cu,4.9,6.06,1.16,False
PEBWOK,Cu,0.53,1.47,0.94,True
PECHIR,Mn,6.11,6.17,0.06,True
PECHIR01,Mn,5.48,6.07,0.59,True
PECMUG,Fe,5.23,6.08,0.85,True
PECNIW,Cu,2.8,5.29,2.49,False
PECTEX,Cu,4.29,4.48,0.19,True
PECTIB,Cu,4.09,4.39,0.3,True
PEDGOV,Ni,5.3,5.41,0.11,True
PEDGOV01,Ni,0.78,0.95,0.17,True
PEDGUB,Ni,0.72,0.99,0.27,True
PEDHEM,Cu,5.44,5.3,0.14,True
PEDJEN01,Cu,4.56,6.16,1.6,False
PEDJUE,Rh,6.03,6.1,0.07,True
PEDKUE01,V,0.13,5.49,5.36,False
PEDKUE02,V,0.15,5.47,5.32,False
PEDNIY,Co,7.23,12.32,5.09,False
PEDPIY,Zn,5.47,7.65,2.18,False
PEDTUQ,Cu,9.73,9.53,0.2,True
PEDYOM,Ru,0.82,1.33,0.51,True
PEFSEZ,Zn,11.83,14.67,2.84,False
PEFZAB,Fe,0.38,0.6,0.22,True
PEGDAG,Cu,0.5,5.77,5.27,False
PEGMIX,Co,3.06,10.69,7.63,False
PEGTIF,Cu,4.79,6.25,1.46,False
PEHVEH,Cu,0.43,0.85,0.42,True
PEJBEL,Fe,0.64,5.69,5.05,False
PEJBOY,Cu,6.28,12.88,6.6,False
PEKFUJ,V,0.22,0.91,0.69,True
PEKVEJ,Cu,0.28,5.08,4.8,False
PEKVEK,Co,0.7,1.45,0.75,True
PEKWAE,Ru,0.26,0.84,0.58,True
PEKWIM,Ru,5.61,6.29,0.68,True
PELFOB,Fe,0.36,5.5,5.14,False
PELGOD,Co,0.67,0.95,0.28,True
PELHAP,Cu,6.67,6.34,0.33,True
PELNIG,Ag,4.59,6.63,2.04,False
PELNIG03,Ag,9.01,6.85,2.16,False
PELQUT,Zn,0.41,1.25,0.84,True
PELSEE,Re,0.56,0.77,0.21,True
PEMENI,Ni,0.8,1.06,0.26,True
PEMGIA,Cd,3.34,4.97,1.63,False
PEMGOG,Cd,4.76,7.31,2.55,False
PEMGOG01,Cd,1.31,7.26,5.95,False
PEMGUM,Cu,4.59,5.23,0.64,True
PEMHAT,Cu,4.88,6.18,1.3,False
PEMKID,Cr,1.42,3.55,2.13,False
PEMMEB,Mn,0.26,1.39,1.13,False
PEMMIF,Ru,5.62,5.96,0.34,True
PEMSOP,Cr,5.61,5.93,0.32,True
PEMTAC,Cr,5.91,6.18,0.27,True
PEMVUA,Ru,0.51,1.82,1.31,False
PENCIX,Cu,0.62,0.76,0.14,True
PENGUL,Cu,4.98,5.91,0.93,True
PENHUM,Ru,3.04,6.11,3.07,False
PENLIE,Os,0.54,1.49,0.95,True
PENLOK,Os,0.42,1.67,1.25,False
PEPHIE,Mn,0.68,6.33,5.65,False
PEPHOK,V,5.05,5.84,0.79,True
PEPNAB,Ru,5.31,8.22,2.91,False
PEPPAE,Fe,0.29,0.4,0.11,True
PEPPEI,Fe,4.69,5.56,0.87,True
PEPWAK,Fe,0.63,4.99,4.36,False
PEPWUC,Os,0.94,1.52,0.58,True
PEPZAL,Cr,2.02,2.43,0.41,True
PEQMOQ,Fe,0.41,5.59,5.18,False
PEQSAF,W,5.5,5.85,0.35,True
PEQSEJ,Mo,5.59,6.02,0.43,True
PEQXIT,Cu,0.94,3.54,2.6,False
PERBOF,Zn,1.59,1.78,0.19,True
PERGAU,Mo,1.25,6.11,4.86,False
PERHAW,V,2.7,4.35,1.65,False
PERMOP,Fe,0.42,1.04,0.62,True
PERYIU,V,0.15,1.02,0.87,True
PESALF01,Fe,0.28,1.6,1.32,False
PESBEU,V,0.25,0.57,0.32,True
PESBIZ01,Cu,0.54,4.83,4.29,False
PETCUO,Cu,0.68,1.36,0.68,True
PETHAY,Ru,0.63,0.92,0.29,True
PETHUT,Co,0.18,5.75,5.57,False
PETJUT,Rh,11.7,9.96,1.74,False
PETPTE,Fe,5.12,5.83,0.71,True
PETSAJ,Cu,4.77,6.04,1.27,False
PEVDAV,Cr,5.34,5.78,0.44,True
PEVHAC,Fe,0.17,1.23,1.06,False
PEVHOQ,Fe,0.26,5.56,5.3,False
PEVJAE,Fe,0.35,5.7,5.35,False
PEVJEI,Fe,0.09,3.9,3.81,False
PEVLAH,Cu,0.59,4.37,3.78,False
PEVPAI,Ti,0.2,5.47,5.27,False
PEWBEZ,Cu,11.08,13.59,2.51,False
PEWGUX,Cu,4.1,5.86,1.76,False
PEWTOA,Tc,4.71,5.88,1.17,False
PEWWOF,Ru,5.06,6.1,1.04,False
PEXGOQ,Cu,4.65,5.77,1.12,False
PEXKIP,Ni,0.62,7.03,6.41,False
PEXKUB,Ni,5.2,5.53,0.33,True
PEXVIX,Ta,1.08,1.77,0.69,True
PEXVIY,Ta,1.99,2.52,0.53,True
PEXZIB,Re,0.26,5.88,5.62,False
PEZDII,Os,0.67,1.53,0.86,True
PEZDIJ,Cu,4.32,6.23,1.91,False
PEZFIL,Cu,5.28,6.15,0.87,True
PEZGOU,Fe,0.69,1.59,0.9,True
PEZMIT,Co,0.8,2.09,1.29,False
PEZXEY,Cu,4.74,5.76,1.02,False
PEZXUO01,Cu,5.2,6.07,0.87,True
PEZYAV,Cu,4.53,5.92,1.39,False
PEZYOJ,Cu,0.03,1.04,1.01,False
PHENCM01,Mn,4.66,5.89,1.23,False
PHPCMN,Mn,0.37,5.53,5.16,False
PIBBAF,Mn,5.83,7.0,1.17,False
PIBHER,Ru,5.89,6.23,0.34,True
PIBHIV,Ru,5.4,5.68,0.28,True
PIBLOE,Cu,3.46,6.37,2.91,False
PIBMUI,Tc,5.37,5.79,0.42,True
PIBNUJ,Co,4.97,5.98,1.01,False
PIBPIB,Ni,0.39,4.95,4.56,False
PIBPOH,Ni,5.06,5.99,0.93,True
PIBROH,Fe,0.09,0.78,0.69,True
PIBSIC,Ru,5.25,6.34,1.09,False
PIBXAB,Cu,1.3,5.23,3.93,False
PICFIR,Cu,5.09,6.25,1.16,False
PICGAK,Ti,0.2,0.99,0.79,True
PICGEO,Ti,0.19,1.06,0.87,True
PICKOF,Zn,0.74,0.96,0.22,True
PICSOK,Os,5.12,5.82,0.7,True
PICVON,Ir,4.56,5.05,0.49,True
PICVUT,Ru,6.05,6.64,0.59,True
PIDMAR,Re,0.07,3.81,3.74,False
PIDSON,Cu,4.62,5.85,1.23,False
PIDXUZ,Ru,5.52,5.87,0.35,True
PIDYAC,Cu,5.01,6.34,1.33,False
PIFDIS,Zn,5.15,5.37,0.22,True
PIFFEQ,Zn,5.15,6.19,1.04,False
PIFSEE,Ti,10.16,14.37,4.21,False
PIFSII,Ti,12.64,9.61,3.03,False
PIFSOO,Ti,6.07,12.98,6.91,False
PIGHAQ,Ir,0.44,0.85,0.41,True
PIGHIY,Ir,5.9,7.13,1.23,False
PIGKAT,Ir,8.87,17.53,8.66,False
PIGYIO,Cu,6.13,10.12,3.99,False
PIHPAZ,V,0.18,0.73,0.55,True
PIHVOR,Cu,0.19,4.1,3.91,False
PIHVOR10,Cu,0.19,4.1,3.91,False
PIJBEQ,Tc,4.82,5.66,0.84,True
PIJCIV,Cu,0.28,1.02,0.74,True
PIJPAB,Rh,6.26,7.1,0.84,True
PIJROQ,Cu,0.29,0.76,0.47,True
PIJZOY,Mn,5.02,6.6,1.58,False
PIKJAY,Ir,0.89,1.17,0.28,True
PIKMED,Ru,0.7,6.02,5.32,False
PIKMIH,Ru,5.36,6.07,0.71,True
PIKMON,Ru,0.22,1.12,0.9,True
PIKTUB,Zn,0.93,6.59,5.66,False
PIKVAJ,Zn,6.45,10.99,4.54,False
PIKVEM,Ru,5.98,6.09,0.11,True
PIKVIR,Zn,0.86,6.21,5.35,False
PILCOD,Cd,5.58,6.86,1.28,False
PILVIT,Fe,4.99,5.94,0.95,True
PILWAM,Fe,0.53,0.85,0.32,True
PIMBOF,Zn,0.41,1.19,0.78,True
PIMSIN,Zn,0.56,5.9,5.34,False
PIMWEN,Cu,5.1,5.99,0.89,True
PINBOD,Cu,4.37,6.1,1.73,False
PINPUX,Cu,0.67,0.73,0.06,True
PIPGUS,Fe,4.45,6.26,1.81,False
PIPKEE,Co,9.99,8.81,1.18,False
PIPNUZ,Fe,4.42,6.28,1.86,False
PIPRUD,Os,0.38,1.46,1.08,False
PIPVAO,Cu,4.52,6.23,1.71,False
PIQFUU,Co,0.49,0.94,0.45,True
PIQXOE,Ir,5.2,5.45,0.25,True
PITROZ,Rh,0.08,0.99,0.91,True
PIVFIK,Cu,5.0,5.86,0.86,True
PIVMEN,Cu,4.28,5.88,1.6,False
PIVPER,Ir,5.79,6.56,0.77,True
PIVPOB,V,1.22,5.91,4.69,False
PIVRUI,Cu,4.92,6.05,1.13,False
PIVSUM,Ir,6.02,7.32,1.3,False
PIVTAS,Cu,4.55,6.08,1.53,False
PIVTIB,Ir,0.7,1.56,0.86,True
PIVTUM,Cu,4.7,6.39,1.69,False
PIVYEC,Fe,4.92,6.29,1.37,False
PIVYOM,Fe,0.63,0.92,0.29,True
PIWCEF,Fe,4.59,7.67,3.08,False
PIWGOT,Hg,4.38,5.87,1.49,False
PIWKAK,Cu,6.4,9.03,2.63,False
PIWLIQ,Cu,2.82,3.93,1.11,False
PIXGIO,Cu,0.41,0.68,0.27,True
PIXRIA,Ir,6.02,6.15,0.13,True
PIXSUO,Cr,4.75,5.02,0.27,True
PIXWAV,Hg,1.73,2.2,0.47,True
PIXWOL,Zn,3.47,4.57,1.1,False
PIXZUR,Pt,5.63,7.49,1.86,False
PIXZUR10,Pt,5.63,7.49,1.86,False
PIYDAD,Zn,4.74,6.06,1.32,False
PIYFEK,La,0.57,6.41,5.84,False
PIYGEN,Pd,0.83,1.27,0.44,True
PIYGOX,Pd,4.82,6.81,1.99,False
PIYHUA,Mo,0.06,5.58,5.52,False
PIYJIS,Ru,0.36,1.07,0.71,True
PIYNAO,Ru,5.58,5.96,0.38,True
PIYQOH,Ni,5.61,10.57,4.96,False
PIYYON,Fe,0.18,3.86,3.68,False
PIZJER,Cr,1.09,1.4,0.31,True
PIZKAO,V,5.01,5.23,0.22,True
PIZKES,Cr,0.49,6.12,5.63,False
PIZKIW,Cr,0.53,6.16,5.63,False
PIZQAR,V,1.08,1.43,0.35,True
PIZQIZ,V,1.04,1.79,0.75,True
PIZTEB,Cu,0.12,5.59,5.47,False
PIZTEZ,Cu,8.74,10.68,1.94,False
PIZTIF,Cu,6.99,9.66,2.67,False
PIZTUR,Cu,0.18,4.34,4.16,False
PMCMNB,Mn,4.04,4.61,0.57,True
PMHQZC10,Cu,0.67,6.04,5.37,False
PMPDCU,Cu,10.15,10.02,0.13,True
PNTRCU11,Cu,4.99,6.39,1.4,False
PNTRCU12,Cu,0.76,1.5,0.74,True
PNTRCU15,Cu,0.77,1.5,0.73,True
POBBIU,Fe,0.14,0.69,0.55,True
POBDIU,Y,0.25,5.62,5.37,False
POBGOC,Re,0.16,0.96,0.8,True
POBMAU,Cu,9.56,13.2,3.64,False
POBPAX,Re,0.0,1.1,1.1,False
POBYEO,Fe,0.64,6.12,5.48,False
POCDIW,Co,0.8,1.37,0.57,True
POCGEV,Cu,0.33,0.44,0.11,True
POCVAG,Zn,5.5,5.88,0.38,True
POCXOW,Zn,10.81,14.79,3.98,False
PODSUY,Hf,0.34,1.22,0.88,True
PODTEJ,Ti,0.87,1.48,0.61,True
PODTIN,Zr,0.99,1.68,0.69,True
PODTOT,Hf,0.88,1.59,0.71,True
PODVAH,Ti,0.74,5.27,4.53,False
PODVUA,Zn,0.87,3.51,2.64,False
PODZEO,Ru,0.03,0.84,0.81,True
POFCUJ,Zn,0.37,6.55,6.18,False
POFGIC,Zr,0.36,5.89,5.53,False
POFHUP,Rh,0.28,1.64,1.36,False
POFJAV,Fe,7.92,7.45,0.47,True
POFLED,Zn,3.54,6.58,3.04,False
POFTAF,Ti,6.21,8.77,2.56,False
POFZOA,Zr,3.61,6.66,3.05,False
POFZUG,Hf,6.56,12.62,6.06,False
POGNEF,V,9.82,8.51,1.31,False
POGNII,Ru,3.85,4.67,0.82,True
POGNIJ,V,5.01,5.72,0.71,True
POGNOP,V,4.92,5.93,1.01,False
POGYOA,Cu,0.2,5.63,5.43,False
POGZUG,V,4.56,5.81,1.25,False
POHXUI,Cu,1.48,5.21,3.73,False
POHZAO,Ru,9.12,16.33,7.21,False
POJDEY,Ni,4.95,5.21,0.26,True
POJFOK,Ru,5.75,6.16,0.41,True
POJHON,Ni,0.79,0.92,0.13,True
POJKUW,Cu,5.7,6.19,0.49,True
POKPEN,V,4.56,6.04,1.48,False
POKZOE,Cu,0.47,0.66,0.19,True
POKZOI,Ti,1.01,5.11,4.1,False
POLBEB,Ti,0.89,5.12,4.23,False
POLFEB,Ir,11.81,17.81,6.0,False
POLVEU,Ru,0.42,1.66,1.24,False
POLXEW,Mn,0.6,0.71,0.11,True
POMGEH,Ru,2.75,9.42,6.67,False
POMGIL,Ru,2.76,7.73,4.97,False
POMGOR,Ru,5.53,11.33,5.8,False
POMJEJ,Zn,0.96,1.26,0.3,True
POMJOR,Cu,7.07,9.81,2.74,False
POMJUZ,Fe,1.45,5.34,3.89,False
POMKAG,Fe,5.11,7.05,1.94,False
POMKEI,Ni,4.95,6.71,1.76,False
POMKIN,Cu,4.83,5.62,0.79,True
POMKIN01,Cu,0.39,5.6,5.21,False
POMMUB,Cu,0.34,4.07,3.73,False
POMMUB01,Cu,0.34,1.98,1.64,False
POMNAI,Zn,0.37,6.98,6.61,False
POMNAI01,Zn,0.37,6.98,6.61,False
POMPEN,Cu,11.37,7.12,4.25,False
POMPEN01,Cu,6.34,14.44,8.1,False
POMWET,Fe,6.79,8.86,2.07,False
PONBOO,Mn,0.21,3.8,3.59,False
PONZUQ,Ni,0.32,0.69,0.37,True
POPFEC01,Fe,0.46,6.07,5.61,False
POPFEC10,Fe,0.42,5.42,5.0,False
POPTUL,Os,4.7,5.92,1.22,False
POPVAT,Os,4.81,5.99,1.18,False
POPZAY,Cu,0.73,1.14,0.41,True
POPZIG,Cu,0.57,0.58,0.01,True
POQSET,Re,0.34,0.86,0.52,True
POQSIX,Zn,0.57,1.04,0.47,True
POQSOD,Zn,0.16,5.72,5.56,False
POQTOE,Ta,0.71,1.41,0.7,True
PORHOU,V,0.75,1.67,0.92,True
PORHUA,Mn,4.42,5.91,1.49,False
PORNUI,Zn,8.51,8.54,0.03,True
PORPAQ,Cu,7.54,10.03,2.49,False
PORPEU,Cu,5.93,7.66,1.73,False
PORPIY,Cu,13.47,14.32,0.85,True
POSGIQ,Cu,0.61,6.03,5.42,False
POSMAN,V,4.19,5.49,1.3,False
POSMAN01,V,4.49,5.92,1.43,False
POSSEZ,Y,0.13,5.51,5.38,False
POTSAU,Cu,0.36,0.56,0.2,True
POTVOL,Zn,8.44,7.15,1.29,False
POTWAY,Zn,8.08,15.53,7.45,False
POVJUH,W,0.12,1.16,1.04,False
POVPEW,Ti,0.32,6.26,5.94,False
POVWIK,W,5.02,5.83,0.81,True
POVZAF,W,4.05,4.1,0.05,True
POVZEJ,W,0.17,0.88,0.71,True
POWDOV,Zn,0.08,5.46,5.38,False
POWGUF,W,5.5,5.77,0.27,True
POWHAM,W,5.48,5.77,0.29,True
POWZAG,Mn,0.72,4.67,3.95,False
POWZEK,Mn,0.53,6.16,5.63,False
POXFEP,Hg,0.39,0.69,0.3,True
POXFUG,Fe,4.9,5.71,0.81,True
POXLET,Cu,0.57,7.42,6.85,False
POXLET01,Cu,0.57,5.39,4.82,False
POXLET02,Cu,0.56,5.7,5.14,False
POXLIX,Cu,0.54,3.84,3.3,False
POXLIX01,Cu,0.55,4.23,3.68,False
POXLOD,Cu,3.35,5.5,2.15,False
POXLUJ,Cu,0.63,6.28,5.65,False
POXMAQ,Cu,4.61,6.69,2.08,False
POXQAV,Ir,5.09,5.87,0.78,True
POXQEB,Ru,0.37,1.15,0.78,True
POYJUJ,Ru,4.8,5.19,0.39,True
POYKAQ,Ru,5.44,5.58,0.14,True
POYNOJ,Zn,0.71,6.39,5.68,False
POYPAX,Zn,0.68,1.98,1.3,False
POYPEB,Zn,0.64,1.57,0.93,True
POYPIC,Mn,0.6,1.01,0.41,True
POYTUV,Ir,6.84,7.08,0.24,True
POYVEH,Ir,0.44,2.01,1.57,False
POZFAL,Rh,0.19,1.31,1.12,False
POZHIW,Ru,4.94,5.87,0.93,True
POZPEA,Ru,0.34,1.95,1.61,False
POZPIE,Ru,6.26,6.33,0.07,True
POZPIE01,Ru,0.31,1.96,1.65,False
POZPIE02,Ru,0.31,1.96,1.65,False
POZPOK,Ru,6.31,6.38,0.07,True
POZPOK01,Ru,0.33,1.91,1.58,False
POZPOK02,Ru,0.32,1.91,1.59,False
POZSIK,Cr,5.65,6.09,0.44,True
PPAZRV,V,4.52,5.85,1.33,False
PPECOT21,Co,5.92,6.88,0.96,True
PPTCFE,Fe,0.32,5.55,5.23,False
PPTOCU,Cu,4.82,5.78,0.96,True
PRCBFE,Fe,0.31,1.18,0.87,True
PRPHZN,Zn,4.69,5.81,1.12,False
PTBCUM02,Cu,5.17,6.15,0.98,True
PTPIRH,Ir,1.75,6.14,4.39,False
PUBJUS,Ta,2.23,5.48,3.25,False
PUBQEL,Ru,6.39,6.41,0.02,True
PUBVER,Cu,0.45,5.96,5.51,False
PUBWOC,Ti,1.07,6.02,4.95,False
PUCCIZ01,Cu,4.15,4.59,0.44,True
PUCDAS,Cu,4.78,6.07,1.29,False
PUCHIH,Re,4.7,6.1,1.4,False
PUCKAB,Ni,3.16,4.17,1.01,False
PUCRAK,Cu,5.08,5.53,0.45,True
PUCYAP,Ru,5.29,6.83,1.54,False
PUCYIV,Cu,0.29,1.41,1.12,False
PUCYOB,Cu,0.55,4.75,4.2,False
PUCYOD,Ru,0.94,1.06,0.12,True
PUCZAQ,Ru,0.91,1.06,0.15,True
PUDBAT,Zn,0.15,0.87,0.72,True
PUDBIB,Zn,0.15,0.87,0.72,True
PUDCEY,Zn,0.15,5.99,5.84,False
PUDNAE,Ti,0.11,1.48,1.37,False
PUDPOU,Ru,4.95,5.24,0.29,True
PUDRIT,La,2.59,3.12,0.53,True
PUFMEM,W,0.86,1.58,0.72,True
PUFNAJ,W,6.11,6.58,0.47,True
PUFQEO,Ru,6.32,6.37,0.05,True
PUFXOE,Cu,4.23,6.6,2.37,False
PUFYAR,Zn,0.1,0.57,0.47,True
PUGMOV,Cu,4.4,6.0,1.6,False
PUGTOC,Zn,0.12,1.26,1.14,False
PUGWIX,Fe,1.52,5.27,3.75,False
PUGXOE,Zn,5.07,6.17,1.1,False
PUHTIZ,Ru,5.13,6.06,0.93,True
PUHTOF,Ru,5.56,5.96,0.4,True
PUJLIT,Fe,0.82,1.77,0.95,True
PUJMEP,Fe,0.84,1.65,0.81,True
PUJVEY,Zn,4.66,5.73,1.07,False
PUKHAH,Cu,9.96,11.68,1.72,False
PUKLIQ,V,0.48,1.25,0.77,True
PUKVOK,Cu,0.76,4.61,3.85,False
PUKYID,Ru,0.62,1.38,0.76,True
PULCUY,Ru,5.66,6.05,0.39,True
PULPAN,Zn,0.82,5.51,4.69,False
PULWOJ,Zn,0.4,6.99,6.59,False
PUNCIK,W,0.12,1.16,1.04,False
PUNFIN,Hf,7.5,9.74,2.24,False
PUNFOT,Zr,8.69,8.76,0.07,True
PUNFOW,Cu,5.2,6.58,1.38,False
PUNGEK,Zr,4.27,5.84,1.57,False
PUNGUD,Cu,1.08,2.63,1.55,False
PUNKIT,Re,0.33,1.6,1.27,False
PUNLAM,Ru,0.09,1.35,1.26,False
PUNLEP,Rh,0.24,0.56,0.32,True
PUNMIW,V,5.19,5.66,0.47,True
PUPFOY,Sc,6.02,6.57,0.55,True
PUPKUI,Sc,0.66,5.17,4.51,False
PUPLAP,Y,0.9,5.18,4.28,False
PUPMIZ,Sc,11.91,14.61,2.7,False
PUPVAY,Cu,0.12,5.64,5.52,False
PUPWAZ,V,0.08,1.02,0.94,True
PUQGIU,Os,11.05,8.0,3.05,False
PUQGUG,Os,5.04,6.35,1.31,False
PUQJAQ,Ir,5.86,7.88,2.02,False
PUQKOC,Fe,0.34,1.52,1.18,False
PUQQEZ,Cr,5.41,8.45,3.04,False
PUQRAW,Rh,0.52,6.37,5.85,False
PUQRAX,Cu,0.7,1.57,0.87,True
PUQREB,Cu,3.64,4.67,1.03,False
PUQRIF,Cu,0.7,6.44,5.74,False
PUQXAE,Hg,3.69,7.73,4.04,False
PURJOC,Ru,5.8,6.18,0.38,True
PUSKET,Cu,0.64,1.1,0.46,True
PUSKIA,Cu,0.32,0.82,0.5,True
PUSMIC,Cu,2.29,4.81,2.52,False
PUSMOI,Cu,0.94,1.52,0.58,True
PUSWAC,Zn,4.47,5.76,1.29,False
PUTCAL,Cu,4.9,6.36,1.46,False
PUTKIC,Cr,5.53,5.74,0.21,True
PUTVEH,Fe,0.52,0.58,0.06,True
PUVBOZ,Ru,5.25,6.08,0.83,True
PUVMUP,W,5.72,5.94,0.22,True
PUWQII,Cu,4.27,5.61,1.34,False
PUWZOZ,Nb,6.01,11.48,5.47,False
PUXBAO,Nb,0.37,4.9,4.53,False
PUXBES,Nb,0.16,0.69,0.53,True
PUXCUJ,Nb,4.92,5.72,0.8,True
PUXDEU,Nb,0.12,1.13,1.01,False
PUXHUN,Cu,0.58,1.62,1.04,False
PUXNEB01,Zn,0.23,1.1,0.87,True
PUXNEB02,Zn,0.17,1.13,0.96,True
PUXTEK,Cu,0.48,5.21,4.73,False
PUXWAG,Cu,0.28,5.79,5.51,False
PUXWEK,Cu,6.42,12.3,5.88,False
PUXZOX,Mo,4.77,6.0,1.23,False
PUYBIX,Cu,2.77,6.0,3.23,False
PUYBOA,Mo,0.67,5.49,4.82,False
PUYBOD,Cu,0.63,6.5,5.87,False
PUYBUH,Cu,0.68,3.82,3.14,False
PUYCAO,Cu,5.05,6.83,1.78,False
PUYCES,Cu,0.79,6.34,5.55,False
PUYCIW,Cu,5.34,6.58,1.24,False
PUYWAI,Ti,0.24,5.37,5.13,False
PUYWOX,Cu,4.69,6.4,1.71,False
PUYZUH,Cr,0.65,0.93,0.28,True
PUZJEC,Cr,1.01,2.48,1.47,False
PUZJOM,Cr,1.09,1.35,0.26,True
PUZKAZ,Cr,10.52,8.36,2.16,False
PUZPIM,Cr,6.91,8.35,1.44,False
PYDTCI,Fe,0.14,5.15,5.01,False
PYESAF10,Fe,0.45,0.59,0.14,True
PYZNPO10,Zn,0.25,0.62,0.37,True
PYZTCI,Fe,0.14,5.32,5.18,False
QABFEI,Ru,0.21,1.7,1.49,False
QABFIM,Ru,6.14,6.3,0.16,True
QABFUY,Ru,6.04,6.25,0.21,True
QABGAF,Ru,5.7,5.95,0.25,True
QABKEL,Ru,1.15,1.15,0.0,True
QABKIP,Ru,1.07,6.09,5.02,False
QABKUB,Ru,1.64,6.31,4.67,False
QABSUK,Hg,0.86,3.35,2.49,False
QABVAT,Ru,5.12,5.53,0.41,True
QACWUQ,Ir,5.63,6.49,0.86,True
