L3_hash,n_records,n_refcodes,unique_L0,unique_L1,unique_L2,CN,metal,ligand_signature,geometry_span,max_pairwise_CShM_distance,crosses_shape_boundary,representative_refcodes
597570473854,2,2,2,2,1,4,Cu,O=[N+]([O-])O;[H]C1=NC2C([H])C([N+](=O)[O-])C([H])C([H])C2N1[H];[H]C1=NC2C([H])C,3.7,3.7,True,FAYLOH;FAYLOH01
35808181045,2,2,2,2,1,6,W,C#O;C#O;C#O;C#O;[H]C1NC(C2NC([H])C([H])C([H])C2[H])C([H])C([H])C1[H],3.7,4.5453,False,FOHXUW;FOHXUW01
719454248779,3,3,3,2,1,6,Fe,[H]c1nc([H])n(C([H])([H])[H])c1[H];[H]c1nc([H])n(C([H])([H])[H])c1[H];[H]c1nc([H,3.7,4.7321,False,GUWYUS;MENTEF;WONGEL
87986364149,2,2,2,2,1,6,Cu,[H]C1NC2C(=O)N([H])C(=O)N(C([H])([H])[H])C2NC1[H];[H]C1NC2C(=O)N([H])C(=O)N(C([H,3.69,3.8392,False,AGOVIB;QAFLIT
823787812398,2,2,2,2,1,6,Co,Cl;Cl;[H]C1NC([H])C([H])C(C2C([H])C([H])C([H])C([H])C2[H])C1[H];[H]C1NC([H])C([H,3.69,4.543,False,ECIDUR;ECIFED
97106862382,2,2,2,2,1,6,Ni,[H]C1C([H])C([H])C(N([H])[H])C(N([H])[H])C1[H];[H]C1C([H])C([H])C(N([H])[H])C(N(,3.69,4.4293,False,IXIVOC;LIWBEC
789367396899,2,2,2,2,2,5,Ru,Cl;Cl;[H]C1C([H])C([H])C(P(C2C([H])C([H])C([H])C([H])C2[H])C2C([H])C([H])C([H])C,3.69,6.2868,True,MOZNIA;RUCLTP01
251179074084,3,3,3,2,1,6,Cd,N=C=S;N=C=S;[H]C1NC([H])C([H])C(OC([H])([H])[H])C1[H];[H]C1NC([H])C([H])C(OC([H],3.68,5.3042,False,COBTUL;COBTUL01;COBVAT
836888064141,2,2,2,2,1,6,Ru,[H]C1NC2C(C([H])C1[H])C([H])C([H])C([H])C2C1NC(C2C([H])C([H])C([H])C3C([H])C([H],3.68,3.8615,True,DUDLUK;MUXTEF
94308062721,2,2,2,2,1,6,Co,[H]C1([H])OC([H])([H])C([H])([H])N(C#N)C1([H])[H];[H]C1([H])OC([H])([H])C([H])([,3.68,3.9164,True,EYOWIA;EYOWOG
645340300705,5,5,5,3,1,6,Co,[H]C1NC(C2NC(C3NC([H])C([H])C([H])C3[H])C([H])C(Cl)C2[H])C([H])C([H])C1[H];[H]C1,3.68,4.3494,True,IHIMOE;NULFAF;XAHDAN;XAHDAN01;XAHDAN02
954550480200,2,2,2,2,1,6,Ni,[H]C([H])([H])N(C#N)C([H])([H])[H];[H]C([H])([H])N(C#N)C([H])([H])[H];[H]O[H];[H,3.68,3.6823,False,JOQHUU;JOQJAC
904005256967,2,2,2,2,1,6,Mn,[H]C1=C([H])c2nc1c(C1C([H])C([H])C([H])C([H])C1[H])c1[nH]c(c([H])c1[H])c(C1C([H],3.68,4.7102,False,XAGYAK;ZUTNEH
759383205424,4,4,4,2,1,6,Fe,[H]C([H])([H])C#N;[H]C([H])([H])C#N;[H]C([H])([H])C#N;[H]C([H])([H])C#N;[H]C([H],3.67,3.9917,False,ACEYOW;ACEYOW01;NUQQAU;RAPXOY
732719416489,2,2,2,2,1,6,Pt,Cl;Cl;Cl;Cl;[H]c1c(C([H])([H])[H])nn([H])c1C([H])([H])[H];[H]c1c(C([H])([H])[H]),3.67,4.6528,False,NERHIC;NERPUW
51559204547,3,3,3,3,1,6,Co,[H]OC([H])(C1C([H])C([H])C([H])C([H])C1[H])C([H])(N(C([H])([H])[H])C([H])([H])C(,3.66,4.1735,False,JIQBER;JIQBOB;PILYOZ
592721664729,8,8,4,3,2,5,Pd,Cl;Cl;[H]C1([H])SC([H])([H])C([H])([H])SC([H])([H])C([H])([H])SC1([H])[H],3.65,4.4241,True,GATLES06;GATLES07;GATLES08;GATLES09;GATLES10;GATLES16
783891048122,2,2,2,2,1,5,V,O;O;[H]C1NC(C(=NN=C2NC3C([H])C([H])C([H])C([H])C3S2)C2C([H])C([H])C([H])C([H])C2,3.65,3.654,True,IXUFUE;IXUGAL
175747572640,3,3,3,2,1,6,Co,Cl;Cl;[H]C1NC([H])C(C([H])([H])[H])C([H])C1C([H])([H])[H];[H]C1NC([H])C(C([H])([,3.65,4.5881,False,YIZSIJ;YIZSIJ01;YIZSIJ02
804921375618,2,2,2,2,1,6,Co,[H]N([H])c1nnnn1N([H])[H];[H]N([H])c1nnnn1N([H])[H];[H]N([H])c1nnnn1N([H])[H];[H,3.64,3.6859,False,APUVAK;HABYIU
296172077578,11,11,11,2,1,6,Fe,[H]c1nn(C([H])(n2nc([H])c([H])c2[H])n2nc([H])c([H])c2[H])c([H])c1[H];[H]c1nn(C([,3.64,3.6826,False,EXARAY;EXARAY01;EXARAY02;EXARAY03;GEJWUP;JOBHOZ
449076234707,3,3,3,2,1,6,Rh,Cl;Cl;[H]C1NC([H])C([H])C([H])C1[H];[H]C1NC([H])C([H])C([H])C1[H];[H]C1NC([H])C(,3.64,4.5741,False,GAKJIO;GAKJOU;WISTUQ
195620666012,2,2,2,2,1,6,Ir,[H]C1CC(C2NC([H])C(C(F)(F)F)C([H])C2[H])C(F)C([H])C1F;[H]C1CC(C2NC([H])C(C(F)(F),3.64,3.6431,True,GIQKEA;QELKAX
121896738613,2,2,2,2,1,6,Cr,[H]C1C([H])C([H])C(C(=O)O)C(O)C1[H];[H]N([H])C([H])([H])C([H])([H])N([H])[H];[H],3.63,4.164,False,JEQNOJ;REQPIO
127098667446,3,3,3,2,1,6,Ru,[H]C(C(O)C([H])([H])[H])C(O)C([H])([H])[H];[H]C(C(O)C([H])([H])[H])C(O)C([H])([H,3.63,3.6317,False,MARYAG;MARYEK;MAVNON
971764482151,2,2,2,2,1,6,Ru,C#O;C#O;Cl;Cl;[H]C1([H])N2C([H])([H])N3C([H])([H])N1C([H])([H])P(C2([H])[H])C3([,3.63,3.6301,False,MEZBIF;MEZBOL
706443558567,2,2,2,2,1,6,Co,[H]C(C(=O)C([H])([H])[H])=C(O)C([H])([H])[H];[H]C(C(=O)C([H])([H])[H])=C(O)C([H],3.63,3.9957,False,SUKWOK;SUKWUQ
665971605373,2,2,2,2,1,6,Ru,Cl;Cl;[H]C([H])([H])C1(C([H])([H])[H])N=C(C2=NC(C([H])([H])[H])(C([H])([H])[H])C,3.62,3.7556,False,CAGKUR;CAGLEC
258948473241,3,3,3,3,1,6,Co,N=C=S;N=C=S;[H]C1C([H])C(C([H])([H])[H])C(N([H])C(=O)C([H])([H])N(C([H])([H])C([,3.62,4.5521,False,KUFKEF;XUTYUI;XUTYUI01
606040898846,2,2,2,2,2,5,Co,[H]C1C([H])C([H])C(C2NN(B([H])(N3NC(C4C([H])C([H])C([H])C([H])C4[H])C([H])C3C([H,3.62,5.9246,True,LUCLIE;OZOXOT
234063757187,3,3,3,2,1,6,Fe,[H]C1NC(C2NC(C3NC([H])C([H])C([H])C3[H])C([H])C(Cl)C2[H])C([H])C([H])C1[H];[H]C1,3.61,3.6109,True,KOGLUO;KOGLUO01;RISJIN
39114674976,4,4,4,3,2,6,Mn,[H]C(=NC([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])N([H])C([H]),3.61,5.0804,True,MEDCEH;MEDCEH01;XONDIQ;XONDIQ01
339911853530,4,4,4,4,2,6,Mo,[H]C1C([H])C([H])C(S)C(S)C1[H];[H]C1C([H])C([H])C(S)C(S)C1[H];[H]C1C([H])C([H])C,3.6,4.6606,True,ACODAX;BZDTMO10;MARSAA;MARSEE
137117625126,18,18,18,8,2,6,Zn,[H]C1C(C(=O)O)NC(C(=O)O)C([H])C1[H];[H]C1C(C(=O)O)NC(C(=O)O)C([H])C1[H],3.6,8.6428,True,AGETUC;AGEVAK;AHAFIA;AHAFUM;BIQBIM;ERIDUF
61451840855,2,2,2,2,1,6,Mn,[H]O[H];[H]O[H];[H]c1c(C(=O)O)[nH]c(=O)n([H])c1=O;[H]c1c(C(=O)O)[nH]c(=O)n([H])c,3.6,4.604,False,EJUJIE01;SIJNIJ
123819079494,3,3,3,2,1,6,Re,O;O;[H]C1NC([H])C([H])C([H])C1[H];[H]C1NC([H])C([H])C([H])C1[H];[H]C1NC([H])C([H,3.6,4.81,False,FOGHUG;HUCDAL;OXPYRE11
829275259510,2,2,2,2,1,6,Zn,[H]C(=NN=C(S)SC([H])([H])[H])C1NC([H])C([H])C([H])C1[H];[H]C(=NN=C(S)SC([H])([H],3.6,3.6773,False,HIVFAU;HIVFAU01
393618613538,2,2,2,2,1,6,Mn,C#O;C#O;C#O;[H]C1C([H])C(C([H])([H])[H])C([H])C(P(C([H])(C([H])([H])[H])C([H])([,3.6,5.0489,False,HUNHII;HUNJEG
166380178769,2,2,2,2,2,4,Pd,[H]C1C(O)C(O)C(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])C1C(C([H])(,3.6,17.9938,False,OZUGEX;OZUGEX01
432202317556,7,7,7,2,1,6,Ru,Cl;Cl;[H]C1NC([H])C([H])C([H])C1[H];[H]C1NC([H])C([H])C([H])C1[H];[H]C1NC([H])C(,3.6,4.5485,False,WIBNIE;WIBNIE01;WIBNIE02;WIBNIE03;WIBNIE04;WIBNIE05
118657259022,2,2,2,1,1,4,Cu,Cl;[H]C(=NC1C([H])C([H])C([H])C([H])C1O)C1NC([H])C([H])C([H])C1[H],3.59,4.3919,False,HERQIF;HERQIF01
885292178313,2,2,2,2,1,6,Ti,Cl;Cl;[H]C(C(=NC1C([H])C([H])C([H])C([H])C1[H])C(C([H])([H])[H])(C([H])([H])[H]),3.59,4.4562,False,QUNJIT;QUNJOZ
