refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_SP,S_Td,log_S_SP,log_S_Td,L0_hash,L1_hash,L3_hash
ZIFGOO,Ni,+2,d8,N,4,8.3200,2.8100,0.9201,0.4487,841376281641,16170128166,22879465748
ZIFKAA,Co,+2,d7,,,2.4800,0.0500,0.3945,-1.3010,440197167491,254658426736,246531465371
ZIFQEO,Co,+3,d6,"N,O",4,19.1800,19.2100,1.2828,1.2835,786048991224,986862261564,280901063008
ZIFQOY,Ni,+2,d8,"N,O",4,19.1400,22.7600,1.2819,1.3572,107702778940,847479134299,94439143467
ZIFTAL,Cu,+2,d9,,,4.7400,0.9100,0.6758,-0.0410,727383382484,778289735783,406402702424
ZIFTAL01,Cu,+2,d9,,,4.8900,0.9800,0.6893,-0.0088,46876767380,778289735783,406402702424
ZIGGED,Ru,+2,d6,"C,P",2,2.8900,2.3100,0.4609,0.3636,259028108155,613746821030,204487862381
ZIGGEF,Pt,+2,d8,"C,Cl",1-1,9.1900,3.6600,0.9633,0.5635,162263707373,453241522499,256134240640
ZIGGIJ,Pd,+2,d8,"C,Cl,N",2-1-1,8.1800,3.2400,0.9128,0.5105,792077498643,521955982427,121889338661
ZIGGUV,Pt,+2,d8,"I,N",1-1-1-1,3.7300,1.0800,0.5717,0.0334,179376630408,718790981817,696560418089
ZIGHAC,Pt,+2,d8,"I,N",1-1-1-1,3.6700,1.0000,0.5647,0.0000,731696017151,718790981817,696560418089
ZIGHIK,Cu,+2,d9,,,1.5700,1.4700,0.1959,0.1673,996566887118,523205607145,683442939267
ZIGHUV,Ag,,,,,3.9500,0.3700,0.5966,-0.4318,561149952812,393608248895,327177057253
ZIGJUX,Ni,+2,d8,S,2-2,2.9100,0.0300,0.4639,-1.5229,857383954765,566893987029,506937573460
ZIGKAE,Ni,+2,d8,S,2-2,2.9000,0.0200,0.4624,-1.6990,447733704614,566893987029,506937573460
ZIGNUC,Pt,+2,d8,"C,N",2-2,13.8600,9.3500,1.1418,0.9708,993648381354,301999400945,94145437958
ZIGPEN,Pd,+2,d8,"C,Cl,N",2-1-1,8.1800,3.1200,0.9128,0.4942,320296812423,593056108655,670711725990
ZIGSAJ,Pd,+2,d8,"N,S",2-2,3.1900,0.3300,0.5038,-0.4815,658863693127,312229322789,793277880573
ZIHBEX,Pd,+2,d8,"C,N,O,P",3-1,3.1500,0.2700,0.4983,-0.5686,7040330290,331199388689,860975322656
ZIHBIE,Pd,+2,d8,"Cl,N,O,S",3-1,9.0400,2.9700,0.9562,0.4728,587669891678,748273661510,91083263542
ZIHBOK,Pd,+2,d8,"Cl,N,O,S",3-1,8.7700,2.9300,0.9430,0.4669,250377665073,21285074470,678128148391
ZIHDEB,Ir,,,"C,N,P",2-1-1,2.9900,0.1300,0.4757,-0.8861,956308072616,123177266683,249832433606
ZIHGEE,Pd,+2,d8,"Cl,P",1-1-1-1,2.9000,0.0200,0.4624,-1.6990,23615002468,748920644849,505438260405
ZIHHED,Pd,+2,d8,"C,Cl,N",2-1-1,3.1800,0.3400,0.5024,-0.4685,982863577632,530274398253,634652856060
ZIHHED01,Pd,+2,d8,"C,Cl,N",2-1-1,3.1800,0.3400,0.5024,-0.4685,982863577632,530274398253,634652856060
ZIHKUA,Ni,+2,d8,,,4.4200,1.6700,0.6454,0.2227,646906371627,144328033169,738987494390
ZIHNAI,Zn,+2,d10,,,3.7200,0.9300,0.5705,-0.0315,82679501218,135632986901,275500773884
ZIHNEM,Zn,+2,d10,,,3.7900,0.6700,0.5786,-0.1739,738248854370,657750782526,100363645640
ZIHNIP,Au,,,"C,Cl,N",1-1-1-1,8.4600,3.0000,0.9274,0.4771,210088839110,782496066790,436134924868
ZIHNOV,Au,,,"C,Cl,N",1-1-1-1,8.8100,3.0100,0.9450,0.4786,301835818326,373907138895,96189848096
ZIHNUB,Au,,,"C,Cl,N",1-1-1-1,8.7800,3.0000,0.9435,0.4771,791422226675,855062718763,507197929551
ZIHQOY,Pt,+2,d8,"C,Cl,N,P",2-1-1,8.7200,3.1600,0.9405,0.4997,939838469767,782728220854,318914900945
ZIHRAL,Pt,+2,d8,"Br,C,N,P",2-1-1,8.3300,3.2800,0.9206,0.5159,808308036812,113381899150,65791549717
ZIHREP,Pt,+2,d8,"Br,C,N,P",2-1-1,8.9600,3.2600,0.9523,0.5132,939766675592,621650226983,921228262672
ZIHVUH,Pd,+2,d8,"C,N,O",2-1-1,2.9000,0.0200,0.4624,-1.6990,660812660714,865806946605,864504312645
ZIHWAO,Pd,+2,d8,"C,N,O",2-1-1,2.9200,0.0600,0.4654,-1.2218,630269150201,337367197766,694492396622
ZIHWES,Pd,+2,d8,"C,N,O",2-1-1,2.9100,0.0300,0.4639,-1.5229,250785221705,660000190399,435966517200
ZIHWIW,Pd,+2,d8,"C,N,O",2-1-1,2.9300,0.0500,0.4669,-1.3010,630197640239,337367197766,694492396622
ZIHWOC,Pd,+2,d8,"C,N,O",2-1-1,2.9100,0.0400,0.4639,-1.3979,788279231634,660000190399,435966517200
ZIJBOJ,Ag,,,,,5.0600,2.0000,0.7042,0.3010,362567570030,40534990606,302372512798
ZIJGAD,Pd,+2,d8,P,2-2,2.9300,0.0900,0.4669,-1.0458,241587442693,16672965879,663814895203
ZIJKAI,Pd,+2,d8,"C,N",1-1,9.0900,3.2400,0.9586,0.5105,228905905931,277519941285,634587820055
ZIJLOW,Pd,+2,d8,"O,P",1-1,14.1800,15.0400,1.1517,1.1772,429196825395,796963514587,431819759449
ZIJMIR,Pd,+2,d8,,,14.2000,19.2600,1.1523,1.2847,321940429938,596572241614,905624290463
ZIJMOX,Pd,+2,d8,"O,P",1-1,14.1200,19.8200,1.1498,1.2971,568067369694,173278214085,768622129402
ZIJYIA,Pd,+2,d8,"N,O",2-2,2.9000,0.0200,0.4624,-1.6990,472560027594,593492859192,957393061883
ZIJYOG,Ti,,,,,2.9800,0.1600,0.4742,-0.7959,372369205628,550736445395,764165604313
ZIJYOK,Pt,+2,d8,,,8.4400,5.6900,0.9263,0.7551,745555494693,57674921131,574620359808
ZIKGIN,Cu,+2,d9,,,2.4700,1.4600,0.3927,0.1644,397377845743,531608707519,784344145010
ZIKGOT,Cu,+2,d9,,,4.1800,0.9400,0.6212,-0.0269,274765023408,419777522322,946459150865
ZIKHIK,Cu,+2,d9,"Cl,N",1-1-1-1,2.9600,0.1000,0.4713,-1.0000,571195515549,626135301923,728278909976
ZIKHIO,Cu,+2,d9,,,7.9400,1.3800,0.8998,0.1399,607862322326,664196009430,784344145010
ZIKREU,Pt,+2,d8,"I,S",1-1-1-1,3.1000,0.2500,0.4914,-0.6021,505296746287,898038721500,313017456139
ZIKTAR,Cu,+2,d9,,,3.1500,1.1700,0.4983,0.0682,860573947815,755480984063,44060264356
ZIKTEV,Cu,+2,d9,,,3.1700,1.2600,0.5011,0.1004,533598197301,989666311123,36028416954
ZIKTIZ,Cu,+2,d9,,,6.3100,1.3800,0.8000,0.1399,385231592326,462162452222,824145133939
ZIKVIB,Cu,+2,d9,,,6.6600,1.2800,0.8235,0.1072,712535701107,221910720486,25259178944
ZIKYID,Rh,+1,d8,"C,N",2-1-1,8.1600,2.9400,0.9117,0.4683,376256415147,616764322753,466111588575
ZILNOZ,Pd,+2,d8,"N,O,P,S",3-1,7.8000,3.1300,0.8921,0.4955,594799705368,771451252829,219679237995
ZILSEU,Ni,+2,d8,N,2-2,0.5600,5.5900,-0.2518,0.7474,996455619599,881134764773,521331446023
ZIMCUX,Hg,,,,,2.7800,0.1200,0.4440,-0.9208,775771399126,132737990065,705786153621
ZIMDAE,Cd,,,,,2.5800,0.0300,0.4116,-1.5229,459801906209,480891102715,817397147755
ZIMDOO,Cu,+2,d9,,,2.3200,2.0100,0.3655,0.3032,626681370162,597989552922,401518721070
ZIMDOS,Hg,,,,,3.6200,0.2100,0.5587,-0.6778,416843605491,981727284247,205863923061
ZIMFAC,Co,+2,d7,C,2-2,10.7600,6.8200,1.0318,0.8338,928096681779,420087205981,471916780779
ZIMFUY,Pd,+2,d8,"C,N,O,P",2-2,8.3000,3.1300,0.9191,0.4955,635049245231,823249121544,736326375234
ZIMKOV,Ni,+2,d8,"C,N,P",1-1-1-1,10.0200,7.8700,1.0009,0.8960,210870445397,580930764492,231353434015
ZIMMEQ,Cu,+2,d9,,,3.7200,0.7600,0.5705,-0.1192,940472148349,517776374861,288159887622
ZIMNOB,Cu,+2,d9,,,2.9400,1.4000,0.4683,0.1461,899380662493,433268585074,654477228239
