refcode,metal,oxidation_state,d_count,metal_row,donor_set,S_Oh,S_TPr,JT_proxy,L0_hash,L1_hash,L3_hash
GUPZEY,Ru,+2,d6,5,"C,N",4.8600,7.8900,4.8600,211171015764,238423109049,795783327330
GUQDEC,Fe,+2,d6,4,"Cl,N",4.6700,4.9300,4.6700,492144881359,311666342787,737220156872
GUQDIH,Cu,+2,d9,4,O,0.5800,6.0000,0.5800,846312163910,63013558218,906100270734
GUQGEH,Re,,,6,"Br,C,N",5.3400,13.1600,5.3400,288050274143,697797813406,836009860654
GUQGIL,Re,,,6,"Br,C,N",4.7600,4.8000,4.7600,255986836067,60872663185,265974625717
GUQGOR,Re,,,6,"Br,C,N",4.6700,5.7600,4.6700,397798710885,243470002548,65249517565
GUQKOW,Zn,+2,d10,4,"Cl,N",1.0600,6.8800,1.0600,167212512241,339293894044,293566779234
GUQMOW,Ir,,,6,"C,N,P",4.4300,7.9000,4.4300,453938593571,407863591034,2138452673
GUQNEN,Mo,,,5,"N,O",6.2000,6.9900,6.2000,749105315127,963811812432,219270828269
GUQQOZ,Ru,+2,d6,5,N,6.1200,7.3300,6.1200,983117520874,548558306610,600922970301
GUQVOG,Sc,,,4,O,0.1500,6.3400,0.1500,747349140498,543549203653,742984888326
GUQWEX01,Sc,,,4,O,3.7900,8.6100,3.7900,973682380417,951191665965,479944697909
GUQXEV,Ni,+2,d8,4,"N,O",0.2000,5.9000,0.2000,132019133959,414278621748,814570953105
GUQXEW,Re,,,6,"C,N",4.4300,7.3100,4.4300,386038354422,331290611476,782404177075
GUQXIA,Re,,,6,"C,N",5.1300,10.5900,5.1300,131086662861,335308707288,937791990867
GURBII,Cu,+2,d9,4,N,6.1600,9.5900,6.1600,470319718218,125102381106,158991637514
GURDED,Co,+3,d6,4,"Cl,N,O",4.0900,6.1200,4.0900,408047716431,968979464609,800549530772
GURFOP,Mn,,,4,"N,O",0.0600,5.6400,0.0600,773831242981,778855552993,409519731699
GURRER,Re,,,6,"Br,N,P",5.9000,7.6000,5.9000,527755760897,337385239287,463185138459
GURROE,Co,+3,d6,4,"N,O",5.5600,7.3700,5.5600,420826610874,982903320256,309244974976
GURZUP,Zn,+2,d10,4,N,5.8500,6.0700,5.8500,109882061317,866859088628,528099122978
GUSBAY,Zn,+2,d10,4,N,3.6700,5.8100,3.6700,438825324785,275538897644,528099122978
GUSBEC,Cd,,,5,N,5.6500,13.3300,5.6500,849770937642,380544898989,910374247729
GUSBUV,Ru,+2,d6,5,"C,Cl,N,O,S",5.5500,5.9100,5.5500,455423473522,17152180953,126141774114
GUSCEG,Ru,+2,d6,5,"Cl,N,O,S",6.0200,7.1200,6.0200,727275589691,680798721570,571971115808
GUSDEE,Mn,,,4,"C,O",3.7600,5.6200,3.7600,530425670858,100835865123,603205683962
GUSKIR,Co,+3,d6,4,N,0.1800,5.8000,0.1800,16317067888,928619181904,392910923838
GUSQOA,Y,,,5,"N,O",5.4200,6.1000,5.4200,147282484592,504714389042,119596449925
GUSQUI,Re,,,6,"C,Cl,N",4.5100,7.2300,4.5100,388020734206,797784956250,976438964892
GUSTEV,Os,,,6,"N,P",4.7000,6.4000,4.7000,38954146663,335491989412,611001831018
GUSXOH,Re,,,6,"C,N",5.4100,6.3300,5.4100,121031936131,385351451632,667251761960
GUSZUQ,Re,,,6,"C,N",4.9500,6.3200,4.9500,70363117537,314343558948,947352779337
GUTBON,Ti,,,4,O,3.9300,5.5400,3.9300,263400716335,171287657466,307165696381
GUTBON01,Ti,,,4,O,5.9900,8.7600,5.9900,79857211133,391475169629,307165696381
GUTCAA,Ti,,,4,O,3.9200,8.2800,3.9200,447261083517,269258206200,372617513866
GUTCEE,Ti,,,4,,5.9300,12.9900,5.9300,47758964254,975325501295,349186670042
GUTCEE01,Ti,,,4,,3.8100,5.8000,3.8100,57089310079,234710403152,349186670042
GUTCEG,Re,,,6,"C,Cl,P",6.1500,7.0500,6.1500,511957822660,559484469679,418392310487
GUTDAD,Rh,+3,d6,5,"C,Cl,P",5.7400,5.8800,5.7400,590454167475,471115415558,763132083929
GUTJEL,Re,,,6,"N,O",4.4200,6.6800,4.4200,436748667275,239140822643,875035768370
GUTJUA,Cu,+2,d9,4,"N,O",0.3100,6.1000,0.3100,857221760187,178485207800,213518440987
GUTKUC,Hg,,,6,S,7.3200,7.5100,7.3200,772865372414,629361316523,654233284363
GUTMIS,Re,,,6,"Cl,N",4.3900,5.4400,4.3900,3488732032,718009725585,638551231322
GUTMOY,Re,,,6,"Br,C,N",6.1700,6.6400,6.1700,10281634441,269089128763,863298793924
GUTSUN,Ir,,,6,"C,N",4.5200,5.4600,4.5200,230879739057,16975058587,21102748456
GUTTOE,Ti,,,4,"Cl,N",0.6800,7.1600,0.6800,606658173145,125811053447,670696370064
GUTTUK,Zr,,,5,"Cl,N",4.3900,5.1800,4.3900,187650711078,743783867463,815924874591
GUTXEB,Fe,+2,d6,4,"N,P",4.2700,8.8400,4.2700,837109008142,966191795828,239172151513
GUTXIG,Ir,,,6,"C,N",5.7000,6.1800,5.7000,143601499152,924703484024,986899575121
GUTXOL,Fe,+2,d6,4,"Br,N,P",6.6900,6.8900,6.6900,616362337146,343472225281,48217813058
GUTYUS,Cu,+2,d9,4,"N,O",3.6400,5.9800,3.6400,174256363022,130579700041,803336831570
GUVBUV,Cu,+2,d9,4,N,6.2200,6.3100,6.2200,202028301318,783599898677,554996326055
GUVCEI,Cu,+2,d9,4,"N,O",0.2900,5.6800,0.2900,65284100252,510403069781,803336831570
GUVHUA,Re,,,6,N,4.0500,6.3400,4.0500,880792785490,357548618887,404839783614
GUVJAI,Re,,,6,N,7.4000,7.9700,7.4000,884951511447,979553120807,888813018568
GUVJUC,Ti,,,4,O,4.0900,8.5300,4.0900,335292827338,916347343831,264850347702
GUVKIT,Hg,,,6,,6.8900,9.1000,6.8900,873550763078,642162190973,584867559032
GUVLUG01,Ni,+2,d8,4,O,0.0600,6.1400,0.0600,265658815094,478425301135,662781989903
GUVMUH,Mn,,,4,"C,N",5.9100,12.8900,5.9100,391445200325,990457386360,257933549587
GUVNAO,Mn,,,4,"C,N",5.5400,5.8500,5.5400,875359879844,125329495775,983233869943
GUVNES01,Fe,+2,d6,4,N,0.0400,5.3500,0.0400,771356136793,465774514222,656528616271
GUVNES04,Fe,+2,d6,4,N,0.0600,6.2900,0.0600,434725112833,465774514222,656528616271
GUVPES,Re,,,6,,5.8600,13.0400,5.8600,591222227379,395079795531,866639227300
GUVPIW,Re,,,6,"N,O",4.0900,7.0900,4.0900,921193686060,613150845761,224056525785
GUVRAT,Ir,,,6,"C,N",6.1900,6.7100,6.1900,97144631261,200576960937,565487180678
GUVVIC,Re,,,6,Cl,0.0100,5.5800,0.0100,934699865778,504550360030,527420227678
GUVVIC01,Re,,,6,Cl,0.0000,5.6000,0.0000,152854151093,504550360030,527420227678
GUVVOI,Re,,,6,Cl,0.0000,5.6800,0.0000,160593718009,504550360030,527420227678
GUVZIH,Co,+3,d6,4,"O,Se",6.1000,6.5900,6.1000,391081288722,112267031320,825954527130
GUWBUW,Ni,+2,d8,4,N,4.2600,7.1500,4.2600,572398281474,516990441869,617184703234
GUWJUE,Cu,+2,d9,4,N,0.6100,6.2100,0.6100,537561819982,562464253455,104876200603
GUWKEP,Cu,+2,d9,4,"N,O",0.0300,5.6300,0.0300,367362279021,665135231415,249098534905
GUWLEP,Cu,+2,d9,4,"Cl,N,O",0.5200,5.5600,0.5200,64291761714,493489170607,319606484035
GUWLUH,Re,,,6,"C,N,S",4.6900,9.5400,4.6900,919854190831,749791242883,77248929936
GUWMUH,Mn,,,4,"N,O",4.1900,5.9000,4.1900,642468367310,601690484180,541808293517
GUWNAO,Co,+3,d6,4,"N,O",3.5100,7.5000,3.5100,966359758792,622902327785,640901243251
GUWWEB,Zn,+2,d10,4,"N,O,S",5.9300,7.9400,5.9300,262042094642,630751969729,843564385837
GUWYIH,Co,+3,d6,4,"N,O",4.6700,5.6900,4.6700,530835890025,307491969520,720339537886
GUWYUS,Fe,+2,d6,4,N,3.7400,8.6900,3.7400,68976479448,100672431171,719454248779
GUWZOO,Cd,,,5,,3.9400,4.3700,3.9400,455771127134,72659434113,247070906020
GUXDEJ,V,,,4,O,5.6200,7.5100,5.6200,403599765686,771009308125,163684153074
GUXDEJ01,V,,,4,O,5.8800,6.7200,5.8800,30521734304,263476417833,163684153074
GUXFOX,Re,,,6,"C,N",4.9600,6.2600,4.9600,86107906621,897927758326,596393600091
GUXJOY,Mn,,,4,N,5.9200,12.7500,5.9200,344766674038,444644645649,696219965311
GUXNOD,Mn,,,4,,5.2700,5.6100,5.2700,876344411314,205352641351,529988762153
GUXNUJ,V,,,4,"N,O",5.9300,5.9800,5.9300,438484964191,937313110594,698059101302
GUXVAA,Os,,,6,"C,Cl,P",0.4200,5.9300,0.4200,282990368693,201632689399,308089430177
GUXVIE,Ru,+2,d6,5,"N,S",4.3300,5.8600,4.3300,175710068815,392370724973,38745907758
GUXVII,Ru,+2,d6,5,"C,Cl,P",0.4400,6.5000,0.4400,126104802211,926585640524,230962130410
GUXWED,W,,,6,"C,Cl,P",5.4400,10.1000,5.4400,283082725653,904868231355,319350974312
GUXXED,V,,,4,"N,O",5.7200,5.7400,5.7200,539848576730,698861547733,904733613019
GUXZIL,Ir,,,6,"C,N",7.6800,8.1300,7.6800,317413930546,510458341161,850429207402
GUYDIN,Cu,+2,d9,4,N,5.7100,7.1400,5.7100,552482565162,450983196915,182066840696
GUYDOT,Zn,+2,d10,4,N,7.2100,7.5400,7.2100,350054249119,858310778828,746524460350
GUYDUC,Co,+3,d6,4,N,3.7700,7.0700,3.7700,398568152676,902171679168,865217458917
GUYFAK,Zn,+2,d10,4,N,3.7800,8.4800,3.7800,416810863271,970082023548,26056239279
GUYHUD,Cd,,,5,,8.1000,10.0800,8.1000,603246975252,87954705093,418317423085
GUYJIT,Ni,+2,d8,4,"N,O",0.0900,6.0900,0.0900,814769328241,516464652208,395694135586
GUYLAN,Mo,,,5,"C,N",4.5500,8.9700,4.5500,107225581041,355811660779,220304613993
GUYNAP,Ni,+2,d8,4,"N,O",0.0700,5.4100,0.0700,374650075513,875584557851,823580456173
GUYNET,Ni,+2,d8,4,"N,O",0.0700,5.3900,0.0700,607420048968,915596034458,578991891428
GUYNIZ,Ni,+2,d8,4,N,3.6500,4.0100,3.6500,109129576024,405314773232,211583572028
GUYNOF,Ni,+2,d8,4,N,4.2400,7.9600,4.2400,833360168057,657665162590,211583572028
GUYNUL,Ni,+2,d8,4,N,0.2100,6.0800,0.2100,288448612418,888177657016,211583572028
GUYPIB,Ni,+2,d8,4,N,3.9100,8.9800,3.9100,624812896618,306477250626,211583572028
GUYZOP,Re,,,6,"C,Cl,S",5.2100,8.6400,5.2100,92945689816,688894512310,879668314553
GUYZUV,Re,,,6,"Br,C,S",4.2100,8.2200,4.2100,504209373556,527525528786,504199011059
GUZDAK,Ni,+2,d8,4,"N,O",0.0500,5.3300,0.0500,484743259389,115638634510,70748476280
GUZDUC,Pt,+4,d6,6,"C,N",4.0400,5.5000,4.0400,820633515870,347529793526,607759329087
GUZLES,Fe,+2,d6,4,"Cl,N",5.0800,7.5100,5.0800,472326338830,513626362543,269875427618
GUZLIW,Mn,,,4,"Cl,N",5.1900,6.9900,5.1900,657867680987,728013742394,643314763916
GUZNAQ,Fe,+2,d6,4,"N,O",4.7900,5.9200,4.7900,245002645710,516741905368,849615223566
GUZPOI,Cu,+2,d9,4,"N,O",1.6200,6.4500,1.6200,187967012901,988741222830,855302395154
GUZRUO,Mo,,,5,"C,P",3.9000,3.9700,3.9000,719251087131,488108138603,677054968834
GUZVAB,Zr,,,5,,5.4500,6.1500,5.4500,431558021054,815392922074,943162955787
GUZXEG,Cd,,,5,"N,O",6.2400,8.4200,6.2400,857347194677,927685457544,359389666973
GUZYEH,Cu,+2,d9,4,"N,O",5.8100,6.7800,5.8100,3932018038,500004336579,64435639510
GUZYIJ,Co,+3,d6,4,"N,O",4.9300,6.9500,4.9300,863411371616,49591943625,600576161604
HABBUH01,Zn,+2,d10,4,,4.1300,7.6000,4.1300,95205144323,452353838642,748747665176
HABGOJ,Ir,,,6,"C,N",4.7900,7.8300,4.7900,546072828141,850691357387,160270043937
HABGUP,Ir,,,6,"C,N",5.0000,8.0900,5.0000,269372823682,977965832298,154420339944
HABHID,Ru,+2,d6,5,"Cl,P",0.1600,6.2500,0.1600,287355748244,36992892185,401900037290
HABKIF,Co,+3,d6,4,O,0.0200,5.9700,0.0200,432359048624,612202888920,530270156137
HABKOL,Ni,+2,d8,4,O,0.0300,5.7000,0.0300,192282096744,215590979620,433808586000
HABKUU,Co,+3,d6,4,"N,O",0.0200,5.6000,0.0200,540090994279,745357507908,474705094631
HABQEG,W,,,6,C,3.8300,9.0100,3.8300,175684020641,101340680514,969360495662
HABQIK,W,,,6,C,5.8200,6.0000,5.8200,440662399452,800874561037,543844081774
HABQOT,Ta,,,6,"Cl,O",6.1000,13.0800,6.1000,304428623672,582765008245,264464173048
HABREM,Ir,,,6,"C,N,S",3.7600,9.4900,3.7600,431595304522,88899855885,969076400350
HABVUF,Re,,,6,"C,N,O,S",4.3300,7.8100,4.3300,88322736123,962076527831,979736214349
HABWAM,Re,,,6,"C,N,S",6.6400,8.4900,6.6400,901630901187,94406817493,607467721152
HABWEO,Cr,,,4,"N,O",5.6700,12.6100,5.6700,870679498517,866913052596,455740011960
HABXUF,Mn,,,4,"Cl,N,O",6.3700,6.4200,6.3700,63991085215,585691402457,292958512001
HABXUH,Zn,+2,d10,4,O,6.2700,6.5800,6.2700,790733294124,575592628414,188117513862
HABYIU,Co,+3,d6,4,N,0.0300,5.8700,0.0300,844959587612,350472946132,804921375618
HACCAQ,Cu,+2,d9,4,"N,O",0.4100,5.9900,0.4100,232240830761,413755879630,112628348454
HACCIY,Cr,,,4,"Cl,N",4.6100,7.6700,4.6100,14255963962,192862221730,372416625890
HACFUP,Ir,,,6,"C,N",0.4100,6.0800,0.4100,82387421051,531474604550,878222576822
HACPOQ,Re,,,6,"C,N",4.1100,4.9200,4.1100,441631234866,244685277306,592779035326
HACQEI,Re,,,6,O,6.7200,7.9800,6.7200,811654071594,268187356845,302314247103
HACQIM,Re,,,6,"O,P",5.2300,6.2500,5.2300,237164923999,845740841982,125232505621
HACSIR,Ti,,,4,"C,Cl",0.0100,5.8300,0.0100,511630200400,383682057351,367766435158
HACXUH,Cu,+2,d9,4,"N,O",6.5100,6.8900,6.5100,30729427405,318195493837,953519291653
HACYEP,Ni,+2,d8,4,"N,O",4.9400,5.4000,4.9400,697825069395,773546508454,711519538926
HACYZN,Zn,+2,d10,4,O,0.0300,5.8000,0.0300,496816002402,567091964017,490265983703
HACZOA,Re,,,6,"Cl,I,O,P",0.8500,6.0700,0.8500,372256145578,38764129922,910101290747
HADCOI,Rh,+3,d6,5,"C,N,O",4.5500,6.1500,4.5500,614951282919,137701899205,381836426788
HADDAV,Rh,+3,d6,5,"N,O",3.6700,3.9200,3.6700,588105661373,231044386594,628191992545
HADDEZ,Rh,+3,d6,5,"N,O",5.1100,5.9900,5.1100,876524428168,68755800639,440083984082
HADFAU,Ni,+2,d8,4,"N,O",0.2700,6.8800,0.2700,397863140213,175000120496,131908805204
HADFOL,Ru,+2,d6,5,N,5.6200,7.9100,5.6200,194784259306,278439044015,984790525052
HADHOL,Ru,+2,d6,5,"C,Cl,N,P",5.2600,6.0200,5.2600,563335107996,276696056479,507835068233
HADJIJ,Ru,+2,d6,5,"Cl,N",0.3200,6.0000,0.3200,205349753208,123343873052,392566075295
HADKOQ,Rh,+3,d6,5,"C,N,O",5.7400,6.6500,5.7400,158374716602,578858307924,932032011206
HADKUW,Rh,+3,d6,5,"C,N,O",5.6600,5.9200,5.6600,342336628042,41696753242,910653057910
HADNOS,Ru,+2,d6,5,"N,O",5.5100,7.0000,5.5100,968746908682,127783940201,33380664995
HADPEK,Ru,+2,d6,5,"N,O",4.5100,9.2500,4.5100,423363913890,407464302671,843548174072
HADSEL,Ru,+2,d6,5,"Cl,N,P",5.4300,6.9700,5.4300,25329545386,615957942694,814610212363
HADTEM,Ru,+2,d6,5,"C,Cl,N,P",6.0500,7.1900,6.0500,31043211114,621520234590,549694198427
HADVEO,Mn,,,4,"Cl,N",6.9200,7.0200,6.9200,650983659198,173788285512,373682859271
HADVEO01,Mn,,,4,"Cl,N",6.3700,7.9300,6.3700,500122544905,167704008180,373682859271
HADVER,Ir,,,6,"C,N,O",3.6200,5.4100,3.6200,375898448675,599723348768,728078342441
HADZOC,Cd,,,5,,4.9000,7.0000,4.9000,236012648270,238526388514,724082439361
HAFCAT,Ta,,,6,"Cl,N,O",4.1800,8.6800,4.1800,484688010876,958041475094,299897988454
HAFCEX,Ta,,,6,"Cl,N,O",5.6900,8.6800,5.6900,947519000776,410028992724,538093947194
HAFCIB,Ta,,,6,"Cl,N,O",5.8800,6.2600,5.8800,633244398212,498356532856,457197009006
HAFPIN,Cu,+2,d9,4,"N,O",1.8200,6.5300,1.8200,663927195571,886482658788,885198116628
HAFRAH,Mo,,,5,"N,O",5.8300,8.5700,5.8300,768977089616,971587603970,339361944352
HAFSAI,Co,+3,d6,4,"Cl,O",0.2500,5.8400,0.2500,120414803330,812141300642,177085264631
HAFYIW01,Co,+3,d6,4,"N,O",6.2300,6.7100,6.2300,663606969088,537511412546,806099268771
HAFYOC,Co,+3,d6,4,,4.2400,5.5800,4.2400,801791264412,575836719068,912696298113
HAFYOC10,Co,+3,d6,4,,4.2400,5.5800,4.2400,801791264412,575836719068,912696298113
HAFZOG,Re,,,6,"C,Cl,P",6.0900,6.9900,6.0900,524067338011,70707782542,844170257224
HAGBIA01,Zn,+2,d10,4,N,4.0800,4.5600,4.0800,452892149449,756485673458,301345613314
HAGBIE,Cu,+2,d9,4,"N,O",4.2700,8.3500,4.2700,611067451290,488576427031,992271876181
HAGDOI,Mo,,,5,"Cl,N,O",0.4900,6.2100,0.4900,930226337413,999316247096,636793791875
HAGDUO,Mo,,,5,,0.2800,5.7700,0.2800,123884544625,555046172669,123632472887
HAGHAZ,Pt,+4,d6,6,"Cl,N,O",4.4200,8.5300,4.4200,204413149969,852242430781,858716248367
HAGHED,Pt,+4,d6,6,"N,O",5.7200,13.0500,5.7200,78571773213,76562639070,267258583943
HAGJOP,Os,,,6,"Cl,N",4.3900,5.7700,4.3900,236303254707,459555423575,310006500246
HAGKAC,Os,,,6,"Cl,N",6.0100,13.0100,6.0100,781325766339,815936390952,310006500246
HAGKEG,Re,,,6,"Cl,N",5.8600,7.5400,5.8600,564414348171,432013903176,429254292305
HAGKOQ,Mo,,,5,"N,O",5.6400,5.6700,5.6400,763074421710,774375261094,653392827068
HAGMEH,Fe,+2,d6,4,"Cl,O",5.9800,12.8700,5.9800,254237144717,489600182117,420573951427
HAGMIL01,Fe,+2,d6,4,"Cl,O",5.6600,5.7500,5.6600,58131989916,665456144735,420573951427
HAGMUX,Re,,,6,"Cl,O,P",4.1000,9.0700,4.1000,302405174369,186851364690,576021343367
HAGNIP,V,,,4,S,3.8700,5.6300,3.8700,542475857327,827925979029,525214945535
HAGTAL,Re,,,6,"Cl,N,P",4.4300,8.8000,4.4300,468830489951,833123570253,518219769438
HAGYIA,Re,,,6,"Cl,N,P",5.4300,5.7500,5.4300,331164108057,568227407642,271195924405
HAGYOD,Zr,,,5,O,0.1100,6.6200,0.1100,312731113896,359432597691,169487744041
HAHFON,Cu,+2,d9,4,"Cl,N,O",0.3700,5.8100,0.3700,674999922633,922217944298,13479497924
HAHFON01,Cu,+2,d9,4,"Cl,N,O",0.2900,6.0800,0.2900,641529356386,922217944298,13479497924
HAHJUY,Zn,+2,d10,4,O,0.0400,5.8800,0.0400,274415088229,156359600810,770719395037
HAHKAF,Co,+3,d6,4,O,0.0500,5.9200,0.0500,844563295540,313464162287,278723143312
HAHKEJ,Co,+3,d6,4,O,0.0600,5.9400,0.0600,726263315283,313464162287,278723143312
HAHLOT,Rh,+3,d6,5,"N,P",0.3100,6.1000,0.3100,960061787785,767817897542,733244733275
HAHMAG,Ru,+2,d6,5,"N,P",0.2800,6.1900,0.2800,740853929819,505391600242,176291100833
HAHRUD,W,,,6,"C,S",5.7500,8.6400,5.7500,784747923859,642360325951,955428589030
HAHWET,Re,,,6,"C,Cl,N,S",5.8200,6.4900,5.8200,775164868702,895961996693,280667347185
HAHXAQ,Pt,+4,d6,6,"C,N,S",4.0400,4.7400,4.0400,100764269915,144191539824,1273104519
HAHXOF,Os,,,6,"Cl,O,S",3.8600,7.4700,3.8600,511614959739,81762067594,889080191184
HAHYEW,Ru,+2,d6,5,"Cl,N,P",4.1800,5.5400,4.1800,371129520837,54784671050,923222177244
HAJCUS,Ir,,,6,"C,N,O",5.9400,6.0600,5.9400,47967084996,203763046462,132630830653
HAJDAZ,Ir,,,6,"C,N,O",6.2900,7.3000,6.2900,313872878146,277332877127,380355017032
HAJDED,Ir,,,6,"C,N,O",5.6200,6.7200,5.6200,114400912317,634639379695,215629195440
HAJDUT,Mn,,,4,N,4.8600,7.0900,4.8600,749210024123,145630269238,535050285903
HAJGAB,Fe,+2,d6,4,"Cl,N",4.3100,6.8100,4.3100,631553133129,569845637911,709597011259
HAJGEF,Co,+3,d6,4,"N,O",0.5200,4.9200,0.5200,649771164790,412906396871,345228728415
HAJGIK,Cd,,,5,O,0.0300,5.9800,0.0300,513713582245,462961037083,619117979943
HAJHIK,Fe,+2,d6,4,"Cl,N",4.3700,5.6200,4.3700,978451735107,254741479849,299933649032
HAJHOP,Re,,,6,"C,O",5.3200,12.6600,5.3200,622305991820,738344733120,814767105364
HAJHUV,Re,,,6,"C,P",5.7800,6.4700,5.7800,815193441498,108755536228,384030171098
HAJKIM,Co,+3,d6,4,"N,O",0.0500,5.3400,0.0500,692084058670,915263972357,860988908941
HAJLAH,Fe,+2,d6,4,"N,O",5.4200,6.1700,5.4200,599432550619,691037407080,940980806584
HAJLAH01,Fe,+2,d6,4,"N,O",6.1300,6.7500,6.1300,237982535138,940528708799,940980806584
HAJLAH02,Fe,+2,d6,4,"N,O",6.3400,6.4400,6.3400,394117564528,44364976303,940980806584
HAJNAH,W,,,6,C,4.2100,6.2900,4.2100,983750141494,295846300522,247861230320
HAJNEL,W,,,6,C,6.0200,7.0700,6.0200,966009814105,740663362941,782795190548
HAJQAL,Co,+3,d6,4,"N,O",0.0800,5.7200,0.0800,713415776981,208936600356,123911517982
HAJROB,Zn,+2,d10,4,"N,O",0.2500,5.1000,0.2500,20581732442,44404246396,615685938495
HAJSIW,Fe,+2,d6,4,,7.0700,9.4000,7.0700,391308636200,901715954328,919119377258
HAJSOC,Mo,,,5,"N,P",6.6100,9.1800,6.6100,513538226063,155397530372,105394331391
HAJXIZ,Pt,+4,d6,6,Se,4.7500,5.8600,4.7500,860700047374,783403963179,624150905075
HAKBUS,Cd,,,5,"N,O",4.7100,7.6300,4.7100,934503642452,664402130987,231527627134
HAKDAZ,Ru,+2,d6,5,N,4.2500,8.3600,4.2500,845201742433,498071564196,981711439244
HAKDEE,Ni,+2,d8,4,"N,O",4.4100,4.4100,4.4100,765400137506,988302858261,57232106907
HAKDOO,Fe,+2,d6,4,"N,O",0.3300,5.3100,0.3300,177822722984,441803130082,671397295641
HAKPEO11,Ru,+2,d6,5,N,4.7500,9.8000,4.7500,255819691200,304210841738,418526312328
HAKQAL,Fe,+2,d6,4,O,5.1600,12.9600,5.1600,466012622117,430976076323,298963524951
HAKQET,Ni,+2,d8,4,"Cl,N,S",0.4300,5.8400,0.4300,628327358492,583968043142,5890288412
HAKQIV,Cu,+2,d9,4,"N,O",4.2400,6.7300,4.2400,83676424069,901698638135,244728692498
HAKTOE,Re,,,6,"C,Cl",4.0900,8.8100,4.0900,889919610324,854692959824,307413856296
HAKWEY,Ir,,,6,"C,N",6.2200,6.2300,6.2200,77966590103,264966074694,458705546689
HALBUR,Co,+3,d6,4,"Cl,N",3.6700,5.3600,3.6700,687026717592,455575989821,776682911669
HALBUV,Pt,+4,d6,6,"C,Cl,N",4.6000,6.4700,4.6000,312241499802,14095023975,193847071535
HALCAC,Pt,+4,d6,6,"C,I,N",5.9600,7.2900,5.9600,245231429429,18336355166,448202925083
HALCEG,Pt,+4,d6,6,"C,Cl,N",4.0600,4.3200,4.0600,136722277118,191879903883,844817985570
HALCIK,Pt,+4,d6,6,"C,F,N",6.0000,6.0200,6.0000,132869302232,157041594733,946878782344
HALCOM,Ni,+2,d8,4,"N,O,S",3.9200,4.9800,3.9200,442217257815,210562738656,230065800455
HALDAC,W,,,6,Cl,3.8200,7.0300,3.8200,670578746512,7053688873,171317984220
HALFEG,Hf,,,6,N,3.8900,8.0300,3.8900,495312805877,303923056966,469505805838
HALGIL,Mo,,,5,"C,P",4.0500,7.5100,4.0500,257895477850,404020780032,166596225805
HALJEL,Co,+3,d6,4,"N,O",0.0700,5.6700,0.0700,799375081035,415106323328,721625241739
HALLAK,Ir,,,6,"C,N",3.6400,4.9500,3.6400,366772878269,178460702656,164332601106
HALMUD,W,,,6,C,3.9800,5.7500,3.9800,346436951988,336760812321,994206348754
HALNAK,Cr,,,4,"C,S",5.7900,7.2900,5.7900,743285963550,464879286138,169437164771
HALNEO,W,,,6,C,5.8100,7.0900,5.8100,959510114635,205428430228,957977914424
HALQEQ,Os,,,6,"Cl,N",5.9600,9.1700,5.9600,519988368586,467280086170,630342107372
HALQUG,Mo,,,5,"C,I",6.4700,8.0500,6.4700,534651523873,696615470154,126544099646
HALSEW,Zn,+2,d10,4,"N,O",0.0800,5.4200,0.0800,867151107422,718385874108,49263314526
HALSIA,Zn,+2,d10,4,"N,O",0.0700,6.1000,0.0700,864521221261,718385874108,49263314526
HALWEW,Zn,+2,d10,4,"N,O",0.5100,6.3000,0.5100,967227201746,455353134582,920253707317
HALYOK,Ni,+2,d8,4,"N,O",3.8800,4.9700,3.8800,487750935859,968857494341,674054365518
HALZUS,Ru,+2,d6,5,"Cl,N,O,S",5.5800,5.8000,5.5800,815741098419,189365886154,154160913729
HAMBEF,Ru,+2,d6,5,"Cl,N,S",3.9800,5.5700,3.9800,430927542718,801743992204,465662859213
HAMCIH,Zn,+2,d10,4,N,0.4100,6.0800,0.4100,258768105887,944835422758,840414246655
HAMGOR,Zn,+2,d10,4,"N,O",0.4400,6.0000,0.4400,456178118418,677925594165,146493780287
HAMHAE,W,,,6,"C,Cl,N",4.6700,5.2400,4.6700,619637113783,548197496946,426952544267
HAMHAH,Mo,,,5,O,5.5300,9.0800,5.5300,719300616912,219665020865,482990737203
HAMHEL,Mo,,,5,O,4.1100,9.1200,4.1100,472806367518,619479765771,482990737203
HAMJUA,Zn,+2,d10,4,N,0.4200,6.3500,0.4200,326482708339,144221937283,812704950664
HAMMEN,Zn,+2,d10,4,N,0.5300,6.0400,0.5300,482275966532,714330231213,811213480784
HAMNOZ,V,,,4,"N,O",4.4800,5.7600,4.4800,37995161509,681430183394,409635143510
HAMTUK,W,,,6,C,3.7800,8.7100,3.7800,78954921696,589577606327,986680289050
HAMVOJ,Ru,+2,d6,5,"N,P",4.2300,4.2600,4.2300,964887489339,220738840175,44119419486
HANGEI,Os,,,6,"N,S",0.2000,6.0100,0.2000,16604327846,995455016070,850223812753
HANGUB,Cu,+2,d9,4,"N,O",6.1400,6.4500,6.1400,228952141955,763617492026,558287142978
HANJIP,Co,+3,d6,4,"Br,N",6.4100,13.0500,6.4100,421276300066,162840484352,900538943810
HANKEM,Rh,+3,d6,5,"Cl,N",4.0800,6.9200,4.0800,969734974047,579971885889,64432486152
HANNIW,Ir,,,6,"C,N,O",5.9500,7.3500,5.9500,857392400673,682648556465,565890176288
