refcode,metal,oxidation_state,d_count,metal_row,donor_set,S_Oh,S_TPr,JT_proxy,L0_hash,L1_hash,L3_hash
QALZEJ,Ni,+2,d8,4,"N,O",0.1100,5.5500,0.1100,306461897168,573281251577,419570602706
QALZOT,Co,+3,d6,4,"Cl,N",4.3000,8.6100,4.3000,387210903849,600940039748,720537119209
QALZOU,Ru,+2,d6,5,"Cl,N,P",3.6300,8.3200,3.6300,322954506206,12168189928,863282476927
QALZUZ,Fe,+2,d6,4,"Cl,N",0.8100,7.3700,0.8100,45824800785,549015185810,484118370467
QAMCAI,Ti,,,4,O,4.1000,8.0700,4.1000,863819925471,456803678093,99007871869
QAMCAI01,Ti,,,4,O,4.1300,5.8700,4.1300,583004901397,185751907632,543174751139
QAMCAI02,Ti,,,4,O,4.0800,5.7800,4.0800,168462936696,232980662209,543174751139
QAMCAI04,Ti,,,4,O,4.0000,5.5800,4.0000,639420877355,232980662209,543174751139
QAMCAI05,Ti,,,4,O,4.0000,5.6000,4.0000,242780885478,232980662209,543174751139
QAMCEO,Cu,+2,d9,4,"N,O",0.7300,5.4800,0.7300,816569256336,291939701503,580166198491
QAMDUF,Ni,+2,d8,4,O,0.0400,5.7100,0.0400,50393312539,107362580582,135339211994
QAMJAQ,Ru,+2,d6,5,"Cl,P",0.7700,5.4800,0.7700,431405779822,825079038797,360299672114
QAMPAX,Co,+3,d6,4,"N,O",3.9800,4.3300,3.9800,135056965961,436781956050,136348569609
QAMTAD,Zn,+2,d10,4,O,0.0400,6.0500,0.0400,944573556298,40116535066,209250992226
QAMTIL,Zn,+2,d10,4,"N,O",4.3900,7.8900,4.3900,626948746643,575931711486,146033689044
QAMTOR,Zn,+2,d10,4,"N,O",4.4100,8.9200,4.4100,941519540313,290873544553,92692972254
QAMTUV,Ir,,,6,"C,N",5.6600,6.2800,5.6600,963842892421,917207672464,569005877855
QANDOZ,Re,,,6,"Br,C,N,O",4.6700,6.7200,4.6700,852358869266,535872916557,592026724093
QANFOA,Zn,+2,d10,4,"N,O",3.8800,5.1200,3.8800,793002696144,576499320601,63132519770
