refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_TBPY,S_SPY,log_S_TBPY,log_S_SPY,delta_TBPY_SPY,is_intermediate_delta_lt_1,L3_key_hash
QIZRUN,Sc,,,,,4.7600,6.4000,0.6866,0.8129,1.6400,False,352514612701
QIZVUU,Zn,+2,d10,"N,O",1-1,4.6300,8.4400,0.6749,0.9315,3.8100,False,765888130532
QIZWAB,Zn,+2,d10,"N,O",1-1,8.4500,8.7400,0.9320,0.9465,0.2900,True,575692174562
QIZXIJ,V,,,,,0.3300,1.4300,-0.3665,0.1847,1.1000,False,155756657549
QOBQED01,Cu,+2,d9,"N,O",1-1,6.6600,4.5100,0.8299,0.6637,2.1500,False,232623810203
QOBQED02,Cu,+2,d9,"N,O",1-1,6.6800,7.4200,0.8312,0.8762,0.7400,True,232623810203
QOBRIK,Fe,+2,d6,"Br,N",1-1,5.6800,5.8000,0.7619,0.7709,0.1200,True,241299730549
QOBRUW,Fe,+2,d6,"Br,N",1-1,5.8600,5.9500,0.7752,0.7818,0.0900,True,931585301070
QOBVIP,Ti,,,,,1.7900,5.7800,0.2765,0.7694,3.9900,False,991681545336
QOBWEM,Ti,,,,,4.3900,6.6700,0.6522,0.8306,2.2800,False,117783785194
QOBWEN,Fe,+2,d6,,,0.5500,6.3800,-0.1871,0.8116,5.8300,False,516960402206
QOBWIQ,Ti,,,,,0.5500,0.7900,-0.1871,-0.0506,0.2400,True,404590068074
QOBZUE,Fe,+2,d6,"Cl,N",1-1,5.0200,5.9600,0.7093,0.7825,0.9400,True,480178159457
QOCDES,Fe,+2,d6,N,2,7.0300,8.0900,0.8531,0.9133,1.0600,False,115731780493
QOCDOC,Fe,+2,d6,N,2,0.5300,6.3400,-0.2007,0.8089,5.8100,False,676712388016
QOCDUI01,Fe,+2,d6,,,4.5200,5.3000,0.6646,0.7324,0.7800,True,280144896797
QOCVOU,V,,,,,0.7200,5.5800,-0.0862,0.7543,4.8600,False,148172045369
QOCVUA,V,,,,,0.7200,6.2100,-0.0862,0.8000,5.4900,False,985496271322
QOCXOV,Zn,+2,d10,,,0.8900,5.8700,-0.0044,0.7760,4.9800,False,855396219846
QODDAP,Zn,+2,d10,N,1-1,0.6900,5.5000,-0.1024,0.7482,4.8100,False,309732187468
QODFEU,Ti,,,"N,O",2,0.2200,5.5400,-0.4949,0.7513,5.3200,False,698821855803
QODMAY,Ru,+2,d6,"Cl,N",1-1,5.3900,5.9800,0.7396,0.7839,0.5900,True,567250056953
QODMOM,Ru,+2,d6,"Cl,N",1-1,4.9200,5.7300,0.7007,0.7657,0.8100,True,187975281854
QODPUU,Re,,,,,0.0400,1.0000,-0.8539,0.0414,0.9600,True,614581764068
QOFXOZ,Cu,+2,d9,N,1-1,0.3700,6.9100,-0.3279,0.8457,6.5400,False,737613352752
QOGDIB,Co,+2,d7,"C,F,P",1-1-1-1,5.1100,6.3700,0.7168,0.8109,1.2600,False,161287345495
QOHDUO,V,,,,,0.2900,0.7100,-0.4089,-0.0915,0.4200,True,941198136218
QOHLUV,V,,,,,4.7100,5.5000,0.6821,0.7482,0.7900,True,356794650880
QOHMAB,Nb,,,N,1-1,0.1600,1.1200,-0.5850,0.0864,0.9600,True,254417689673
QOHROY,Co,+2,d7,"N,O",1-1,0.4200,1.5200,-0.2840,0.2095,1.1000,False,210506784034
QOHSAL,Co,+2,d7,"N,O",1-1,0.5000,1.1800,-0.2218,0.1072,0.6800,True,299890300760
QOHSEP,Co,+2,d7,N,1-1,0.5200,6.2900,-0.2076,0.8055,5.7700,False,241121800665
QOHTIQ,Ir,,,"C,P",1-1,0.3500,1.6400,-0.3468,0.2405,1.2900,False,992384568473
QOHTUG,Fe,+2,d6,"N,O",1-1,4.9600,5.7800,0.7042,0.7694,0.8200,True,452035055017
QOHVES,Fe,+2,d6,"N,O",1-1,5.1000,6.0700,0.7160,0.7903,0.9700,True,900614171771
QOHXOC,V,,,"N,O",1-1,0.2000,5.7700,-0.5229,0.7686,5.5700,False,606356507780
QOJBOG,Os,,,C,1-1,5.0600,5.2000,0.7126,0.7243,0.1400,True,630578690456
QOJCUN,Os,,,"C,P",1-1-1-1,0.6800,6.3100,-0.1079,0.8069,5.6300,False,736598518853
QOJDAU,Os,,,"C,I,P",1-1-1-1,6.1500,6.3700,0.7959,0.8109,0.2200,True,736598518853
QOJLUW,Mo,,,"N,O",1-1,0.1800,5.7600,-0.5528,0.7679,5.5800,False,815903268770
QOJVUI,Cu,+2,d9,,,1.6000,6.2500,0.2304,0.8028,4.6500,False,502300519551
QOKJEG,Y,,,N,1-1,0.2800,1.2400,-0.4202,0.1271,0.9600,True,474819332507
QOKJOR,Ag,,,,,3.1800,7.0000,0.5159,0.8513,3.8200,False,98584874908
QOKWIW,Cd,,,N,1-1,0.3600,1.4300,-0.3372,0.1847,1.0700,False,828385031709
QOLDIF,Zn,+2,d10,N,1-1,0.2800,0.9500,-0.4202,0.0212,0.6700,True,121020142524
QOLGII,Cu,+2,d9,"N,O",1-1,4.9600,6.2400,0.7042,0.8021,1.2800,False,35664392755
QOLHAA,Cu,+2,d9,N,1-1,0.1500,0.9100,-0.6021,0.0043,0.7600,True,937465178883
QOLJAD,Cu,+2,d9,"N,O",1-1,5.2200,6.4600,0.7259,0.8169,1.2400,False,485362449252
QOLKOS,Cu,+2,d9,N,1-1,3.7300,5.0100,0.5832,0.7084,1.2800,False,913674325869
QOLMEK,Zn,+2,d10,,,4.9300,6.0200,0.7016,0.7868,1.0900,False,789793142631
QOLPAI,Ti,,,,,0.2300,4.8800,-0.4815,0.6972,4.6500,False,594593268630
QOLPEM,Ti,,,"I,N",1-1,1.5000,6.5500,0.2041,0.8228,5.0500,False,597310493948
QOLROA,Cu,+2,d9,O,1-1-1-1,5.0100,6.3100,0.7084,0.8069,1.3000,False,664312335977
QOLWUJ,Zn,+2,d10,O,1-1,0.0300,1.0800,-0.8861,0.0719,1.0500,False,507045244987
QOLYAT,Fe,+2,d6,"C,N",1-1,6.5000,12.7100,0.8195,1.1075,6.2100,False,688060197978
QOLYEV,Ru,+2,d6,N,4,0.0100,1.1300,-0.9586,0.0899,1.1200,False,172683052225
QOLYIB,Fe,+2,d6,"C,N",1-1,11.3700,14.3400,1.0596,1.1596,2.9700,False,89617366070
QOMLOU,Ni,+2,d8,O,1-1,0.2900,5.6300,-0.4089,0.7582,5.3400,False,466911961070
QOMMIQ,Cu,+2,d9,"N,O",2,4.9200,6.0800,0.7007,0.7910,1.1600,False,898921908688
QOMROB,Ti,,,"N,O",1-1,0.1500,5.5800,-0.6021,0.7543,5.4300,False,308042523714
QONHIK,Ta,,,,,5.0200,5.8300,0.7093,0.7731,0.8100,True,470491633833
QONSUI,Ru,+2,d6,,,0.8800,4.8900,-0.0088,0.6981,4.0100,False,450841552668
QOPHAE,Cu,+2,d9,"N,O",1-1,11.7600,10.7300,1.0741,1.0346,1.0300,False,23575240694
QOPNOA,Zn,+2,d10,N,4,0.2600,0.8100,-0.4437,-0.0410,0.5500,True,951595985989
QOPSAR,Ru,+2,d6,"C,N,P",1-1-1-1,5.8300,5.8900,0.7731,0.7774,0.0600,True,280338860572
QOPSEV,Ru,+2,d6,"C,N,P",1-1-1-1,0.7700,1.4000,-0.0605,0.1761,0.6300,True,760621664217
QOPVAV,Fe,+2,d6,N,1-1,4.8800,6.1700,0.6972,0.7973,1.2900,False,872479997575
QOPVEZ,Fe,+2,d6,"N,P",1-1,5.3000,6.1200,0.7324,0.7938,0.8200,True,302455448338
QOPXAU,Nb,,,Cl,1-1,0.2500,5.6200,-0.4559,0.7574,5.3700,False,319609320281
QOQXAW,V,,,"N,O",1-1,5.0400,5.4900,0.7110,0.7474,0.4500,True,663700583720
QORDUY,Fe,+2,d6,,,0.7400,5.0800,-0.0757,0.7143,4.3400,False,509801574472
QORFAF,Ta,,,"Cl,N",1-1,0.3400,5.6900,-0.3565,0.7627,5.3500,False,5272027733
QORFAG,Fe,+2,d6,,,3.7300,4.1400,0.5832,0.6274,0.4100,True,775729011530
QORFEI,Zn,+2,d10,"N,O",1-1,0.2600,4.0600,-0.4437,0.6191,3.8000,False,312447058170
QORFOU,Fe,+2,d6,"N,S",4,6.7900,7.4700,0.8382,0.8791,0.6800,True,288457730064
QORLAN,Cu,+2,d9,"N,O",2,0.6000,5.3100,-0.1549,0.7332,4.7100,False,681412910992
QORLEO,Zn,+2,d10,,,0.3000,5.5200,-0.3979,0.7497,5.2200,False,372684634075
QORLIS,Zn,+2,d10,,,0.2600,5.9700,-0.4437,0.7832,5.7100,False,986169337535
QORLOY,Zn,+2,d10,,,0.2100,5.7900,-0.5086,0.7701,5.5800,False,318838759484
QORPIX,Cu,+2,d9,N,1-1,0.6000,5.5700,-0.1549,0.7536,4.9700,False,411180807562
QOSFUB,Cu,+2,d9,N,1-1,4.9300,5.8600,0.7016,0.7752,0.9300,True,113502083859
QOSGAI,Cu,+2,d9,N,1-1,4.8400,5.2400,0.6937,0.7275,0.4000,True,217014462518
QOSGIQ,Cu,+2,d9,N,1-1,0.6800,0.8400,-0.1079,-0.0269,0.1600,True,617403368604
QOSGOW,Cu,+2,d9,N,1-1,4.9900,5.8200,0.7067,0.7723,0.8300,True,992193225341
QOSJEN,Zr,,,,,12.7000,8.9800,1.1072,0.9581,3.7200,False,629056962811
QOSKEO,Cu,+2,d9,"N,O",1-1,11.6200,13.4100,1.0689,1.1307,1.7900,False,957688630544
QOSMAN,Ru,+2,d6,Cl,1-1,5.9300,6.0000,0.7803,0.7853,0.0700,True,597428492890
QOSMER,Ru,+2,d6,Cl,1-1,0.1800,1.7700,-0.5528,0.2718,1.5900,False,426155365809
QOSMIV,Ru,+2,d6,"O,P",1-1,5.5800,6.0700,0.7543,0.7903,0.4900,True,354073412632
QOSSAU,Cu,+2,d9,N,2-1-1,4.5000,5.6600,0.6628,0.7604,1.1600,False,404386072187
QOTBUW,Mo,,,,,4.4500,5.3200,0.6580,0.7340,0.8700,True,471892640455
QOTHIU,Co,+3,d6,,,7.8300,11.0800,0.8993,1.0484,3.2500,False,249860452802
QOTKIU,Cu,+2,d9,"N,O",1-1-1-1,0.3300,0.5500,-0.3665,-0.1871,0.2200,True,324530708417
QOTKIU01,Cu,+2,d9,"N,O",1-1-1-1,0.3200,0.5400,-0.3768,-0.1938,0.2200,True,324530708417
QOTQUO,Ir,,,"C,N,O,P",2-1-1,0.3900,1.6300,-0.3098,0.2380,1.2400,False,660396506787
QOTSEY,V,,,,,6.9700,12.0400,0.8494,1.0842,5.0700,False,687854425310
QOTWIG,Cu,+2,d9,N,1-1-1-1,4.8100,5.9000,0.6911,0.7782,1.0900,False,388430241826
QOTXOO,Fe,+2,d6,N,2,0.4300,0.8100,-0.2757,-0.0410,0.3800,True,406378014655
QOTYUV,Co,+2,d7,N,4,4.9700,5.8500,0.7050,0.7745,0.8800,True,238235763029
QOVCAI,Cu,+2,d9,"N,O",2-2,0.4100,0.7000,-0.2924,-0.0969,0.2900,True,822346723643
QOVCEM,Cu,+2,d9,"N,O",2-2,4.7900,6.2300,0.6893,0.8014,1.4400,False,323133795528
QOVCOW,Cu,+2,d9,"N,O",1-1,0.7200,1.1200,-0.0862,0.0864,0.4000,True,179596065618
QOVGOA,Cu,+2,d9,,,3.4700,6.6100,0.5527,0.8267,3.1400,False,179596065618
QOVGUG,Ru,+2,d6,"C,N,P",1-1-1-1,5.0200,6.5700,0.7093,0.8241,1.5500,False,76863741968
QOVHAN,Ru,+2,d6,"C,N,P",1-1-1-1,6.3700,6.4100,0.8109,0.8136,0.0400,True,531274502757
QOVKIW,Fe,+2,d6,N,4,5.1600,5.7800,0.7210,0.7694,0.6200,True,448929986732
QOVKIW01,Fe,+2,d6,,,0.2100,0.7300,-0.5086,-0.0809,0.5200,True,448929986732
QOVKIW02,Fe,+2,d6,,,0.3300,0.6600,-0.3665,-0.1192,0.3300,True,448929986732
QOVKIW03,Fe,+2,d6,,,0.4000,0.6500,-0.3010,-0.1249,0.2500,True,448929986732
QOVKIW04,Fe,+2,d6,N,4,0.0300,1.0500,-0.8861,0.0607,1.0200,False,448929986732
QOVKIW05,Fe,+2,d6,N,2,0.0600,0.8900,-0.7959,-0.0044,0.8300,True,448929986732
QOVKIW06,Fe,+2,d6,,,4.8700,5.7000,0.6964,0.7634,0.8300,True,448929986732
QOVKIW07,Fe,+2,d6,,,0.3000,0.7200,-0.3979,-0.0862,0.4200,True,448929986732
QOVNEV,Ni,+2,d8,,,6.0700,6.5500,0.7903,0.8228,0.4800,True,417799460362
QOVPAW,Ir,,,"C,Cl",1-1,6.8700,11.1500,0.8432,1.0512,4.2800,False,702887824519
QOWFEO,Cu,+2,d9,"Cl,N",1-1,0.5700,5.7300,-0.1739,0.7657,5.1600,False,141104081331
QOWFER,Cu,+2,d9,"N,O",1-1,0.4200,6.4900,-0.2840,0.8189,6.0700,False,741957177316
QOWFIV,Cu,+2,d9,"N,O",1-1,0.3500,0.6100,-0.3468,-0.1487,0.2600,True,261655839041
QOWGOA,Ru,+2,d6,"C,N",1-1,5.2800,6.5000,0.7308,0.8195,1.2200,False,920391440293
QOWHAN,Ru,+2,d6,"C,N",1-1,5.9600,7.6000,0.7825,0.8865,1.6400,False,253437445001
QOWLEX,Zn,+2,d10,N,1-1,8.5700,8.9600,0.9380,0.9571,0.3900,True,148514530785
QOWLIB,Zn,+2,d10,N,1-1,8.5300,5.7900,0.9360,0.7701,2.7400,False,9230159740
QOWLOH,Zn,+2,d10,N,1-1,11.9600,15.2300,1.0813,1.1855,3.2700,False,984405011061
QOWMIC,Zn,+2,d10,N,1-1,9.9200,14.8900,1.0009,1.1758,4.9700,False,585812859662
QOXBEO,Zn,+2,d10,N,1-1,12.4100,8.3800,1.0973,0.9284,4.0300,False,545821872464
QOXGOB,Cu,+2,d9,,,5.8300,7.4500,0.7731,0.8779,1.6200,False,606001094904
QOXREB,Zn,+2,d10,"N,O",2,4.7700,5.7300,0.6875,0.7657,0.9600,True,657002350840
QOXVAA,Zn,+2,d10,,,0.4300,0.7300,-0.2757,-0.0809,0.3000,True,682843516816
QOXVIK,Fe,+2,d6,N,1-1,0.2800,4.8600,-0.4202,0.6955,4.5800,False,171501306415
QOXYEH,Ir,,,"C,N,P",2-1-1,4.8200,5.4900,0.6920,0.7474,0.6700,True,285125319213
QOXZOV,Cu,+2,d9,,,0.8600,1.3800,-0.0177,0.1703,0.5200,True,951522088758
QOYFEQ,Ni,+2,d8,,,1.0500,1.2100,0.0607,0.1173,0.1600,True,758445908768
QOYHAP,Ru,+2,d6,"N,P",1-1,1.0700,6.1800,0.0682,0.7980,5.1100,False,640164941555
QOYNUR,Cu,+2,d9,,,4.8700,10.0300,0.6964,1.0056,5.1600,False,956057974993
QOYSAB,Fe,+2,d6,,,4.0300,5.3100,0.6160,0.7332,1.2800,False,896903206337
QOYYIM,W,,,,,3.4000,5.0700,0.5441,0.7135,1.6700,False,722439669153
QOYYOS,Mo,,,,,4.5600,5.4000,0.6684,0.7404,0.8400,True,601941751857
QOYYUY,W,,,,,2.2700,3.0400,0.3747,0.4969,0.7700,True,603929519634
QOYZAF,W,,,,,3.7100,4.5100,0.5809,0.6637,0.8000,True,982422241732
QOYZIN,Cu,+2,d9,N,2,1.2500,4.2800,0.1303,0.6415,3.0300,False,327074079014
QOYZUC,Zn,+2,d10,"N,S",1-1,0.7300,1.2700,-0.0809,0.1367,0.5400,True,253250911922
QOZXOV,Fe,+2,d6,"As,C",1-1,0.8000,1.0500,-0.0458,0.0607,0.2500,True,75577872025
QUBQOX,Cu,+2,d9,"N,O",2-1-1,5.0100,5.7800,0.7084,0.7694,0.7700,True,758063930364
QUBVOC,Ru,+2,d6,"C,O",1-1,5.5100,5.5700,0.7490,0.7536,0.0600,True,611234899518
QUCBIA,Co,+2,d7,,,4.3200,8.1100,0.6454,0.9143,3.7900,False,685351395860
QUCBIB,Ru,+2,d6,"C,N",1-1,0.8200,1.7200,-0.0362,0.2601,0.9000,True,281968309984
QUCCOH,Cu,+2,d9,N,1-1,5.6000,11.0100,0.7559,1.0457,5.4100,False,580199274530
QUCFIE,Cu,+2,d9,"N,O",3-1,7.4500,12.8400,0.8779,1.1119,5.3900,False,524031373036
QUCJOP,Ni,+2,d8,,,5.3900,6.5400,0.7396,0.8222,1.1500,False,331367667487
QUCMAF,Cu,+2,d9,N,1-1,0.2900,5.3600,-0.4089,0.7372,5.0700,False,488282810518
QUCROY,Cu,+2,d9,"N,O",2,4.6800,5.2700,0.6794,0.7300,0.5900,True,510622458083
QUCSOZ,Cu,+2,d9,"N,O",3-1,8.6200,10.1100,0.9405,1.0090,1.4900,False,507115708704
QUDKOT,Cu,+2,d9,"N,O",1-1,8.2500,10.3200,0.9217,1.0179,2.0700,False,2260996351
QUDPEK,Fe,+2,d6,,,13.3800,9.1800,1.1297,0.9675,4.2000,False,799293642818
QUDWIV,Y,,,O,1-1,0.3800,3.7300,-0.3188,0.5832,3.3500,False,672482418223
QUDZOE,W,,,C,1-1-1-1,5.4900,5.7600,0.7474,0.7679,0.2700,True,155802333842
QUFJAD,Cu,+2,d9,,,10.1800,12.7400,1.0120,1.1086,2.5600,False,133606653460
QUFJEH,Cu,+2,d9,,,7.8800,9.6800,0.9020,0.9903,1.8000,False,869481645287
QUFJEH01,Cu,+2,d9,,,10.3900,9.1300,1.0208,0.9652,1.2600,False,869481645287
QUFKOU,Cu,+2,d9,"N,O",1-1,0.6000,6.6100,-0.1549,0.8267,6.0100,False,771750541168
QUFTET,Co,+2,d7,"C,P",1-1,0.5500,5.8000,-0.1871,0.7709,5.2500,False,354472197129
QUGBUP,Nb,,,,,5.5200,6.0600,0.7497,0.7896,0.5400,True,395450693983
QUGBUR,Fe,+2,d6,,,0.9900,1.8900,0.0374,0.2989,0.9000,True,439222363806
QUGCAW,Nb,,,O,1-1,1.5100,5.2000,0.2068,0.7243,3.6900,False,521447302551
QUGCEA,Ta,,,,,5.5800,6.0600,0.7543,0.7896,0.4800,True,153421865178
QUGCIE,Ta,,,O,1-1,6.8200,8.8000,0.8401,0.9494,1.9800,False,759023612403
QUGCOK,Ta,,,O,1-1,0.6300,6.0100,-0.1367,0.7860,5.3800,False,281227902209
QUGCUQ,Nb,,,O,1-1,3.0700,4.8900,0.5011,0.6981,1.8200,False,632736286631
QUGDAX,Ta,,,"Cl,O",1-1,4.9200,5.9400,0.7007,0.7810,1.0200,False,739507446854
QUGDEB,Ta,,,"Cl,O",1-1,0.6000,0.6100,-0.1549,-0.1487,0.0100,True,628112650719
QUGDIF,Ta,,,O,1-1,0.3600,3.3300,-0.3372,0.5353,2.9700,False,230140397925
QUGDOL,Nb,,,O,1-1,0.3100,5.9100,-0.3872,0.7789,5.6000,False,269960816184
QUGDUR,Ta,,,O,1-1,0.3300,1.6000,-0.3665,0.2304,1.2700,False,505210646940
QUGFAZ,Nb,,,O,1-1,0.1700,3.8200,-0.5686,0.5933,3.6500,False,579983160178
QUGMOW,Ru,+2,d6,"C,N,P",3-1,0.4200,0.7900,-0.2840,-0.0506,0.3700,True,328494165091
QUGMUC,Ru,+2,d6,"C,N,P",2-1-1,0.6300,1.2900,-0.1367,0.1430,0.6600,True,934910706024
QUGPOY,Re,,,,,10.7000,15.8900,1.0334,1.2038,5.1900,False,10729487777
QUGPUE,Tc,,,,,5.2100,12.1100,0.7251,1.0867,6.9000,False,607713176652
QUGSIV,Cu,+2,d9,"N,O",1-1,11.8200,12.0400,1.0763,1.0842,0.2200,True,921277072542
QUGSUH,Cu,+2,d9,N,1-1,10.3400,9.3800,1.0187,0.9768,0.9600,True,746225537246
QUGWIB,Fe,+2,d6,"C,P",1-1,0.2800,5.3600,-0.4202,0.7372,5.0800,False,232019960555
QUGWOH,Fe,+2,d6,"C,P",1-1,0.3900,1.0000,-0.3098,0.0414,0.6100,True,671464669208
QUGWUN,Ru,+2,d6,"C,Cl",1-1-1-1,5.0200,6.0000,0.7093,0.7853,0.9800,True,288823567006
QUGXAU,Ru,+2,d6,C,1-1,4.7100,5.0500,0.6821,0.7118,0.3400,True,774795464419
QUGXEZ,Re,,,,,4.8100,6.5800,0.6911,0.8248,1.7700,False,960890880915
QUGZIB,Os,,,"C,P",1-1-1-1,0.4500,1.9500,-0.2596,0.3118,1.5000,False,609757534252
QUGZIF,Re,,,,,3.0900,6.7100,0.5038,0.8331,3.6200,False,401224773394
QUGZOH,Os,,,"C,P",1-1-1-1,5.9500,6.2200,0.7818,0.8007,0.2700,True,431409601056
QUHBON,Mo,,,,,0.2400,0.5600,-0.4685,-0.1805,0.3200,True,251195038589
QUHDAZ,Zr,,,"I,P",1-1,1.6800,7.0700,0.2504,0.8555,5.3900,False,115397398534
QUHDON,Zr,,,"N,P",1-1,0.4900,5.7200,-0.2291,0.7649,5.2300,False,398154866886
QUHDUT,Zr,,,"Cl,P",1-1,0.9300,1.7500,0.0128,0.2672,0.8200,True,137630271430
QUHHIL,Cu,+2,d9,N,1-1,5.1600,6.1100,0.7210,0.7931,0.9500,True,733539778618
QUHJAG,Ru,+2,d6,,,0.2300,1.4000,-0.4815,0.1761,1.1700,False,650596006058
QUHJEK,Ru,+2,d6,"C,P",1-1,5.8100,5.8800,0.7716,0.7767,0.0700,True,141183677230
QUHLIO,Ru,+2,d6,"C,Cl",1-1,0.4800,2.0700,-0.2366,0.3365,1.5900,False,778733588455
QUHWEW,Ta,,,"N,O",1-1,0.0900,0.6600,-0.7212,-0.1192,0.5700,True,880595858786
QUJCUU,Ru,+2,d6,"C,N,P",1-1-1-1,0.6000,1.2800,-0.1549,0.1399,0.6800,True,733972101915
QUJJUA,Cu,+2,d9,N,1-1,7.7700,13.8200,0.8960,1.1436,6.0500,False,380190282613
QUJYEZ,Co,+3,d6,"C,P",1-1,5.8700,7.9800,0.7760,0.9074,2.1100,False,366982965967
QUJYOJ,Co,+3,d6,"C,Cl",1-1,7.6000,12.8700,0.8865,1.1129,5.2700,False,902790587922
QUJZUQ,Fe,+2,d6,N,2,8.1300,10.2300,0.9154,1.0141,2.1000,False,940979468275
QUKDAC,Ir,,,"Cl,N,P",3-1,0.6100,1.7800,-0.1487,0.2742,1.1700,False,906037912749
QUKFIO,Co,+2,d7,N,2,0.3800,4.3200,-0.3188,0.6454,3.9400,False,493800555416
QUKFOS,Cu,+2,d9,,,14.2000,15.5700,1.1553,1.1951,1.3700,False,922898061259
QUKLIU,W,,,N,1-1,3.6600,5.7600,0.5752,0.7679,2.1000,False,752497662144
QUKLUE,Cd,,,O,1-1,0.2200,0.5000,-0.4949,-0.2218,0.2800,True,182627715515
QUKVEB,Os,,,,,0.5900,0.6500,-0.1612,-0.1249,0.0600,True,621381042413
QUKVIF,V,,,,,0.6600,5.8100,-0.1192,0.7716,5.1500,False,108461991638
QUKYAZ,Co,+3,d6,"Br,C",1-1,5.4800,12.2600,0.7466,1.0920,6.7800,False,188199545009
QUKYUT,Co,+2,d7,,,0.9900,6.9100,0.0374,0.8457,5.9200,False,742103963325
QULMET,Zn,+2,d10,O,1-1,7.8800,10.9800,0.9020,1.0445,3.1000,False,768823259815
QULPUI,Cu,+2,d9,"F,N",1-1,5.0900,6.0900,0.7152,0.7917,1.0000,False,896017260618
QUMCIN,Ir,,,"Cl,N,P",1-1-1-1,0.4100,1.7100,-0.2924,0.2577,1.3000,False,244979695474
QUMCUZ,Ir,,,"C,N",1-1,12.0000,13.3400,1.0828,1.1284,1.3400,False,184250558603
QUMXUR,Nb,,,N,1-1,0.3300,0.8200,-0.3665,-0.0362,0.4900,True,372991582257
QUMYAY,Ta,,,N,1-1,0.3300,5.2000,-0.3665,0.7243,4.8700,False,732982716103
QUNDUA,Zn,+2,d10,,,4.6700,5.8300,0.6785,0.7731,1.1600,False,675214188552
QUNKIT,Fe,+2,d6,P,1-1,0.7500,5.7300,-0.0706,0.7657,4.9800,False,597977596875
QUNQIC,Ni,+2,d8,"C,P",1-1,3.3500,4.5600,0.5378,0.6684,1.2100,False,988335392313
QUNSOI,Cu,+2,d9,N,1-1,0.2700,5.6500,-0.4318,0.7597,5.3800,False,13750101503
QUPBOS,Zr,,,N,1-1,0.2900,0.6600,-0.4089,-0.1192,0.3700,True,791804959402
QUPPID,W,,,"N,O",1-1,6.9700,11.2400,0.8494,1.0546,4.2700,False,173889950909
QUPPOJ,W,,,"Cl,N",1-1,0.1200,0.9900,-0.6576,0.0374,0.8700,True,199735380643
QUPQAW,W,,,"Cl,N",1-1,0.1300,0.6400,-0.6383,-0.1308,0.5100,True,714836250026
QUPVEC,Zn,+2,d10,,,0.7200,1.6000,-0.0862,0.2304,0.8800,True,566375348387
QUQDUB,Cu,+2,d9,N,1-1,7.3900,6.6100,0.8745,0.8267,0.7800,True,270900866204
QUQDUB02,Cu,+2,d9,N,1-1,5.8100,11.3600,0.7716,1.0592,5.5500,False,270900866204
QUQFAJ,Cu,+2,d9,N,1-1,0.7400,5.7300,-0.0757,0.7657,4.9900,False,452238050218
QUQSOM,Cu,+2,d9,"Cl,N",1-1,1.0800,3.7300,0.0719,0.5832,2.6500,False,486779747303
QUQSUS,Cu,+2,d9,"Cl,N",2-1-1,4.9200,6.3500,0.7007,0.8096,1.4300,False,708408297547
QUQTIG,Ru,+2,d6,Cl,1-1,5.6700,5.8300,0.7612,0.7731,0.1600,True,39863268129
QUQTOL,Pd,+2,d8,N,2-1-1,1.0300,4.8600,0.0531,0.6955,3.8300,False,955487238721
QUQYEG,Ru,+2,d6,"C,Cl,P",1-1-1-1,6.1000,6.1500,0.7924,0.7959,0.0500,True,898733095468
QURBUC,Cu,+2,d9,"N,O",3-1,4.8800,5.8100,0.6972,0.7716,0.9300,True,111403966437
QURFIW,Fe,+2,d6,"C,P",1-1,0.3800,5.6000,-0.3188,0.7559,5.2200,False,527291811072
QURFOC,Fe,+2,d6,C,1-1,0.0100,1.0100,-0.9586,0.0453,1.0000,False,753739216896
QURMAR,W,,,N,1-1,0.1700,1.4100,-0.5686,0.1790,1.2400,False,382046566096
QUSNEX,Re,,,"C,S",2-1-1,0.5800,2.0500,-0.1675,0.3324,1.4700,False,17889855939
QUSNIB,Re,,,"C,S",2-1-1,6.5500,6.8000,0.8228,0.8388,0.2500,True,663888873223
QUSVOR,Cu,+2,d9,,,13.6700,16.7700,1.1389,1.2271,3.1000,False,121356154699
QUSYIM,Mo,,,,,0.4100,0.9400,-0.2924,0.0170,0.5300,True,696666985907
QUSYOS,Mo,,,,,5.5000,6.0800,0.7482,0.7910,0.5800,True,876325918249
QUSYUY,Mo,,,,,5.1200,6.2800,0.7177,0.8048,1.1600,False,136802565122
QUVHAT,Cu,+2,d9,"N,O",2-2,0.3800,0.6700,-0.3188,-0.1135,0.2900,True,16229572914
QUVQIJ,Co,+2,d7,N,1-1,0.1600,5.2300,-0.5850,0.7267,5.0700,False,968941842331
QUVRUV,Ti,,,,,0.7900,5.9600,-0.0506,0.7825,5.1700,False,9059639340
QUVSAC,Ti,,,,,11.9800,13.0600,1.0821,1.1193,1.0800,False,375460332841
QUWFAQ,Cu,+2,d9,N,2,0.6700,6.2800,-0.1135,0.8048,5.6100,False,400320789288
QUWHOG,Zn,+2,d10,O,1-1,0.2300,0.5800,-0.4815,-0.1675,0.3500,True,58053039761
QUWRIM,Cu,+2,d9,,,9.3000,11.4600,0.9731,1.0630,2.1600,False,852783469117
QUWSUX,Ru,+2,d6,"Cl,O",1-1,0.3000,1.1100,-0.3979,0.0828,0.8100,True,626371576361
QUXJID,Cu,+2,d9,,,2.0600,7.1900,0.3345,0.8627,5.1300,False,334289480647
QUXVIS,Fe,+2,d6,,,0.6300,0.6500,-0.1367,-0.1249,0.0200,True,40530018054
