refcode,metal,oxidation_state,d_count,donor_set,denticity_pattern,S_TBPY,S_SPY,log_S_TBPY,log_S_SPY,delta_TBPY_SPY,is_intermediate_delta_lt_1,L3_key_hash
DODRAS,Cu,+2,d9,"Cl,N",1-1,1.0000,1.1000,0.0414,0.0792,0.1000,True,750811673680
DODTOG,Fe,+2,d6,"C,P",1-1,0.3800,1.0600,-0.3188,0.0645,0.6800,True,997644754096
DOFRUO,Ti,,,,,7.4100,8.0300,0.8756,0.9101,0.6200,True,844025640550
DOFSIC,Mo,,,N,1-1,0.1800,5.6200,-0.5528,0.7574,5.4400,False,101791668798
DOFWOM,Re,,,,,1.6300,6.2900,0.2380,0.8055,4.6600,False,119468838857
DOFYIG,Ni,+2,d8,"Cl,P",2-1-1,0.3000,1.0600,-0.3979,0.0645,0.7600,True,149148841991
DOGBEK,Co,+2,d7,,,0.6300,4.8600,-0.1367,0.6955,4.2300,False,270441459015
DOGGEM,Zr,,,"As,N",1-1,2.6900,7.0500,0.4456,0.8543,4.3600,False,233475717891
DOGGIQ,Zr,,,"As,N",1-1,6.9900,7.0800,0.8506,0.8561,0.0900,True,289254286386
DOGHEO,Cu,+2,d9,"Cl,N",1-1,0.4600,1.5000,-0.2518,0.2041,1.0400,False,600635401890
DOGHOY,Fe,+2,d6,,,0.5100,5.8200,-0.2147,0.7723,5.3100,False,674959188647
DOGKUF,Cr,,,,,9.4200,13.0600,0.9786,1.1193,3.6400,False,950590173789
DOGMAQ,Cu,+2,d9,"Cl,N",1-1,0.6100,1.2400,-0.1487,0.1271,0.6300,True,204663818908
DOGNAR,Ti,,,N,1-1,0.1800,0.7500,-0.5528,-0.0706,0.5700,True,55187523472
DOGYEE,Cu,+2,d9,O,1-1,0.1700,0.6500,-0.5686,-0.1249,0.4800,True,236108332961
DOHPEZ,Ru,+2,d6,"C,N,P",1-1-1-1,6.1600,6.4600,0.7966,0.8169,0.3000,True,574584402864
DOHPUP,Zn,+2,d10,,,0.2800,0.7000,-0.4202,-0.0969,0.4200,True,13103837557
DOHQIC,Cd,,,,,3.9800,5.8600,0.6107,0.7752,1.8800,False,640786301783
DOHQUO,Cd,,,,,1.5300,3.7700,0.2122,0.5877,2.2400,False,940004963078
DOHTAY,Mn,,,,,5.2400,6.0800,0.7275,0.7910,0.8400,True,171328546140
DOHTIG,Mn,,,,,0.8600,1.7300,-0.0177,0.2625,0.8700,True,171328546140
DOHTIG01,Mn,,,,,0.8700,1.7400,-0.0132,0.2648,0.8700,True,171328546140
DOHXED,Ni,+2,d8,N,2,0.3500,4.5200,-0.3468,0.6646,4.1700,False,866176567756
DOJCAG,Rh,+3,d6,"I,N,O",3-1,6.0300,11.5200,0.7875,1.0652,5.4900,False,989385359022
DOJCOY,Cu,+2,d9,"Cl,N,O",1-1-1-1,0.3800,1.0200,-0.3188,0.0492,0.6400,True,989620759586
DOJPAV01,Ni,+2,d8,,,5.0400,5.9400,0.7110,0.7810,0.9000,True,23694213267
DOJPIF,Cu,+2,d9,,,0.9500,1.5700,0.0212,0.2227,0.6200,True,77870733208
DOJPOL,Cu,+2,d9,N,1-1,0.9800,4.1400,0.0334,0.6274,3.1600,False,449912641350
DOJWAC,Co,+2,d7,,,0.6000,6.1800,-0.1549,0.7980,5.5800,False,48434703114
DOLBUB,Tc,,,,,0.2500,0.7400,-0.4559,-0.0757,0.4900,True,140726924978
DOLXEH01,Cu,+2,d9,N,1-1,4.4300,4.9600,0.6561,0.7042,0.5300,True,284270185384
DOMLEX,Zn,+2,d10,,,0.3200,1.1400,-0.3768,0.0934,0.8200,True,110031522820
DOMNID,Fe,+2,d6,,,0.5500,5.0700,-0.1871,0.7135,4.5200,False,701704431624
DOMZOV,Fe,+2,d6,"C,N",1-1,12.9300,16.7400,1.1149,1.2263,3.8100,False,71945290569
DOMZUB,Fe,+2,d6,"C,N",1-1,12.3300,13.9100,1.0945,1.1464,1.5800,False,254398948284
DONBEO,Ti,,,,,0.3600,5.0900,-0.3372,0.7152,4.7300,False,635120321449
DONFES,Co,+2,d7,,,0.7100,6.3900,-0.0915,0.8122,5.6800,False,379988054872
DONGIW,Cu,+2,d9,N,1-1,0.5500,6.2400,-0.1871,0.8021,5.6900,False,406991875966
DONGIX,Mn,,,,,1.0200,6.7900,0.0492,0.8382,5.7700,False,185272711446
DONJUN,Ir,,,C,1-1,0.4600,1.7500,-0.2518,0.2672,1.2900,False,215174070968
DONQED,Zr,,,O,1-1,0.3100,5.0900,-0.3872,0.7152,4.7800,False,156050782067
DONQUV,Ni,+2,d8,,,6.6400,7.3600,0.8287,0.8727,0.7200,True,108297351814
DONSUV,Tc,,,,,5.4500,6.2200,0.7443,0.8007,0.7700,True,469702102899
DOPBOA,Fe,+2,d6,,,10.0400,15.1000,1.0060,1.1818,5.0600,False,161548693616
DOPDET,Ru,+2,d6,"C,O,P",1-1-1-1,6.3200,6.5800,0.8075,0.8248,0.2600,True,776632886321
DOPDIX,Ru,+2,d6,"C,N,P",1-1-1-1,6.3400,6.7000,0.8089,0.8325,0.3600,True,478133743882
DOPDOD,Ru,+2,d6,"C,N,P",1-1-1-1,6.1500,6.2300,0.7959,0.8014,0.0800,True,494903633341
DOPDUJ,Ru,+2,d6,"C,O,P",1-1-1-1,0.6800,1.6800,-0.1079,0.2504,1.0000,True,509940765762
DOPZIS,Cu,+2,d9,"N,O",1-1,4.9200,10.7900,0.7007,1.0370,5.8700,False,540242780510
DOQQUY,Zn,+2,d10,N,4,0.1800,0.7500,-0.5528,-0.0706,0.5700,True,695205401671
DOQRIL,Ru,+2,d6,"N,P",1-1,5.3700,6.0400,0.7380,0.7882,0.6700,True,743899906701
DORMUS,Tc,,,,,4.2800,5.3100,0.6415,0.7332,1.0300,False,888122950477
DORNED,Tc,,,,,4.2700,5.2400,0.6405,0.7275,0.9700,True,161180579535
DORNIH,Tc,,,,,5.4400,6.7300,0.7435,0.8344,1.2900,False,319463513910
DORWIS,V,,,,,5.0300,5.6000,0.7101,0.7559,0.5700,True,333044072290
DOSGAV,Ru,+2,d6,"Cl,S",1-1,0.4300,2.3800,-0.2757,0.3945,1.9500,False,239315935711
DOSVAJ,Zn,+2,d10,"N,O",2,0.1200,5.7800,-0.6576,0.7694,5.6600,False,303310536905
DOTKIH,Cu,+2,d9,,,4.5700,6.1300,0.6693,0.7945,1.5600,False,633005736067
DOTKUT,Cu,+2,d9,,,0.6500,4.4900,-0.1249,0.6618,3.8400,False,639798160306
DOTNUX,Cu,+2,d9,N,1-1,0.4500,1.5200,-0.2596,0.2095,1.0700,False,261882623701
DOTPIN,Cu,+2,d9,,,7.4500,8.8800,0.8779,0.9533,1.4300,False,318218182153
DOTREM,Cu,+2,d9,,,4.7000,4.9700,0.6812,0.7050,0.2700,True,475019978643
DOVDEX,Cu,+2,d9,"N,O",1-1,1.1700,4.9400,0.1038,0.7024,3.7700,False,287322319926
DOVDEZ,Cd,,,,,4.8900,6.9100,0.6981,0.8457,2.0200,False,479194392531
DOVKAB,Mn,,,,,0.7600,1.0900,-0.0655,0.0755,0.3300,True,319230390983
DOVKUV,Mn,,,,,1.5600,3.7600,0.2201,0.5866,2.2000,False,724021027876
DOVPUC,Hg,,,,,1.3800,7.2000,0.1703,0.8633,5.8200,False,891397259187
DOVVAP,Cu,+2,d9,,,3.9300,6.1300,0.6053,0.7945,2.2000,False,583614038281
DOWLEK,Zn,+2,d10,,,0.6200,6.7200,-0.1427,0.8338,6.1000,False,658730663470
DOWQAH,Zn,+2,d10,,,4.7900,5.5900,0.6893,0.7551,0.8000,True,942532868777
DOXCAU,Co,+2,d7,"N,O",1-1,0.4700,4.9700,-0.2441,0.7050,4.5000,False,336078449577
DOXCAU10,Co,+2,d7,"N,O",1-1,0.4700,4.9700,-0.2441,0.7050,4.5000,False,336078449577
DOXGEC,Cu,+2,d9,"Cl,N",1-1,1.7500,7.8300,0.2672,0.8993,6.0800,False,397838951018
DOXGIG,Cu,+2,d9,"Cl,N",2-1-1,5.4700,6.7900,0.7459,0.8382,1.3200,False,190984582745
DOYPEM,Cu,+2,d9,"N,O",1-1,2.8900,3.9800,0.4757,0.6107,1.0900,False,182684417595
DPPFEO,Fe,+2,d6,"C,P",1-1,0.3400,5.6400,-0.3565,0.7589,5.3000,False,20167288318
DPPTFE,Fe,+2,d6,"C,S",1-1,0.4100,5.5300,-0.2924,0.7505,5.1200,False,190372495350
