pool_id,mof_source,hard_key_metal,hard_key_cn,hard_key_donor,n_candidates,n_positives,n_negatives
MOF_ABIYUJ,ABIYUJ,Zn+Zn,"4,4","N,N,N,N,O,O,O,O",45,24,12
MOF_ABOBIC,ABOBIC,Ni+Ni,"6,1","N,N,N,N,N,S,S",62,9,25
MOF_ABOBUQ,ABOBUQ,Ag+Ag,"2,1","N,N,N",25,4,5
MOF_ABOCUP,ABOCUP,Cu+Cu,"6,6","N,N,N,N,O,O,O,O,O,O",148,55,50
MOF_ABOKAD,ABOKAD,Ag+Ag,"2,1","N,N,N",25,4,5
MOF_ABOSET,ABOSET,Cu+Cu,"6,1","N,N,O,O,O,O,O",148,37,50
MOF_ABOSIX,ABOSIX,Cu+Cu,"5,5","N,N,N,N,O,O,O,O",148,16,93
MOF_ABOSOC,ABOSOC,Cu+Cu+Cu,"5,6,5","N,N,N,N,N,N,N,N,N,N,N,N,S,S,S,S",23,2,11
MOF_ABOSUJ,ABOSUJ,Cu+Cu,"6,6","N,N,N,N,O,O,O,O,O,O,O",148,1,87
MOF_ABOTUG,ABOTUG,Co+Co+Co+Co,"6,6,1,1","N,N,N,N,O,O,O,O,O,O,O,O,O,O",35,1,15
MOF_ABOTUG01,ABOTUG01,Co+Co,"6,6","N,N,N,N,O,O,O,O,O,O,O,O",64,19,9
MOF_ABOTUG02,ABOTUG02,Co+Co+Co+Co,"6,6,2,2","N,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O",35,1,9
MOF_ABOTUG03,ABOTUG03,Co+Co,"6,6","N,N,N,N,O,O,O,O,O,O",64,1,45
MOF_ABOWIA,ABOWIA,Cu+Cu,"4,4","N,N,N,N,N,N,N,N",148,47,55
MOF_ABUFOU,ABUFOU,Mn+Mn,"6,1","O,O,O,O,O,O,O",32,9,8
MOF_ABUFUA,ABUFUA,Fe+Fe,"6,1","O,O,O,O,O,O,O",75,5,30
MOF_ABUHAJ,ABUHAJ,Mn+Mn+Mn+Mn,"6,6,5,6","N,N,N,N,N,N,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O",11,4,1
MOF_ABULUG,ABULUG,Cd+Cd,"6,6","N,N,N,N,O,O,O,O,O,O,O,O",17,5,7
MOF_ABUQEU,ABUQEU,Ti+Ti,"5,2","O,O,O,O,O,O,O",18,1,5
MOF_ABZCUH,ABZCUH,Cd+Cd,"7,1","N,N,N,O,O,O,O,O",17,3,7
MOF_ABZCUH01,ABZCUH01,Cd+Cd,"7,1","N,N,N,O,O,O,O,O",17,3,7
MOF_ABZCUH02,ABZCUH02,Cd+Cd,"7,1","N,N,N,O,O,O,O,O",17,3,7
MOF_ABZCUH03,ABZCUH03,Cd+Cd,"7,1","N,N,N,O,O,O,O,O",17,3,7
MOF_ACABEM,ACABEM,Cu+Cu+Cu,"6,4,2","N,N,N,N,N,N,N,O,O,O,O,O",23,10,10
MOF_ACAGEQ,ACAGEQ,Ni+Ni,"6,1","N,N,N,N,N,N,N",62,15,24
MOF_ACAGOB,ACAGOB,Cd+Cd,"6,1","O,O,O,O,O,O,O",17,2,8
MOF_ACAJEU,ACAJEU,Cu+Cu,"6,2","N,N,N,N,N,N,N,N",148,47,55
MOF_ACAJIY,ACAJIY,Zn+Zn+Zn,"6,6,1","N,N,N,N,N,N,N,N,N,N,N,N,N",11,1,9
MOF_ACAJOG,ACAJOG,Cu+Cu+Cu,"5,5,5","N,N,N,N,N,N,O,O,O,O,O,O,O,O,O",23,9,10
MOF_ACAKEX,ACAKEX,Cu+Cu,"6,6","N,N,N,O,O,O,O,O,O,O",148,49,51
MOF_ACAKUO,ACAKUO,Cd+Cd,"6,1","N,N,O,O,O,O",17,1,15
MOF_ACALID,ACALID,Cd+Cd,"7,7","N,N,N,N,O,O,O,O,O,O,O,O,O,O",17,4,7
MOF_ACAQII,ACAQII,Cd+Cd,"7,7","N,N,N,N,O,O,O,O,O,O,O,O,O,O",17,4,7
MOF_ACASUT,ACASUT,Cu+Cu+Cu+Cu,"5,1,1,1","O,O,O,O,O,O,O,O",30,2,18
MOF_ACATIJ,ACATIJ,Ag+Ag,"3,3","N,N,N,N,O,O",25,8,5
MOF_ACAVOT,ACAVOT,Co+Co+Co,"6,4,4","N,N,O,O,O,O,O,O,O,O,O,O",11,2,4
MOF_ACBACU,ACBACU,Cu+Cu,"5,5","Br,Br,N,N,N,N,O,O,O,O",148,56,52
MOF_ACEBOA,ACEBOA,Cd+Cd,"6,1","N,N,N,N,O,O,O",17,5,9
MOF_ACEDUJ,ACEDUJ,Cu+Cu,"6,6","O,O,O,O,O,O,O,O,O,O,O,O",148,26,60
MOF_ACEKEZ,ACEKEZ,Mn+Mn,"7,7","N,N,O,O,O,O,O,O,O,O,O",32,1,19
MOF_ACEKOK,ACEKOK,Cd+Cd,"6,6","N,N,N,N,O,O,O,O,O,O,O,O",17,5,7
MOF_ACELIF,ACELIF,Ni+Ni,"6,6","N,N,N,N,O,O,O,O,O,O,O,O",62,15,18
MOF_ACEMAA,ACEMAA,Cu+Cu+Cu,"4,2,2","N,N,N,N,N",23,2,9
MOF_ACEMEE,ACEMEE,Cu+Cu+Cu,"4,2,2","N,N,N,N,N,N",23,2,9
MOF_ACEMII,ACEMII,Cu+Cu,"5,6","O,O,O,O,O,O,O,O,O,O,O",148,26,60
MOF_ACEPAD,ACEPAD,Ni+Ni,"6,6","O,O,O,O,O,O,O,O,O,O",62,6,42
MOF_ACEPIH,ACEPIH,Cu+Cu,"6,6","O,O,O,O,O,O,O,O,O,O,O,O",148,26,60
MOF_ACESAG,ACESAG,Cd+Cd,"6,6","N,N,N,N,O,O,O,O,O,O,O,O",17,5,7
MOF_ACETIP,ACETIP,Ag+Ag,"4,4","N,N,N,N,N,N,N,N",25,7,5
MOF_ACETOV,ACETOV,Ag+Ag,"4,4","N,N,N,N,N,N,N,N",25,7,5
MOF_ACEVIR,ACEVIR,Ag+Ag,"4,4","N,N,N,N,N,N,N,N",25,7,5
MOF_ACEVOX,ACEVOX,Ag+Ag,"3,3","N,N,N,N,O,O",25,8,5
MOF_ACEWAJ,ACEWAJ,Zn+Zn,"6,6","N,N,O,O,O,O,O",45,2,20
MOF_ACEWEN,ACEWEN,Zn+Zn,"6,6","N,N,O,O,O,O,O",45,1,20
MOF_ACEWIR,ACEWIR,Zn+Zn,"6,6","N,N,O,O,O,O,O",45,2,20
MOF_ACICOF,ACICOF,Zn+Zn,"6,1","N,N,N,O,O,O,O",45,20,12
MOF_ACIDAT,ACIDAT,Cu+Cu,"5,1","N,N,O,O,O,O",148,25,50
MOF_ACIJAX,ACIJAX,Cu+Cu,"6,6","N,N,N,N,N,N,N,N,O,O,O,O",148,49,49
MOF_ACIJEB,ACIJEB,Ni+Ni,"6,1","N,N,N,N,N,N,N",62,15,24
MOF_ACIQIN,ACIQIN,Mn+Mn,"6,6","N,N,N,N,O,O,O,O,O,O,O,O",32,16,7
MOF_ACIRIP,ACIRIP,Cd+Cd,"5,5","N,N,N,N,N,N,S,S,S,S",17,4,9
MOF_ACIROV,ACIROV,Ag+Ag,"4,1","N,N,N,O,O",25,8,5
MOF_ACISAK,ACISAK,Cd+Cd,"7,7","N,N,O,O,O,O,O,O,O,O,O,O,O,O",17,3,8
MOF_ACISEM,ACISEM,Cu+Cu,"4,4","Cl,Cl,Cl,Cl,N,N,N,N",148,28,53
MOF_ACISIQ,ACISIQ,Cu+Cu,"4,1","Cl,Cl,N,N,N",148,7,60
MOF_ACISOW,ACISOW,Zn+Zn,"4,4","N,N,N,N,N,N,N,N",45,9,14
MOF_ACITAK,ACITAK,Cu+Cu,"3,3","I,I,N,N,N,N",148,3,59
