S_Oh_bin_center,S_TPr_bin_center,count
2.68518519,15.30000000,3
2.68518519,15.90000000,2
2.68518519,17.10000000,1
2.68518519,17.70000000,2
2.87037037,9.30000000,1
2.87037037,9.90000000,1
2.87037037,10.50000000,4
2.87037037,11.10000000,3
2.87037037,11.70000000,7
2.87037037,12.30000000,1
2.87037037,13.50000000,1
2.87037037,15.30000000,1
2.87037037,16.50000000,1
3.05555556,9.90000000,3
3.05555556,10.50000000,3
3.05555556,11.10000000,4
3.05555556,12.30000000,2
3.24074074,9.90000000,2
3.24074074,11.10000000,1
3.24074074,11.70000000,2
3.24074074,14.10000000,1
3.24074074,15.90000000,1
3.24074074,16.50000000,1
3.42592593,9.90000000,1
3.42592593,11.70000000,2
3.61111111,9.30000000,2
3.61111111,10.50000000,2
3.61111111,11.10000000,1
3.79629630,15.30000000,1
3.98148148,9.90000000,1
3.98148148,15.90000000,1
4.16666667,10.50000000,1
4.35185186,9.30000000,1
4.72222223,11.70000000,1
