mol_id,cn,reference_a,reference_b,S_reference_a,S_reference_b,best_shape,best_cshm,second_shape,shape_margin,boundary_margin_lt_1
TULKUJ,4,SP,Td,0.2245340792169125,32.77326422525706,SP,0.2245340792169125,Td,32.54873014604014,False
TULNEU,4,SP,Td,0.027565028329202,33.35167752076356,SP,0.027565028329202,Td,33.32411249243436,False
TULQUO,4,SP,Td,0.4290754487202262,29.22280190121508,SP,0.4290754487202262,Td,28.79372645249485,False
TULRAV,4,SP,Td,0.3220328853606288,32.272775099076895,SP,0.3220328853606288,Td,31.950742213716268,False
TULVUS,4,SP,Td,22.865969009985488,6.798036945004021,Td,6.798036945004021,SP,16.067932064981466,False
TULXOQ,4,SP,Td,1.104231381676057,32.85072958907668,SP,1.104231381676057,Td,31.74649820740062,False
TULXUW,4,SP,Td,1.0939122914443298,33.74339993300595,SP,1.0939122914443298,Td,32.64948764156162,False
TULYEH,4,SP,Td,1.1164667135582125,33.846527768269745,SP,1.1164667135582125,Td,32.730061054711534,False
TULYIL,4,SP,Td,1.064284484207914,34.00752553499665,SP,1.064284484207914,Td,32.943241050788735,False
TULZEI,4,SP,Td,0.7486748334724198,30.508251975567344,SP,0.7486748334724198,Td,29.759577142094923,False
TULZIK,4,SP,Td,17.94189151610611,30.980863701278867,SP,17.94189151610611,Td,13.038972185172756,False
TUMBEL,4,SP,Td,1.2536710367609434,28.52177266266823,SP,1.2536710367609434,Td,27.268101625907285,False
TUMCOT,4,SP,Td,1.3732439476300102,33.31951625115964,SP,1.3732439476300102,Td,31.946272303529632,False
TUMFAK,4,SP,Td,2.4619511229927413,33.41318828930574,SP,2.4619511229927413,Td,30.951237166313,False
TUMGUE,4,SP,Td,0.0952351988518232,33.36900895451213,SP,0.0952351988518232,Td,33.27377375566031,False
TUMHAL,4,SP,Td,0.1710689748879304,32.990944709546355,SP,0.1710689748879304,Td,32.819875734658424,False
TUMHEP,4,SP,Td,0.106998098910788,33.22283039946976,SP,0.106998098910788,Td,33.11583230055897,False
TUMKAN,4,SP,Td,0.5190703529279546,30.61053695022499,SP,0.5190703529279546,Td,30.091466597297035,False
TUMLAO,4,SP,Td,0.3262989429789555,32.94625000265897,SP,0.3262989429789555,Td,32.61995105968001,False
