family,size,metals,cns,L0_match,L1_match,L2_match,L3_match,n_boundary,n_unique_L0,n_unique_L1,n_unique_L2,n_unique_L3
ATUBOI,2,Fe,6,0.0,1.0,0.0,0.0,0,2,1,2,2
AVAMEQ,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AVEVON,2,Pt,4,1.0,1.0,1.0,1.0,0,1,1,1,1
AVUJEG,2,Cu,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AVUNOU,2,Ni,6,0.0,1.0,1.0,1.0,0,2,1,1,1
AVUPIQ,2,Cu,6,1.0,1.0,1.0,1.0,0,1,1,1,1
AVUTOC,2,Cu,4,0.0,0.0,1.0,1.0,0,2,2,1,1
AVUWET,2,Co,6,0.0,1.0,0.0,0.0,0,2,1,2,2
AWIGOC,2,Pd,4,0.0,0.0,0.0,0.0,0,2,2,2,2
AWODUL,2,Co,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AWOKUS,2,Cu,6,1.0,1.0,1.0,1.0,0,1,1,1,1
AWONUW,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AWOPAD,2,Cd,6,1.0,1.0,1.0,1.0,0,1,1,1,1
AWOSUB,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AWUFAA,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
AWUJIO,2,Mn,4,1.0,1.0,1.0,1.0,0,1,1,1,1
AWUKEK,2,Fe,6,0.0,0.0,1.0,1.0,0,2,2,1,1
AWUTAN,2,Ni,4,0.0,0.0,0.0,0.0,0,2,2,2,2
AXALIU,2,Ni,6,0.0,0.0,0.0,0.0,0,2,2,2,2
