family,size,metals,cns,L0_match,L1_match,L2_match,L3_match,n_boundary,n_unique_L0,n_unique_L1,n_unique_L2,n_unique_L3
CUQFUR,2,Ni,4,0.0,0.0,1.0,1.0,0,2,2,1,1
CUQHUU,2,Ir,5,0.0,1.0,1.0,1.0,0,2,1,1,1
CURTAK,2,W,6,1.0,1.0,1.0,1.0,0,1,1,1,1
CUTROP,2,Cu,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CUXKUD,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CUXLIS,2,Ir,6,0.0,0.0,1.0,1.0,0,2,2,1,1
CUYHIN,2,Zr,6,1.0,1.0,1.0,1.0,0,1,1,1,1
CUYPUK,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
CUYXUP,2,Pt,4,1.0,1.0,1.0,1.0,0,1,1,1,1
CXAPCU,2,Cu,4,0.0,0.0,1.0,1.0,0,2,2,1,1
CYPYZN,2,Zn,4,0.0,0.0,1.0,1.0,0,2,2,1,1
DABRUW,2,Cu,6,1.0,1.0,1.0,1.0,0,1,1,1,1
DABZUE,2,V,6,1.0,1.0,1.0,1.0,0,1,1,1,1
DACZOY,2,Mo,6,0.0,0.0,0.0,1.0,1,2,2,2,1
DADFOF,2,Fe,6,0.0,0.0,0.0,0.0,0,2,2,2,2
DADGAS,2,Fe,6,0.0,0.0,1.0,1.0,1,2,2,1,1
DAFKAW,2,Cu,6,0.0,0.0,0.0,0.0,0,2,2,2,2
DAFKUQ,2,Cu,4;5,0.0,0.0,0.0,0.0,0,2,2,2,2
DAFYIT,2,Co,6,0.0,1.0,1.0,1.0,0,2,1,1,1
DAGBIY,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DAGJEA,2,Hf,6,0.0,0.0,0.0,1.0,0,2,2,2,1
DAGLED,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DAGMUT,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DAGMUV,2,Zn,4,0.0,0.0,0.0,0.0,1,2,2,2,2
DAGTAG,2,Cu,6,0.0,0.0,1.0,1.0,0,2,2,1,1
DAHROU,2,Co,6,0.0,1.0,1.0,1.0,0,2,1,1,1
DAHXUF,2,Os,6,0.0,0.0,0.0,0.0,0,2,2,2,2
DAJLUV,2,Os,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DAKHOO,2,Ni,6,1.0,1.0,1.0,1.0,0,1,1,1,1
DAKNOS,2,Pt,4,1.0,1.0,1.0,1.0,0,1,1,1,1
DAKZUK,2,Co,6,0.0,0.0,1.0,1.0,0,2,2,1,1
DALSAL,2,V,6,0.0,0.0,1.0,1.0,1,2,2,1,1
DAPCUN,2,Cu,6,0.0,0.0,1.0,1.0,1,2,2,1,1
DAPMUC,2,Cr,5,0.0,1.0,1.0,1.0,2,2,1,1,1
DAPQAN,2,Zn,6,1.0,1.0,1.0,1.0,0,1,1,1,1
DASGIP,2,Nb,6,0.0,1.0,1.0,1.0,0,2,1,1,1
DASGOV,2,Ta,6,0.0,0.0,0.0,1.0,0,2,2,2,1
DASXAA,2,Fe,6,0.0,0.0,0.0,0.0,0,2,2,2,2
DASXEE,2,Fe,6,1.0,1.0,1.0,1.0,0,1,1,1,1
DAVDOX,2,Mn,6,0.0,0.0,1.0,1.0,0,2,2,1,1
DAWFAM,2,Pt,2,0.0,1.0,1.0,1.0,0,2,1,1,1
DAWGIR,2,Co,6,1.0,1.0,1.0,1.0,0,1,1,1,1
DAXKUM,2,Zn,4,1.0,1.0,1.0,1.0,0,1,1,1,1
DAXMEU,2,Cu,6,0.0,1.0,1.0,1.0,0,2,1,1,1
DAYDIT,2,Co,6,1.0,1.0,1.0,1.0,0,1,1,1,1
DAYFIU,2,Zn,4,0.0,0.0,0.0,1.0,2,2,2,2,1
DAYHAM,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DAYHIW,2,Zn,6,0.0,0.0,0.0,1.0,1,2,2,2,1
DAYKUL,2,Cu,6,0.0,0.0,1.0,1.0,0,2,2,1,1
DAYNEY,2,Cu,6,1.0,1.0,1.0,1.0,0,1,1,1,1
DAYTEC,2,Cu,5,0.0,0.0,0.0,0.0,0,2,2,2,2
DAZNEY,2,Cu,5,0.0,0.0,0.0,1.0,1,2,2,2,1
DAZXIO,2,Cu,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DCAZPD,2,Pd,4,1.0,1.0,1.0,1.0,0,1,1,1,1
DEBDOH,2,Cu,4,0.0,0.0,1.0,1.0,0,2,2,1,1
DEBFOF,2,Pd,4,0.0,0.0,0.0,1.0,0,2,2,2,1
DEBXUD,2,Pt,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DECCUJ,2,Au,2,1.0,1.0,1.0,1.0,0,1,1,1,1
DECDEV,2,Cu,5,0.0,1.0,1.0,1.0,0,2,1,1,1
DECXEP,2,Co,6,0.0,1.0,1.0,1.0,0,2,1,1,1
DEDGIG,2,Mn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DEFSAJ,2,Cu,4;6,0.0,0.0,0.0,0.0,0,2,2,2,2
DEFWUJ,2,Co,6,0.0,0.0,1.0,1.0,0,2,2,1,1
DEGGIF,2,Mn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DEGPAG,2,Pt,4,1.0,1.0,1.0,1.0,0,1,1,1,1
DEGVET,2,Mn,6,0.0,1.0,1.0,1.0,0,2,1,1,1
DEHDIE,2,Ag,2,1.0,1.0,1.0,1.0,0,1,1,1,1
DEJBOK,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DEJTAN,2,Rh,4,1.0,1.0,1.0,1.0,0,1,1,1,1
DEKHIK,2,Fe,6,0.0,0.0,0.0,1.0,1,2,2,2,1
DELCON,2,Ni,6,0.0,0.0,0.0,0.0,0,2,2,2,2
DELTIY,2,Zn,5,0.0,0.0,1.0,1.0,1,2,2,1,1
DELYEZ,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DEPBEF,2,Pt,6,0.0,0.0,1.0,1.0,1,2,2,1,1
DEPLAL,2,Cu,4,0.0,0.0,0.0,0.0,0,2,2,2,2
DEPXAX,2,Pd,4,1.0,1.0,1.0,1.0,0,1,1,1,1
DEQPAT,2,Fe,6,0.0,1.0,1.0,1.0,0,2,1,1,1
DERQIA,2,Hg,4,0.0,0.0,1.0,1.0,0,2,2,1,1
DESKAQ,2,Ru,4,0.0,0.0,0.0,0.0,0,2,2,2,2
DEVMIB,2,Zn,6,1.0,1.0,1.0,1.0,0,1,1,1,1
DEWKUL,2,Ni,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DEXPIF,2,Co,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DEXPOL,2,Co,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DEXPOM,2,Cu,5,1.0,1.0,1.0,1.0,0,1,1,1,1
DEYBIU,2,Pd,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DEYDIW,2,Zn,4,0.0,1.0,1.0,1.0,0,2,1,1,1
DEZPEE,2,Cd,6,0.0,0.0,1.0,1.0,0,2,2,1,1
