refcode,metal_count,metals,candidate_type,bridge_count,bridge_types,has_mu2,has_mu3,has_mu4_or_higher,has_metal_metal_contact,has_direct_MM_bond,local_CNs,local_shapes,parse_valid,roundtrip_valid,metal_order_invariant,atom_order_invariant,ligand_order_invariant,bridge_consistency_valid,local_sphere_consistency_valid,L0_present,L1_present,L2_present,L3_present,record_generated,failure_stage,failure_reason,manual_audit_priority
TOGPEM,3,Zn+Zn+Zn,multi,0,,False,False,False,False,False,"1,1,4",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
JAQDIO,2,Cd+Cd,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
BADMOL,5,Cu+Fe+Fe+Fe+Fe,multi,0,,False,False,False,False,False,"4,3,3,3,3",",,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
FETSEF10,17,Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Fe+Y+Y+Y+Y,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_17,medium
GIHMIX,11,Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr+Zr,multi,0,,False,False,False,False,False,"1,1,1,1,1,1,4,4,8,8,8",",,,,,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
REYZOO,2,Ni+Ni,multi,0,,False,False,False,False,False,"1,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
KEJHUD,2,Cu+Cu,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
FUTRIV,2,Cu+Cu,multi,0,,False,False,False,False,False,"1,2",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
BENQOB,2,Pt+Pt,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
NALBUY,2,Co+Co,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
AMUXIQ,62,Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+Mn+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_62,medium
GUPQEP,2,Ni+Ni,multi,0,,False,False,False,False,False,"3,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
UTIRIB,3,Rh+Rh+Rh,multi,0,,False,False,False,False,False,"5,5,5",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
VILFOL,4,Cu+Cu+Cu+W,multi,0,,False,False,False,False,False,"4,4,4,4",",,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
KEGROD,2,Os+Os,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
EXEQII,9,Sc+Sc+Sc+Sc+Sc+Sc+Sc+Sc+Sc,multi,0,,False,False,False,False,False,"1,1,1,1,1,2,2,6,6",",,,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
NAKGAH,2,Mo+Mo,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
UJEXEM,2,Fe+Fe,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,site_detection,no_sites_found,medium
ZIZQEI,3,Au+Au+Ni,multi,0,,False,False,False,False,False,"3,3,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
IJEKAM,3,Cu+Cu+Cu,multi,0,,False,False,False,False,False,"1,2,4",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
OJOBAS,10,Co+Co+Co+Co+Co+Co+Co+Co+Co+Co,multi,0,,False,False,False,False,False,"1,1,1,1,1,1,3,6,6,6",",,,,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
BULKOM,7,Cu+Cu+Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"1,2,2,2,2,6,6",",,,,,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
WIZLOK,3,Co+Co+Co,multi,0,,False,False,False,False,False,"4,6,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
YIWQIF,2,Pt+Pt,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
DINRUQ,18,W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_18,medium
VIZVOP,4,Fe+Fe+Fe+Fe,multi,0,,False,False,False,False,False,"6,6,7,7",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZEDCUK03,9,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu+Pd,multi,0,,False,False,False,False,False,"4,4,4,4,4,4,4,4,4",",,,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ZOVSAH,8,Cu+Cu+Cu+Cu+Cu+Cu+Cu+Cu,multi,0,,False,False,False,False,False,"5,5,5,5,5,5,5,6",",,,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
QOBWOU,6,Cu+Cu+V+V+V+V,multi,0,,False,False,False,False,False,"4,4,4,4,4,4",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
XIHRIQ,7,Co+Co+Co+Co+Co+Co+Co,multi,0,,False,False,False,False,False,"1,1,1,1,1,6,6",",,,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
SEFFIW,6,Ir+Ir+Ir+Ir+Ir+Ir,multi,0,,False,False,False,False,False,"3,3,3,3,3,3",",,,,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
NACKEH,2,Cu+Cu,multi,0,,False,False,False,False,False,"2,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
KADWOE,2,Cu+Cu,multi,0,,False,False,False,False,False,"2,2",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
KEQCUH,2,Zn+Zn,multi,0,,False,False,False,False,False,"5,5",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
SAWLEK,3,Ni+Ni+Ni,multi,0,,False,False,False,False,False,"1,1,6",",,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
VUNJOF,2,Ni+Ni,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ITILOP,2,Cu+Cu,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
RAHYUX,2,Cu+Cu,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
PYTCCO01,2,Co+Co,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
VUSPIK01,2,Rh+Rh,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
JUYBOW,4,Zn+Zn+Zn+Zn,multi,0,,False,False,False,False,False,"1,1,4,4",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
ATAHEI,4,V+V+V+V,multi,0,,False,False,False,False,False,"1,1,1,6",",,,",True,True,True,True,True,True,True,True,True,True,True,True,,,low
YOBVET,2,Ru+Ru,multi,0,,False,False,False,False,False,"6,6",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
GETDAM,2,Ni+W,multi,0,,False,False,False,False,False,"5,7",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
BULCIX,4,Co+Co+Co+Co,multi,0,,False,False,False,False,False,"6,6,6,6",",,,",True,False,False,False,False,True,True,True,True,True,True,False,validation,roundtrip_valid;metal_order_invariant;atom_order_invariant;ligand_order_invariant,high
YOHJOV,2,Ni+Ni,multi,0,,False,False,False,False,False,"4,4",",",True,True,True,True,True,True,True,True,True,True,True,True,,,low
UDICUG,62,W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+W+Zr+Zr,multi,0,,False,False,False,False,False,,,,,,,,,,,,,,False,metal_count,too_many_metals_62,medium
