complex_id,metal,CN,metal_row,n_decoys,ranker_finetuned_mrr,ranker_finetuned_margin,mlm_pll_top1,bl_rule_validator_top1
tmqm_1088,Zr,13,4d,15,0.2,-1.5202,0,0
tmqm_3611,Re,10,5d,13,0.1111,-1.5199,0,0
tmqm_958,Ti,5,3d,15,0.1667,-1.5164,0,0
tmqm_4154,Re,6,5d,15,0.1667,-1.5137,0,0
tmqm_6366,Fe,10,3d,17,0.1667,-1.5135,0,0
tmqm_234,Y,8,4d,14,0.25,-1.5124,0,0
tmqm_5205,Fe,8,3d,14,0.2,-1.5115,0,0
tmqm_8918,Ir,6,5d,15,0.1111,-1.5109,0,0
tmqm_6055,Fe,3,3d,14,0.125,-1.5054,0,0
tmqm_4509,Mn,5,3d,17,0.1667,-1.502,0,0
tmqm_8511,Co,10,3d,17,0.0769,-1.4922,0,1
tmqm_5201,Os,7,5d,17,0.125,-1.4917,0,0
tmqm_2790,Mo,6,4d,17,0.2,-1.485,0,0
tmqm_6337,Os,7,5d,15,0.25,-1.4727,0,0
tmqm_7892,Ru,7,4d,17,0.125,-1.4686,0,0
tmqm_2141,Mo,7,4d,15,0.2,-1.4676,0,1
tmqm_1286,Zr,6,4d,14,0.1667,-1.4662,0,0
tmqm_5734,Ru,5,4d,15,0.25,-1.4561,0,0
tmqm_7518,Fe,6,3d,17,0.125,-1.4556,0,0
tmqm_2687,W,5,5d,15,0.1111,-1.4521,0,0
tmqm_4250,Re,5,5d,15,0.2,-1.4476,0,0
tmqm_9316,Ir,8,5d,15,0.1111,-1.4468,0,0
