subset,model,fold,seed,target,n_graph_groups,n_pairs,n_member_records,true_abs_delta_mean,pair_delta_mae,pair_concordance_ties_half,pair_tie_fraction
S1,schnet_3d,0,33,hl_gap_ev,46,71,106,0.2170663778611127,0.23116406237630927,0.4225352112676056,0.0
S1,schnet_3d,1,11,dipole_moment,61,105,145,5.21434380952381,0.7800722566986085,0.9809523809523809,0.0
S1,schnet_3d,1,11,hl_gap_ev,57,91,143,0.23083628270825274,0.19629510014412435,0.7032967032967034,0.0
S1,schnet_3d,1,22,dipole_moment,61,105,145,5.21434380952381,0.8488415120479039,0.9809523809523809,0.0
S1,schnet_3d,1,22,hl_gap_ev,57,91,143,0.23083628270825274,0.27148603835795343,0.5494505494505495,0.0
S1,schnet_3d,1,33,dipole_moment,61,105,145,5.21434380952381,1.0066008043016705,0.9904761904761905,0.0
S1,schnet_3d,1,33,hl_gap_ev,57,91,143,0.23083628270825274,0.22269801274766327,0.6263736263736264,0.0
S1,schnet_3d,2,11,dipole_moment,52,76,121,4.390015789473685,0.634316403077778,0.9736842105263158,0.0
S1,schnet_3d,2,11,hl_gap_ev,46,72,107,0.25224577114112495,0.3971551062745622,0.4583333333333333,0.0
S1,schnet_3d,2,22,dipole_moment,52,76,121,4.390015789473685,0.7458472492669758,1.0,0.0
S1,schnet_3d,2,22,hl_gap_ev,46,72,107,0.25224577114112495,0.32412014221345414,0.5,0.0
S1,schnet_3d,2,33,dipole_moment,52,76,121,4.390015789473685,1.3081676632278845,0.9078947368421053,0.0
S1,schnet_3d,2,33,hl_gap_ev,46,72,107,0.25224577114112495,0.27657436021204546,0.5833333333333334,0.0
S1,schnet_3d,3,11,dipole_moment,45,57,102,4.7027947368421055,1.2875058455952424,0.9824561403508771,0.0
S1,schnet_3d,3,11,hl_gap_ev,43,56,98,0.4714907176488929,0.43804473204316974,0.75,0.0
S1,schnet_3d,3,22,dipole_moment,45,57,102,4.7027947368421055,1.2737510727263333,0.9824561403508771,0.0
S1,schnet_3d,3,22,hl_gap_ev,43,56,98,0.4714907176488929,0.4546423342920967,0.6071428571428571,0.0
S1,schnet_3d,3,33,dipole_moment,45,57,102,4.7027947368421055,1.0395619250381203,1.0,0.0
