complex_id,metal,CN,metal_row,ranker_base_top1,ranker_base_mrr,ranker_base_win_rate,minphys_only_top1,minphys_only_mrr,minphys_only_win_rate,ranker_minphys_top1,ranker_minphys_mrr,ranker_minphys_win_rate,shuffled_minphys_top1,shuffled_minphys_mrr,shuffled_minphys_win_rate
tmqm_8687,Co,8,3d,0,0.1,0.4706,0,0.0714,0.2353,0,0.1,0.4706,0,0.1111,0.5294
tmqm_123,Y,7,4d,0,0.125,0.5,0,0.0667,0.0,0,0.1429,0.5714,0,0.5,0.9286
tmqm_7643,Ru,7,4d,0,0.25,0.8235,0,0.0625,0.1176,0,0.1667,0.7059,0,0.2,0.7647
tmqm_9115,Ir,7,5d,0,0.0909,0.4118,0,0.0625,0.1176,0,0.0909,0.4118,0,0.0909,0.4118
tmqm_3225,Mo,6,4d,0,0.25,0.8,0,0.1,0.4,0,0.3333,0.8667,0,0.3333,0.8667
tmqm_7852,Fe,4,3d,0,0.125,0.5,0,0.0667,0.0,0,0.125,0.5,0,0.25,0.7857
tmqm_822,Zr,6,4d,0,0.1429,0.6471,0,0.0667,0.1765,0,0.1667,0.7059,0,0.1111,0.5294
tmqm_8008,Ru,5,4d,0,0.2,0.7143,0,0.0769,0.1429,0,0.2,0.7143,0,0.2,0.7143
tmqm_940,Zr,8,4d,0,0.1429,0.5714,0,0.0833,0.2143,0,0.1111,0.4286,0,0.125,0.5
tmqm_3015,Mo,9,4d,0,0.2,0.7143,0,0.0714,0.0714,0,0.1429,0.5714,0,0.1429,0.5714
tmqm_1893,Mo,8,4d,0,0.1667,0.6429,0,0.0667,0.0,0,0.25,0.7857,0,0.125,0.5
tmqm_2141,Mo,7,4d,0,0.1667,0.6667,0,0.0714,0.1333,0,0.125,0.5333,0,0.125,0.5333
tmqm_3197,Cr,6,3d,0,0.125,0.5882,0,0.0714,0.2353,0,0.1667,0.7059,0,0.1667,0.7059
tmqm_5454,Fe,7,3d,0,0.1111,0.5294,0,0.0714,0.2353,0,0.1111,0.5294,0,0.125,0.5882
tmqm_4412,Re,8,5d,0,0.1429,0.6471,0,0.0588,0.0588,0,0.1667,0.7059,0,0.1667,0.7059
tmqm_2510,W,11,5d,0,0.0909,0.3333,0,0.0769,0.2,0,0.1429,0.6,0,0.1,0.4
tmqm_9096,Ir,7,5d,0,0.0833,0.2667,0,0.0625,0.0,0,0.1,0.4,0,0.0833,0.2667
tmqm_1868,Cr,7,3d,0,0.1667,0.6667,0,0.0769,0.2,0,0.1429,0.6,0,0.1111,0.4667
tmqm_4025,Mn,8,3d,0,0.1429,0.6471,0,0.0556,0.0,0,0.125,0.5882,0,0.1111,0.5294
tmqm_1586,V,7,3d,0,0.1429,0.5714,0,0.0667,0.0,0,0.1429,0.5714,0,0.1429,0.5714
tmqm_1897,Mo,6,4d,0,0.2,0.7647,0,0.0667,0.1765,0,0.1667,0.7059,0,0.125,0.5882
tmqm_2137,W,7,5d,0,0.5,0.9412,0,0.0833,0.3529,0,0.2,0.7647,0,0.5,0.9412
tmqm_4409,Mn,8,3d,0,0.0833,0.3529,0,0.0556,0.0,0,0.1,0.4706,0,0.0909,0.4118
tmqm_7709,Ru,3,4d,0,0.2,0.7143,0,0.0667,0.0,0,0.1429,0.5714,0,0.2,0.7143
tmqm_5545,Ru,9,4d,0,0.25,0.8,0,0.0769,0.2,0,0.2,0.7333,0,0.2,0.7333
tmqm_9772,Rh,8,4d,0,0.0909,0.3333,0,0.0625,0.0,0,0.0909,0.3333,0,0.0833,0.2667
tmqm_8538,Rh,8,4d,0,0.0833,0.2667,0,0.0833,0.2667,0,0.0769,0.2,0,0.0769,0.2
tmqm_5205,Fe,8,3d,0,0.1429,0.5714,0,0.0667,0.0,0,0.1429,0.5714,0,0.1429,0.5714
tmqm_9433,Rh,8,4d,0,0.0769,0.2941,0,0.0667,0.1765,0,0.0769,0.2941,0,0.0769,0.2941
tmqm_8451,Ir,8,5d,0,0.1111,0.4286,0,0.0833,0.2143,0,0.125,0.5,0,0.1111,0.4286
tmqm_3175,W,6,5d,0,0.25,0.8235,0,0.0833,0.3529,0,0.25,0.8235,0,0.3333,0.8824
tmqm_4485,Tc,6,4d,0,0.1429,0.6471,0,0.0769,0.2941,0,0.1111,0.5294,0,0.1667,0.7059
tmqm_1838,Mo,12,4d,0,0.1111,0.4286,0,0.0714,0.0714,0,0.1667,0.6429,0,0.125,0.5
tmqm_2025,Cr,4,3d,0,0.1667,0.6667,0,0.0714,0.1333,0,0.1429,0.6,0,0.1667,0.6667
tmqm_174,La,7,5d,0,0.3333,0.8571,0,0.0833,0.2143,0,0.1429,0.5714,0,0.125,0.5
tmqm_5625,Ru,6,4d,0,0.2,0.7647,0,0.0833,0.3529,0,0.1667,0.7059,1,1.0,1.0
tmqm_4884,Ru,6,4d,0,0.25,0.8235,0,0.0625,0.1176,0,0.2,0.7647,0,0.25,0.8235
tmqm_8912,Co,6,3d,0,0.1111,0.4286,0,0.0833,0.2143,0,0.1111,0.4286,0,0.125,0.5
tmqm_2501,W,9,5d,0,0.1667,0.7059,0,0.0714,0.2353,0,0.1667,0.7059,0,0.1667,0.7059
tmqm_9229,Rh,5,4d,0,0.0909,0.2857,0,0.0909,0.2857,0,0.0769,0.1429,0,0.0909,0.2857
