refcode,metal,CN,S_SP,S_Td,log_S_SP,log_S_Td
VERVEW,Ag,4,3.8000,2.2300,0.5911,0.3674
DUDGER,Co,4,2.7200,0.0500,0.4502,-0.8239
QEDGIP,Pd,4,3.2000,0.4100,0.5185,-0.2924
SACJOY,Ni,4,3.1200,0.3200,0.5079,-0.3768
HUPTIW,Cu,4,3.1400,0.2700,0.5105,-0.4318
WASXAQ,Cd,4,2.6700,0.0800,0.4425,-0.7447
BITMUP,Hf,4,3.1000,0.3000,0.5051,-0.3979
XOFKEL,Pd,4,9.6700,3.1100,0.9899,0.5065
SIZXUU,Co,4,3.2400,0.0200,0.5237,-0.9208
LABYEU,Pt,4,8.4700,3.1100,0.9330,0.5065
QIDVUV,Ni,4,7.3900,2.7100,0.8745,0.4487
XARGIH,Ni,4,10.1900,9.0400,1.0124,0.9609
BANMAF,Pd,4,3.1800,0.4000,0.5159,-0.3010
CATJIR,Ni,4,2.8700,0.2500,0.4728,-0.4559
RAMSEH,Zn,4,3.7000,1.9800,0.5798,0.3181
OJILOL,Ir,4,3.0000,0.1700,0.4914,-0.5686
PEMJOI01,Pt,4,9.9400,3.2000,1.0017,0.5185
YIXSOP,Pd,4,3.0700,0.2200,0.5011,-0.4949
DOZQAL,Cu,4,3.1800,0.3800,0.5159,-0.3188
RIMQAF,Co,4,2.8500,0.0100,0.4698,-0.9586
PUXCOD,Nb,4,5.1900,1.3500,0.7235,0.1614
CIWNEF,Fe,4,2.7600,0.0000,0.4564,-1.0000
COXWEU,Ni,4,8.3900,2.9300,0.9289,0.4814
LOPJEI,Zn,4,9.3200,12.0600,0.9741,1.0849
VUKYUV,Pt,4,8.6200,3.0700,0.9405,0.5011
FENCOR,Ni,4,9.0000,2.9000,0.9590,0.4771
CEMSIZ,Cu,4,2.0700,1.3400,0.3365,0.1584
EMEMAL,Cu,4,10.9000,14.7400,1.0414,1.1714
KAJKUF,Ni,4,7.2200,4.9400,0.8645,0.7024
WIFWAK,Pt,4,3.0200,0.1800,0.4942,-0.5528
WUCLIS,Au,4,8.4100,2.9000,0.9299,0.4771
VAFLIX,Zn,4,2.8000,0.3000,0.4624,-0.3979
TIHPOP,Pt,4,9.3200,2.9200,0.9741,0.4800
LUFPAG,Pt,4,3.3900,0.5900,0.5428,-0.1612
NOKKEF,Zn,4,2.7900,0.0100,0.4609,-0.9586
VIJLOQ,Cu,4,9.4800,7.5700,0.9814,0.8848
SUMMOG,Pd,4,9.1900,13.4700,0.9680,1.1326
KOXJAL,Cu,4,3.4400,0.9600,0.5490,0.0253
QELTUW,Pt,4,8.7900,2.9000,0.9489,0.4771
SAHBIP,Ru,4,2.8800,0.0000,0.4742,-1.0000
VOWPII,Cu,4,3.2400,0.4600,0.5237,-0.2518
PIGZAI,Pd,4,7.4000,2.3200,0.8751,0.3838
DIGJIO,Cu,4,6.2400,2.1500,0.8021,0.3522
EBGUNI,Ni,4,8.9400,2.9000,0.9562,0.4771
XIPQUL,Cu,4,12.6400,6.1700,1.1052,0.7973
XEYBOT,Pd,4,2.9200,0.0700,0.4800,-0.7696
TIWWOL,Rh,4,5.2000,5.7000,0.7243,0.7634
HONKEB,Pd,4,3.2600,0.4900,0.5263,-0.2291
PIGQIH,Zn,4,5.5100,1.2100,0.7490,0.1173
QEBQOF,Pd,4,9.2600,3.2500,0.9713,0.5250
IDOWOP,Cd,4,3.4700,0.0400,0.5527,-0.8539
OWUVEK,Pd,4,3.1800,0.3600,0.5159,-0.3372
MEHHUF,Cu,4,8.7100,13.1500,0.9450,1.1222
QELLEZ,Ir,4,3.1700,0.3600,0.5145,-0.3372
OGOLEC,Pt,4,8.2900,2.9000,0.9238,0.4771
OZALIL,Pt,4,8.7200,3.0100,0.9455,0.4928
DEMZOL,Pt,4,7.7600,3.1000,0.8954,0.5051
LEWNOT,Co,4,7.8800,4.6500,0.9020,0.6767
PEQPAF,Pt,4,2.9500,0.0600,0.4843,-0.7959
LEWLIK,Cu,4,2.8800,0.0000,0.4742,-1.0000
XUHKIY,Pt,4,12.1500,4.4100,1.0881,0.6542
JARFIV,Pd,4,3.2300,0.4500,0.5224,-0.2596
NIJHEW,Pd,4,10.7800,3.3000,1.0366,0.5315
FIGKAH,Pt,4,8.4600,5.8400,0.9325,0.7738
YIZLOJ,Pd,4,9.2100,3.0000,0.9689,0.4914
QUVWOU,Pd,4,8.7100,2.8800,0.9450,0.4742
CESFUD,Pt,4,8.5200,2.9400,0.9355,0.4829
DAWQEA,Cu,4,5.6200,1.1000,0.7574,0.0792
CUVLOU01,Cu,4,1.2000,0.5900,0.1139,-0.1612
DEDSAH,Co,4,2.5500,0.1100,0.4232,-0.6778
PIQTOY01,Zn,4,2.8900,0.1900,0.4757,-0.5376
DEWKUL,Ni,4,2.9300,0.0500,0.4814,-0.8239
NIDCAR45,Ni,4,8.8700,21.6200,0.9528,1.3369
EQIRIF,Pd,4,7.5900,3.0900,0.8859,0.5038
TOTKUI,Pd,4,3.0300,0.1900,0.4955,-0.5376
CAQSAR,Pt,4,8.5800,2.8800,0.9385,0.4742
VAKYEN,Cu,4,7.5800,9.9500,0.8854,1.0022
TURKIA,Pd,4,8.3500,3.0700,0.9269,0.5011
TURNOK,Rh,4,8.9200,3.0900,0.9552,0.5038
LUXJOH,Pd,4,3.2700,0.4800,0.5276,-0.2366
YADDEQ,Pt,4,9.3800,3.0100,0.9768,0.4928
EJANOT,Au,4,8.8200,2.9900,0.9504,0.4900
OSUQEZ,Ni,4,8.0700,2.9000,0.9122,0.4771
MOYWIG,Pd,4,9.8200,3.2100,0.9965,0.5198
XUJGAO,Mn,4,2.4400,0.0300,0.4048,-0.8861
PAYKEH,Ni,4,8.7700,2.6700,0.9479,0.4425
BUFZIN,Au,4,3.1400,0.3000,0.5105,-0.3979
ZECYUF,Au,4,8.5500,3.0900,0.9370,0.5038
ZISROK,Fe,4,2.1200,0.7200,0.3464,-0.0862
LEWHOO,Pd,4,2.9900,0.1400,0.4900,-0.6198
MORKAH,Pd,4,9.6800,3.2300,0.9903,0.5224
DODJOW,Ni,4,2.6900,0.0400,0.4456,-0.8539
UQIZEC,Ni,4,7.7500,2.7400,0.8949,0.4533
SAPTEK,Pt,4,2.8800,0.0700,0.4742,-0.7696
HOBFUA,Co,4,12.5400,8.8700,1.1017,0.9528
FIRWAF,Au,4,8.5700,3.2400,0.9380,0.5237
XIXFUG,Pt,4,9.5900,3.0800,0.9863,0.5024
RAYTAP,Ni,4,8.4700,3.1100,0.9330,0.5065
IBAMAB,Pd,4,8.4100,2.8800,0.9299,0.4742
DPPNFE,Fe,4,2.5500,0.6700,0.4232,-0.1135
MOHNUU,Pt,4,3.8500,0.8400,0.5966,-0.0269
TOSXEI,Zn,4,3.4400,1.1400,0.5490,0.0934
NELDUF,Ni,4,8.2000,2.9700,0.9191,0.4871
EBUJUJ,Pd,4,9.5600,3.1900,0.9850,0.5172
KAWBOA01,Ni,4,2.9200,0.0400,0.4800,-0.8539
ULUNUK,Pd,4,3.0900,0.2900,0.5038,-0.4089
ICICOP,Cu,4,7.9600,1.4500,0.9063,0.1903
PICNIY,Au,4,9.1000,2.9300,0.9638,0.4814
TUNCAJ,Pt,4,2.8800,0.0000,0.4742,-1.0000
WETGEI,Ni,4,4.4400,1.1800,0.6571,0.1072
WALYAL,Pt,4,8.4300,2.9800,0.9309,0.4886
YAYYED,Zn,4,2.0700,0.3600,0.3365,-0.3372
XANWAL,Pt,4,10.0300,3.0900,1.0056,0.5038
TOVVOP,V,4,2.8900,0.2600,0.4757,-0.4437
AYENEX,Pt,4,3.0900,0.3700,0.5038,-0.3279
VUNQOL,Ni,4,2.8900,0.0100,0.4757,-0.9586
XIZWAI,Co,4,1.8600,0.4000,0.2923,-0.3010
YUGLOB,Cu,4,5.1800,2.4100,0.7226,0.3997
JOQZAS,Fe,4,2.3000,1.8200,0.3802,0.2833
ZEHPUA,Zn,4,2.7000,0.0400,0.4472,-0.8539
GIKTIE,Pt,4,2.8900,0.0100,0.4757,-0.9586
KABPUB,Pd,4,3.5000,0.8000,0.5563,-0.0458
LEFMUE,Zn,4,3.2800,0.4800,0.5289,-0.2366
MEMJAP,Ni,4,2.8800,0.0000,0.4742,-1.0000
MOMTIR,Pd,4,7.9600,3.1400,0.9063,0.5105
AFABUG,Pt,4,7.9300,2.9900,0.9047,0.4900
GIQPII,Zn,4,2.3900,0.0700,0.3962,-0.7696
FARFIP,Zn,4,3.1000,0.0300,0.5051,-0.8861
UDOPAE,Pd,4,8.4000,3.2200,0.9294,0.5211
XIYPOK,Ni,4,3.1300,0.3200,0.5092,-0.3768
OJAGUB,Pt,4,9.1000,3.0600,0.9638,0.4997
CICSIQ,Pd,4,9.1800,3.1000,0.9675,0.5051
FAMLOY,Ni,4,2.9500,0.0700,0.4843,-0.7696
WUCQIX,Rh,4,3.4400,0.7100,0.5490,-0.0915
BALJEH,Zn,4,12.9800,11.6700,1.1166,1.0708
DAYKUJ,Pd,4,3.0700,0.2400,0.5011,-0.4685
SULWUS,Ni,4,8.4800,2.9200,0.9335,0.4800
HONPAC,Pt,4,3.0600,0.2300,0.4997,-0.4815
NIRMAD,Cu,4,2.9200,0.0400,0.4800,-0.8539
PAMFIS,Cu,4,0.6600,0.5800,-0.1192,-0.1675
QELRUY,Pd,4,2.8900,0.0100,0.4757,-0.9586
MERZES,Pt,4,8.1800,2.9000,0.9180,0.4771
FOGMEV,Pd,4,3.1700,0.3800,0.5145,-0.3188
NEVBUN,Pd,4,9.7400,3.0600,0.9930,0.4997
LESREJ,Au,4,3.0100,0.1100,0.4928,-0.6778
ZEHLOR,Pd,4,9.4200,6.0800,0.9786,0.7910
UFOXEV,Co,4,2.7800,0.0400,0.4594,-0.8539
VIDMUQ,Pt,4,3.0100,0.1600,0.4928,-0.5850
CURXAS,Cd,4,2.2600,0.0800,0.3729,-0.7447
BUJYOV,Cu,4,7.4300,4.7200,0.8768,0.6830
FITJIF,Pd,4,9.1100,3.1500,0.9643,0.5119
FOGPAT,Pd,4,3.0400,0.1700,0.4969,-0.5686
WEFQAC,Hf,4,2.9200,0.0100,0.4800,-0.9586
BOZWIZ,Pd,4,2.9400,0.0800,0.4829,-0.7447
YAVCIJ,Pt,4,3.2600,0.4800,0.5263,-0.2366
CTPOCU01,Cu,4,5.5500,0.8000,0.7520,-0.0458
JUVTAV,Pd,4,2.9000,0.0100,0.4771,-0.9586
PUVJIZ,Zn,4,3.1600,0.1400,0.5132,-0.6198
XOVJAU,Ni,4,4.6700,1.2400,0.6785,0.1271
PEBZIH,Cu,4,3.2200,0.4300,0.5211,-0.2757
REPHIH,Zn,4,2.7500,0.1500,0.4548,-0.6021
VUGGEN,Rh,4,8.6400,3.1200,0.9415,0.5079
ZESCUY,Pt,4,2.9300,0.0600,0.4814,-0.7959
OXECOK,Pd,4,8.6800,3.2500,0.9435,0.5250
KABJUS,Pt,4,2.9700,0.1100,0.4871,-0.6778
HOQDOH,Ni,4,2.9000,0.0200,0.4771,-0.9208
SEKNEC,Pt,4,3.3900,0.6100,0.5428,-0.1487
EBAGAS,Hg,4,6.1900,1.9000,0.7987,0.3010
MIMFIX,V,4,2.4000,0.4800,0.3979,-0.2366
PIGBEP,Cu,4,2.9200,0.0500,0.4800,-0.8239
DUMDEW,Ru,4,4.6800,6.5100,0.6794,0.8202
KEQXIN,Cu,4,1.6300,0.6400,0.2380,-0.1308
YEPPIT,Ni,4,2.9100,0.0200,0.4786,-0.9208
YEQSIX,Pt,4,9.8200,3.2100,0.9965,0.5198
VEPMUZ,Pt,4,10.4300,3.3200,1.0224,0.5340
RESQAK,Pd,4,2.9200,0.0700,0.4800,-0.7696
SOWHIZ,Pd,4,2.8800,0.0000,0.4742,-1.0000
XURXAL,Fe,4,2.7900,0.0000,0.4609,-1.0000
LECQUG,Pt,4,8.7600,2.8800,0.9474,0.4742
BOFDUY,Pd,4,12.5500,9.3300,1.1021,0.9745
HULFEB,Pd,4,8.4200,2.9300,0.9304,0.4814
ODIZIL,Ni,4,2.9200,0.0600,0.4800,-0.7959
VIQRAP,Ru,4,1.6200,1.3200,0.2355,0.1523
BUTMAF01,Cu,4,2.9100,0.0600,0.4786,-0.7959
AGABEQ,Rh,4,3.1400,0.3500,0.5105,-0.3468
HERSON,Zn,4,11.7100,9.1000,1.0722,0.9638
LABGUT,Cd,4,4.0500,0.6200,0.6180,-0.1427
HITJUQ,Co,4,3.9400,0.4300,0.6064,-0.2757
EYEFIA,Ni,4,12.9500,20.3500,1.1156,1.3107
JAVVAE,Rh,4,3.0500,0.2700,0.4983,-0.4318
KITHAZ,Pt,4,8.9200,6.6400,0.9552,0.8287
LUQXEE,Pd,4,2.9000,0.0200,0.4771,-0.9208
EGIXID,Ni,4,11.4800,14.9200,1.0637,1.1767
AGAPOO,Pd,4,8.5900,2.8900,0.9390,0.4757
RORSAU,Zn,4,1.9300,0.4600,0.3075,-0.2518
PIKLIG,Pt,4,9.0100,2.9000,0.9595,0.4771
GEMLEQ,Cu,4,1.6400,1.3800,0.2405,0.1703
EPUBID,Ir,4,9.0200,3.0600,0.9600,0.4997
NOHVAH,Ni,4,3.2700,0.3400,0.5276,-0.3565
SUWHAU,Pd,4,2.8800,0.0000,0.4742,-1.0000
ZUNLIG,Ni,4,2.9000,0.0200,0.4771,-0.9208
RUJLOB,Pd,4,3.1000,0.2200,0.5051,-0.4949
TUDSAN,Pd,4,3.2100,0.4100,0.5198,-0.2924
XUVZAQ,Pt,4,10.2200,3.1400,1.0137,0.5105
MOZPIA,Pt,4,8.7800,3.0500,0.9484,0.4983
CIQKAO,Pd,4,9.4000,2.9500,0.9777,0.4843
OFOGOH01,Cu,4,7.6100,2.3500,0.8871,0.3892
BINLUH,Cu,4,16.0800,18.5900,1.2090,1.2716
POPSIZ,Ni,4,19.2200,17.4700,1.2860,1.2448
AQOYEM01,Pt,4,8.0400,3.1000,0.9106,0.5051
QIMPOT,Zn,4,2.4600,0.0700,0.4082,-0.7696
COPFUI02,Ni,4,2.9000,0.0200,0.4771,-0.9208
LEXZOE,Ag,4,11.9000,8.7700,1.0792,0.9479
UMUYIK,Cu,4,18.7300,24.0400,1.2749,1.3827
PIDFEP,Ni,4,9.4000,3.0300,0.9777,0.4955
ULAVAF,Cu,4,5.3300,0.7800,0.7348,-0.0555
OLIGEY,Cu,4,2.8800,0.0000,0.4742,-1.0000
XADQED,Ni,4,12.2200,11.4800,1.0906,1.0637
PAFQES,V,4,3.3400,0.5500,0.5366,-0.1871
KITJOO,Ni,4,2.8900,0.0200,0.4757,-0.9208
ECBIMC10,Zn,4,7.1800,17.3500,0.8621,1.2418
OLUKIP,Pd,4,2.9100,0.1100,0.4786,-0.6778
ASEXOL,Pt,4,8.8700,3.3200,0.9528,0.5340
LUDQOS,Pd,4,9.8400,3.2800,0.9974,0.5289
GASKOC,Pt,4,8.6000,2.9000,0.9395,0.4771
WEGPEG,Pd,4,2.9300,0.0800,0.4814,-0.7447
QINSEP,Ni,4,8.6900,2.8700,0.9440,0.4728
YOMYOQ,Hg,4,4.4800,3.9300,0.6609,0.6053
NAJVAY,Ni,4,15.7400,13.7900,1.1998,1.1427
DAGXEO,Co,4,19.3100,8.4300,1.2880,0.9309
POSBUX01,Pt,4,8.8700,3.1300,0.9528,0.5092
DONVAH,Pt,4,7.9700,3.0700,0.9069,0.5011
ZIMKOV,Ni,4,10.0200,7.8700,1.0052,0.9015
POMGEE,Rh,4,3.0000,0.1000,0.4914,-0.6990
VAVKOW,Zn,4,3.1700,0.5200,0.5145,-0.2076
OHUNUE,Pd,4,8.9200,3.2400,0.9552,0.5237
SOLVEY,Zn,4,2.7300,0.0300,0.4518,-0.8861
CORKUQ,Hg,4,4.8500,0.5100,0.6946,-0.2147
ODUBOG,Pd,4,3.3000,0.3600,0.5315,-0.3372
LELPEY,Hg,4,2.7500,2.2700,0.4548,0.3747
MELJIX,Pt,4,2.9100,0.0200,0.4786,-0.9208
HUPTOC,Ni,4,3.1200,0.2700,0.5079,-0.4318
MAKTUO,Ru,4,4.7900,2.8400,0.6893,0.4683
GADHUP,Cu,4,4.1400,0.3500,0.6274,-0.3468
COGWOO,Ni,4,2.8900,0.0100,0.4757,-0.9586
SEDNOI,Ni,4,10.7700,12.8600,1.0362,1.1126
WUCWAT,Zn,4,1.8800,0.3900,0.2967,-0.3098
EBAVUA,Zn,4,7.6500,11.9600,0.8893,1.0813
SUMREB,Pt,4,3.5800,0.6200,0.5658,-0.1427
SAZZID18,Co,4,3.0200,0.2100,0.4942,-0.5086
GUVMIV,Pt,4,9.7700,3.2300,0.9943,0.5224
MODTOQ,Cu,4,2.4200,0.1000,0.4014,-0.6990
MONNOS,Zr,4,5.3800,6.1800,0.7388,0.7980
XAYHEN,Pt,4,9.0300,3.3800,0.9605,0.5416
FELLAL01,Cu,4,3.8700,1.3000,0.5988,0.1461
ILATIZ,Ni,4,2.9400,0.0500,0.4829,-0.8239
DIZXOA,Pt,4,8.1200,2.9900,0.9149,0.4900
FEGJIL,Pt,4,9.1000,2.9300,0.9638,0.4814
JAXQOP01,Pt,4,6.6400,3.1100,0.8287,0.5065
HAKGIM,Pd,4,8.7500,3.0100,0.9469,0.4928
GAZTIM,Pt,4,10.1700,3.2300,1.0116,0.5224
VOFYUL,Pd,4,2.9600,0.0800,0.4857,-0.7447
FIJDAD,Zn,4,2.4000,0.0700,0.3979,-0.7696
XISBAD,Zn,4,2.9500,0.0100,0.4843,-0.9586
COCNOA,Pd,4,7.9100,3.1500,0.9036,0.5119
GESPAW,Co,4,3.9300,0.2900,0.6053,-0.4089
WOBHAA,Zn,4,6.8400,9.8500,0.8414,0.9978
ROCDIZ,Pt,4,2.9900,0.2100,0.4900,-0.5086
QODQIM,Pt,4,3.0000,0.1300,0.4914,-0.6383
TUZVIV,Cu,4,12.6500,17.2100,1.1055,1.2383
USEWAR,Pd,4,3.0300,0.1900,0.4955,-0.5376
QAQNAZ,Pd,4,9.7000,3.1500,0.9912,0.5119
YIDPAD,Zn,4,2.6400,0.0900,0.4378,-0.7212
UBUYOI,Ni,4,14.0700,8.7300,1.1514,0.9460
XAPWAO,Zn,4,10.1300,10.5300,1.0099,1.0265
WUKDEM,Cu,4,9.1500,2.8200,0.9661,0.4654
WIGZER,Pd,4,9.1000,3.1000,0.9638,0.5051
LOVZII,Ni,4,4.2700,1.3100,0.6405,0.1492
WIWGIU,Cu,4,9.0900,2.8300,0.9633,0.4669
LIKROM,Zn,4,9.6600,16.4900,0.9894,1.2198
FEYBUJ,Ni,4,17.8400,21.3200,1.2538,1.3308
PUFWUJ,Cu,4,13.3400,20.9100,1.1284,1.3224
CEXFAO,Pt,4,3.0700,0.0100,0.5011,-0.9586
QOXKIY,Ni,4,9.2600,9.1100,0.9713,0.9643
PUQTUT,Pd,4,3.7600,1.0700,0.5866,0.0682
WOSKEW,Ni,4,8.8100,3.3000,0.9499,0.5315
LAGWAW,Fe,4,7.3300,1.1200,0.8710,0.0864
KAHREV,Ni,4,2.9400,0.0600,0.4829,-0.7959
VEGMIH,Ir,4,14.7300,16.6000,1.1711,1.2227
BUZBIK,Cu,4,2.7900,1.1600,0.4609,0.1004
MOSQUK,Co,4,3.5000,0.2700,0.5563,-0.4318
SAPLUS01,Y,4,9.5700,3.8600,0.9854,0.5977
CIYSEI,Ni,4,8.9100,21.7000,0.9547,1.3385
LEMCUB,Ag,4,1.7200,1.6300,0.2601,0.2380
QIVVIB,Cu,4,2.0000,0.1100,0.3222,-0.6778
QEDBAF,Ni,4,9.1600,3.3100,0.9666,0.5328
BEQSEY,Zn,4,4.4100,0.6900,0.6542,-0.1024
CABSIM,Ni,4,8.7500,13.9700,0.9469,1.1483
NEPWEN,Au,4,3.0000,0.1600,0.4914,-0.5850
KIJKAQ,Pd,4,9.0100,3.6600,0.9595,0.5752
COJFAK,Cu,4,9.9200,14.1100,1.0009,1.1526
XAWROC,Ni,4,2.8100,0.0100,0.4639,-0.9586
DARQIX,Zn,4,3.9900,0.6800,0.6117,-0.1079
WASKUW,Pd,4,2.8800,0.0000,0.4742,-1.0000
VETTUL,Pt,4,8.5800,2.9700,0.9385,0.4871
SAMZUC,Pd,4,9.0000,2.9100,0.9590,0.4786
NOTBIK,Pt,4,8.3000,3.0100,0.9243,0.4928
QIYWUR,Pt,4,3.3600,0.6400,0.5391,-0.1308
UTENAK,Ni,4,4.2400,1.1800,0.6375,0.1072
TOKHAE,Pt,4,2.8900,0.0300,0.4757,-0.8861
BIFHEE,Co,4,3.2100,0.0200,0.5198,-0.9208
QASROR,Zn,4,3.7300,1.3600,0.5832,0.1644
UJOXUQ,Zn,4,2.8200,0.0000,0.4654,-1.0000
XIBSAE,Cu,4,3.2800,0.5100,0.5289,-0.2147
GOTVAQ,Pt,4,2.8900,0.0200,0.4757,-0.9208
LOLTEM,Pt,4,10.8700,3.3400,1.0402,0.5366
VOTFAN,Pd,4,8.6600,3.0300,0.9425,0.4955
RACDUY,Ni,4,13.4500,15.2800,1.1319,1.1870
RUNLAN,Ni,4,3.6300,0.9500,0.5717,0.0212
FEXDOC,Zn,4,5.6100,1.1100,0.7566,0.0828
CAXSEA,Pt,4,8.8700,2.9000,0.9528,0.4771
QAVYIZ,Pd,4,8.7500,3.0400,0.9469,0.4969
DODFAF,Ni,4,11.2900,22.8000,1.0565,1.3598
MIFDEL,Ag,4,4.3700,0.3000,0.6503,-0.3979
CUPROP02,Cu,4,2.9200,0.0300,0.4800,-0.8861
SADREZ,Cu,4,7.9500,8.6200,0.9058,0.9405
XECDAL,Pt,4,2.8800,0.0000,0.4742,-1.0000
GAVGIT,Pt,4,3.0000,0.1400,0.4914,-0.6198
BEWYEH,Zn,4,10.7800,6.8600,1.0366,0.8426
IWODEE,Ni,4,3.0300,0.1900,0.4955,-0.5376
ZEWBEI,Pt,4,7.6600,2.9900,0.8899,0.4900
PUDCEZ,Co,4,2.3100,0.0700,0.3820,-0.7696
SOMGAG,Au,4,2.9000,0.0200,0.4771,-0.9208
SOGVIU,Ni,4,3.0800,0.2900,0.5024,-0.4089
VUSXEO01,Cu,4,6.1300,6.7700,0.7945,0.8370
FONFET01,Pd,4,9.5000,2.8700,0.9823,0.4728
NARQAZ,Pt,4,8.5300,2.8800,0.9360,0.4742
NIDPDS03,Ni,4,2.8800,0.0000,0.4742,-1.0000
KEPKIA,Nb,4,2.6000,0.3100,0.4314,-0.3872
NUFXIX,Co,4,4.1500,0.4500,0.6284,-0.2596
OQEKOL,Pt,4,2.9100,0.0300,0.4786,-0.8861
MEFGEJ,Cu,4,17.9400,19.3900,1.2562,1.2898
YESTOJ01,Zn,4,3.2200,0.7300,0.5211,-0.0809
VIKYUK,Pt,4,3.2200,0.4300,0.5211,-0.2757
BUJMAW,Zn,4,5.3400,0.9500,0.7356,0.0212
WOPRUP,Ni,4,12.1300,13.1200,1.0874,1.1212
XEGGUO,Au,4,2.9500,0.0800,0.4843,-0.7447
MAQPIF,Ni,4,11.8500,8.5400,1.0774,0.9365
CENHUA,Ag,4,4.3800,1.7200,0.6513,0.2601
LUXKAR01,Co,4,3.5000,0.1300,0.5563,-0.6383
DEKMOV01,Cu,4,2.9200,0.0400,0.4800,-0.8539
TPRCBN,Rh,4,6.6100,6.3900,0.8267,0.8122
YEQNUD01,Ni,4,2.8900,0.0100,0.4757,-0.9586
NUBJID02,Au,4,2.8800,0.0000,0.4742,-1.0000
KEVDAR,Cd,4,4.5100,0.6600,0.6637,-0.1192
IZUHET,Ni,4,15.5900,13.3000,1.1956,1.1271
XIWVIK,Pd,4,2.9200,0.0400,0.4800,-0.8539
VOGWIZ,Ni,4,2.9900,0.1900,0.4900,-0.5376
FEWJAT,Mn,4,3.3100,0.0500,0.5328,-0.8239
MAMBOV,Pd,4,8.8500,2.7000,0.9518,0.4472
CTACZN,Zn,4,2.5300,0.0500,0.4200,-0.8239
UXENES02,Zn,4,3.4300,0.2200,0.5478,-0.4949
XOZQUA,Fe,4,1.9300,0.6300,0.3075,-0.1367
FAKFEC,Pt,4,2.9800,0.2000,0.4886,-0.5229
MOGPII,Pd,4,8.8000,2.9000,0.9494,0.4771
LELHEQ,Re,4,7.7200,2.4900,0.8932,0.4133
ZOJGOX,Co,4,2.0900,0.4600,0.3404,-0.2518
XOVSEJ,Fe,4,4.1500,0.9600,0.6284,0.0253
OBILEQ,Ti,4,5.8100,1.3900,0.7716,0.1732
EPOMOM,Pd,4,8.9300,3.4900,0.9557,0.5551
ZEYHUJ,Pd,4,9.6100,3.0300,0.9872,0.4955
CURBIC03,Fe,4,2.8400,0.0000,0.4683,-1.0000
LEHPET01,Pd,4,8.5900,2.8800,0.9390,0.4742
ZOGZUT,Pt,4,9.6100,3.0100,0.9872,0.4928
NITJEJ,Pt,4,2.9300,0.0400,0.4814,-0.8539
XARPUB,Pd,4,3.0300,0.2200,0.4955,-0.4949
LUSGUD,Pt,4,7.9100,3.0900,0.9036,0.5038
ENOZEO,Fe,4,3.7400,0.1700,0.5843,-0.5686
YADLOH,Pt,4,2.9700,0.0800,0.4871,-0.7447
YIVVOS,Fe,4,4.0800,0.5000,0.6212,-0.2218
SOTPAV,Pd,4,9.0200,3.0000,0.9600,0.4914
DEENCU01,Cu,4,6.4700,15.5600,0.8176,1.1948
XEBMEA,Pd,4,10.8800,8.0300,1.0406,0.9101
YAFBEQ,Ni,4,8.0400,7.1900,0.9106,0.8627
PBIUCU,Cu,4,18.5700,19.9400,1.2711,1.3019
SATXOA,Pd,4,3.0300,0.1900,0.4955,-0.5376
NAJQUK,Pt,4,12.5800,8.9800,1.1031,0.9581
AQEMIV,Pd,4,3.1100,0.3000,0.5065,-0.3979
NAMMAQ02,Ni,4,7.9900,2.9100,0.9079,0.4786
LEDZUS,Cu,4,2.9100,0.0400,0.4786,-0.8539
GIJZAA,Ni,4,13.1400,12.1300,1.1219,1.0874
HOKLOL,Co,4,1.7200,1.0100,0.2601,0.0453
MEXFOM,Zn,4,2.1400,0.1500,0.3502,-0.6021
RERJON,Pd,4,8.8600,3.1100,0.9523,0.5065
GULXUI,Rh,4,2.8200,0.2800,0.4654,-0.4202
ICONIZ01,Cu,4,5.4600,1.0500,0.7451,0.0607
EYIDEV,Au,4,8.4200,2.8800,0.9304,0.4742
FISJIA01,Cu,4,1.1000,0.4600,0.0792,-0.2518
COLSED,Pd,4,3.1000,0.2000,0.5051,-0.5229
KUBGAR,Pd,4,8.7600,3.0700,0.9474,0.5011
DIRLAU,Cd,4,2.9100,0.0100,0.4786,-0.9586
ZUWJAE,Cr,4,3.3800,0.6200,0.5416,-0.1427
TAYQUG,Zn,4,2.4900,1.2900,0.4133,0.1430
SOTZIL,Pd,4,3.2200,0.4300,0.5211,-0.2757
BERCAE,Pd,4,2.9500,0.0600,0.4843,-0.7959
YUQPIN,Pt,4,3.0300,0.1700,0.4955,-0.5686
MAXTAG,Ni,4,8.3400,2.8200,0.9263,0.4654
WEFZEM,V,4,2.9900,0.6900,0.4900,-0.1024
ERIFIV,Pd,4,3.5500,0.8100,0.5623,-0.0410
VIHZUH,Pd,4,3.0400,0.1600,0.4969,-0.5850
NITKUX,Pd,4,9.3900,3.0000,0.9773,0.4914
FIQBIQ,Zn,4,3.2200,1.1300,0.5211,0.0899
FUDKOF,Rh,4,8.4200,3.3300,0.9304,0.5353
GIMQOK,Cu,4,2.9100,0.0400,0.4786,-0.8539
WIHREK,Rh,4,10.0800,3.1400,1.0077,0.5105
FUSFEI01,Cu,4,2.8800,0.0000,0.4742,-1.0000
POXRAW,Ni,4,6.5000,0.7600,0.8195,-0.0655
BIWKEY,Cu,4,2.2900,1.8700,0.3784,0.2945
OTAGUM,Pd,4,3.2900,0.5600,0.5302,-0.1805
