refcode,metal,CN,S_SP,S_Td,log_S_SP,log_S_Td
ZASYUQ,Cu,4,4.5700,0.6900,0.6693,-0.1024
BQDXPT03,Pt,4,9.3800,9.6800,0.9768,0.9903
DIJMUH,Ni,4,3.0700,0.2500,0.5011,-0.4559
GEHSUL,Co,4,3.4500,0.3100,0.5502,-0.3872
BEXQIH,Pd,4,9.7300,12.5500,0.9926,1.1021
KIWQAK,Pt,4,8.7000,3.0700,0.9445,0.5011
NABYAQ,Pd,4,7.7900,3.0500,0.8971,0.4983
LEXDIC,Pd,4,8.9500,3.0300,0.9566,0.4955
PELPOP,Pd,4,3.3800,0.6000,0.5416,-0.1549
ECOPAN,Fe,4,2.5900,0.0100,0.4298,-0.9586
DEMSOG,Pd,4,9.3600,3.0300,0.9759,0.4955
BOHJEN,Pt,4,8.5700,2.9100,0.9380,0.4786
ZOVDEV01,Ni,4,3.5900,0.9000,0.5670,0.0000
EZEQIJ,Pd,4,9.3300,3.3300,0.9745,0.5353
XEGFIZ,Ni,4,11.9100,17.9000,1.0795,1.2553
YIKFOP,Pt,4,3.3300,0.6500,0.5353,-0.1249
LUSWEF,Cr,4,3.7500,0.9700,0.5855,0.0294
MUMWAS,Co,4,12.2900,8.5500,1.0931,0.9370
POXSUR,Pd,4,2.9600,0.1000,0.4857,-0.6990
WETKOX,Pt,4,2.9000,0.0200,0.4771,-0.9208
JOWXIF,Pd,4,9.4400,2.9700,0.9795,0.4871
DECZAN,Pt,4,8.2200,2.9300,0.9201,0.4814
NIDCAR43,Ni,4,8.8700,21.6200,0.9528,1.3369
MICJEQ,Pd,4,9.6100,3.1900,0.9872,0.5172
GIWLEE,Co,4,3.0600,0.0100,0.4997,-0.9586
EBAGEU,Cu,4,3.9300,0.9000,0.6053,0.0000
YUTXAQ,Cu,4,6.1100,1.3800,0.7931,0.1703
OHOPOR,Pt,4,3.0000,0.1500,0.4914,-0.6021
QEYZEZ,Ni,4,7.5500,5.6200,0.8837,0.7574
JUSJUF01,Cu,4,6.5500,1.7500,0.8228,0.2672
NOYKUJ,Rh,4,8.0500,3.0300,0.9112,0.4955
RAKWAE,Ru,4,3.0200,1.5900,0.4942,0.2279
PASVUB,Pt,4,2.9000,0.0100,0.4771,-0.9586
FUXGUE,Pt,4,9.9100,3.3100,1.0004,0.5328
DUXHIN,Co,4,16.5000,6.4800,1.2201,0.8182
ETACEK,Ni,4,9.2400,2.9300,0.9703,0.4814
CAMFIF,Pd,4,3.3400,0.5700,0.5366,-0.1739
FOQNOP,Fe,4,2.8800,0.0000,0.4742,-1.0000
DODSAS,Pt,4,7.9000,3.0100,0.9031,0.4928
OZASAM,Co,4,4.2400,1.5200,0.6375,0.2095
