run_stage,selection_order,mol_id,fold,metal,cn,graph_sha256,arm,k,representation,reference_sha256,matched_variants,mismatched_variants,match_fraction,unique_variant_hashes,unique_hashes_with_reference,all_variants_match_reference
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,rigid,100,raw_cartesian,74efabe8eb85de4430a7d27f61f649241a395ff79d6d137b2da09a53d050d694,0,100,0.0,100,101,False
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,rigid,100,ordered_distance_matrix,bd514fb32d43a73d72e4f3edd7a48095b31b0127e0cdabe884c1d2910087f16c,100,0,1.0,1,1,True
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,rigid,100,connectivity_only,ce57a3a811cc6f39741fc87e81324a47798c3596164686f52c4f9b3b693365e1,100,0,1.0,1,1,True
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,rigid,100,uncanonicalized_coordrep,efc627abaffa115f0e6b4bd67e2951bfd6ea4b284f876ffc663f42fbadc97d9a,100,0,1.0,1,1,True
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,rigid,100,patched_coordrep,e9e67d6e86e70c4c1214b8b77733e69588a1174a3feda1c011ee9b1fca1c24d1,100,0,1.0,1,1,True
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,permutation,100,raw_cartesian,74efabe8eb85de4430a7d27f61f649241a395ff79d6d137b2da09a53d050d694,0,100,0.0,66,67,False
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,permutation,100,ordered_distance_matrix,bd514fb32d43a73d72e4f3edd7a48095b31b0127e0cdabe884c1d2910087f16c,0,100,0.0,66,67,False
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,permutation,100,connectivity_only,ce57a3a811cc6f39741fc87e81324a47798c3596164686f52c4f9b3b693365e1,100,0,1.0,1,1,True
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,permutation,100,uncanonicalized_coordrep,efc627abaffa115f0e6b4bd67e2951bfd6ea4b284f876ffc663f42fbadc97d9a,4,96,0.04,29,29,False
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,permutation,100,patched_coordrep,e9e67d6e86e70c4c1214b8b77733e69588a1174a3feda1c011ee9b1fca1c24d1,100,0,1.0,1,1,True
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,combined,100,raw_cartesian,74efabe8eb85de4430a7d27f61f649241a395ff79d6d137b2da09a53d050d694,0,100,0.0,100,101,False
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,combined,100,ordered_distance_matrix,bd514fb32d43a73d72e4f3edd7a48095b31b0127e0cdabe884c1d2910087f16c,0,100,0.0,67,68,False
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,combined,100,connectivity_only,ce57a3a811cc6f39741fc87e81324a47798c3596164686f52c4f9b3b693365e1,100,0,1.0,1,1,True
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,combined,100,uncanonicalized_coordrep,efc627abaffa115f0e6b4bd67e2951bfd6ea4b284f876ffc663f42fbadc97d9a,3,97,0.03,29,29,False
full,3,HIVFEY,3,Ni,5,63af80ac9f9f4a7827b5860d4b6549db62118b75248239c2298e67856ab612c3,combined,100,patched_coordrep,e9e67d6e86e70c4c1214b8b77733e69588a1174a3feda1c011ee9b1fca1c24d1,100,0,1.0,1,1,True
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,rigid,100,raw_cartesian,df3ddf6a0edb5ebca31e95b0f90e35d758ccca767f8621fbcc4aa82aaa182185,0,100,0.0,100,101,False
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,rigid,100,ordered_distance_matrix,6828ad9d3d85f9ecb57b72b81fdf4f953c4551b8c45e54429d55b8e7e01231fb,100,0,1.0,1,1,True
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,rigid,100,connectivity_only,3b0ee6be2848e63d3c8e6b2bc8014fb62cedfeb1332e14bef11a3f93ed1d6fa3,100,0,1.0,1,1,True
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,rigid,100,uncanonicalized_coordrep,01803620147d302e7f23b99db6ec4f6c810f8c7fc34c23e7707a03eeb062a8ce,100,0,1.0,1,1,True
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,rigid,100,patched_coordrep,a18a9cc37003fc3acd976006b1312f79b0d749aeb5fa444b12de100416bcedb4,100,0,1.0,1,1,True
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,permutation,100,raw_cartesian,df3ddf6a0edb5ebca31e95b0f90e35d758ccca767f8621fbcc4aa82aaa182185,1,99,0.01,69,69,False
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,permutation,100,ordered_distance_matrix,6828ad9d3d85f9ecb57b72b81fdf4f953c4551b8c45e54429d55b8e7e01231fb,1,99,0.01,69,69,False
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,permutation,100,connectivity_only,3b0ee6be2848e63d3c8e6b2bc8014fb62cedfeb1332e14bef11a3f93ed1d6fa3,100,0,1.0,1,1,True
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,permutation,100,uncanonicalized_coordrep,01803620147d302e7f23b99db6ec4f6c810f8c7fc34c23e7707a03eeb062a8ce,39,61,0.39,4,4,False
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,permutation,100,patched_coordrep,a18a9cc37003fc3acd976006b1312f79b0d749aeb5fa444b12de100416bcedb4,100,0,1.0,1,1,True
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,combined,100,raw_cartesian,df3ddf6a0edb5ebca31e95b0f90e35d758ccca767f8621fbcc4aa82aaa182185,0,100,0.0,100,101,False
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,combined,100,ordered_distance_matrix,6828ad9d3d85f9ecb57b72b81fdf4f953c4551b8c45e54429d55b8e7e01231fb,0,100,0.0,70,71,False
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,combined,100,connectivity_only,3b0ee6be2848e63d3c8e6b2bc8014fb62cedfeb1332e14bef11a3f93ed1d6fa3,100,0,1.0,1,1,True
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,combined,100,uncanonicalized_coordrep,01803620147d302e7f23b99db6ec4f6c810f8c7fc34c23e7707a03eeb062a8ce,46,54,0.46,4,4,False
full,4,LOKSOV,0,Zn,5,752e121390e65ea391dadb28042c0e919775ea67d9da908cb1705bb8b07d1b5f,combined,100,patched_coordrep,a18a9cc37003fc3acd976006b1312f79b0d749aeb5fa444b12de100416bcedb4,100,0,1.0,1,1,True
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,rigid,100,raw_cartesian,d637311e4d60f03447092f19cba4511c335e8ba3871e62e60814fd197badbcd1,0,100,0.0,100,101,False
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,rigid,100,ordered_distance_matrix,d9f92ed252070153bce7ec0c16349542e485008684b2b8148cfbcf1cf3ae1e89,100,0,1.0,1,1,True
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,rigid,100,connectivity_only,4e515114ca7469fa495bcebbecb4e8a7df4d201cb02550c45bfe70fee791f0a8,100,0,1.0,1,1,True
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,rigid,100,uncanonicalized_coordrep,d076bb61d0cf2a3474ce4df716041d778168d6184708d368fe05d927723c6967,100,0,1.0,1,1,True
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,rigid,100,patched_coordrep,65d71c0d5c91ff8909110fd113008c77dd6e7ae1ee15f4e3eccfa9d1f389e814,100,0,1.0,1,1,True
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,permutation,100,raw_cartesian,d637311e4d60f03447092f19cba4511c335e8ba3871e62e60814fd197badbcd1,0,100,0.0,94,95,False
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,permutation,100,ordered_distance_matrix,d9f92ed252070153bce7ec0c16349542e485008684b2b8148cfbcf1cf3ae1e89,0,100,0.0,94,95,False
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,permutation,100,connectivity_only,4e515114ca7469fa495bcebbecb4e8a7df4d201cb02550c45bfe70fee791f0a8,100,0,1.0,1,1,True
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,permutation,100,uncanonicalized_coordrep,d076bb61d0cf2a3474ce4df716041d778168d6184708d368fe05d927723c6967,5,95,0.05,14,14,False
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,permutation,100,patched_coordrep,65d71c0d5c91ff8909110fd113008c77dd6e7ae1ee15f4e3eccfa9d1f389e814,100,0,1.0,1,1,True
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,combined,100,raw_cartesian,d637311e4d60f03447092f19cba4511c335e8ba3871e62e60814fd197badbcd1,0,100,0.0,100,101,False
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,combined,100,ordered_distance_matrix,d9f92ed252070153bce7ec0c16349542e485008684b2b8148cfbcf1cf3ae1e89,0,100,0.0,97,98,False
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,combined,100,connectivity_only,4e515114ca7469fa495bcebbecb4e8a7df4d201cb02550c45bfe70fee791f0a8,100,0,1.0,1,1,True
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,combined,100,uncanonicalized_coordrep,d076bb61d0cf2a3474ce4df716041d778168d6184708d368fe05d927723c6967,0,100,0.0,16,17,False
full,5,IPITIL,4,Ir,6,13103c72c178c93c05e076e5421875c267d157d77b590bc6a128e568087e6302,combined,100,patched_coordrep,65d71c0d5c91ff8909110fd113008c77dd6e7ae1ee15f4e3eccfa9d1f389e814,100,0,1.0,1,1,True
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,rigid,100,raw_cartesian,207f0c106d76d4001c130e7a214d9711a5c54e46ea64593307e0fed7198e7098,0,100,0.0,100,101,False
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,rigid,100,ordered_distance_matrix,e858eaf15376d6d520bad50b4f8bc07141030ae1de59d31af44fe55a1d8a7884,100,0,1.0,1,1,True
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,rigid,100,connectivity_only,aaa0c1081d1676bd3953ac8ca4d5aac49bbc8582b5be38da4ff13c4818c5e9c1,100,0,1.0,1,1,True
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,rigid,100,uncanonicalized_coordrep,9290eef3d4233642eeb1aa4379058951c53bf9d49868c0e785a1f8f104f75250,100,0,1.0,1,1,True
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,rigid,100,patched_coordrep,9709278c50cc5f80239d89cb02459b8c2ae3fc4410978edf8e6f244a6bf96276,100,0,1.0,1,1,True
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,permutation,100,raw_cartesian,207f0c106d76d4001c130e7a214d9711a5c54e46ea64593307e0fed7198e7098,5,95,0.05,23,23,False
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,permutation,100,ordered_distance_matrix,e858eaf15376d6d520bad50b4f8bc07141030ae1de59d31af44fe55a1d8a7884,5,95,0.05,23,23,False
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,permutation,100,connectivity_only,aaa0c1081d1676bd3953ac8ca4d5aac49bbc8582b5be38da4ff13c4818c5e9c1,100,0,1.0,1,1,True
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,permutation,100,uncanonicalized_coordrep,9290eef3d4233642eeb1aa4379058951c53bf9d49868c0e785a1f8f104f75250,2,98,0.02,5,5,False
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,permutation,100,patched_coordrep,9709278c50cc5f80239d89cb02459b8c2ae3fc4410978edf8e6f244a6bf96276,100,0,1.0,1,1,True
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,combined,100,raw_cartesian,207f0c106d76d4001c130e7a214d9711a5c54e46ea64593307e0fed7198e7098,0,100,0.0,100,101,False
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,combined,100,ordered_distance_matrix,e858eaf15376d6d520bad50b4f8bc07141030ae1de59d31af44fe55a1d8a7884,3,97,0.03,24,24,False
full,6,QOCWIO,1,Pd,4,9d833383f981c63f0dfc3339b29b474ea4d5847e944552250da818468901cc19,combined,100,connectivity_only,aaa0c1081d1676bd3953ac8ca4d5aac49bbc8582b5be38da4ff13c4818c5e9c1,100,0,1.0,1,1,True
